Time,Miami,Score,Houston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:38.0,T. Herro makes 2-pt jump shot from 3 ft (assist by T. Rozier),50-40, ,,2,50,40,10,1102.0
5:31.0, ,50-42,F. VanVleet makes 2-pt layup from 3 ft,,2,50,42,8,1109.0
5:14.0,T. Herro misses 2-pt jump shot from 10 ft,50-42, ,,2,50,42,8,1126.0
5:14.0, ,50-42,Defensive rebound by D. Brooks,,2,50,42,8,1126.0
5:05.0, ,50-44,J. Green makes 2-pt jump shot from 20 ft (assist by D. Brooks),,2,50,44,6,1135.0
4:51.0,Miami full timeout,50-44, ,,2,50,44,6,1149.0
4:51.0,D. Robinson enters the game for T. Herro,50-44, ,,2,50,44,6,1149.0
4:44.0,H. Highsmith misses 3-pt jump shot from 23 ft,50-44, ,,2,50,44,6,1156.0
4:43.0, ,50-44,Defensive rebound by J. Green,,2,50,44,6,1157.0
4:37.0, ,50-44,D. Brooks misses 3-pt jump shot from 25 ft,,2,50,44,6,1163.0
4:36.0, ,50-44,Offensive rebound by Team,,2,50,44,6,1164.0
4:36.0,Loose ball foul by K. Love (drawn by J. Landale),50-44, ,,2,50,44,6,1164.0
4:36.0, ,50-45,J. Landale makes free throw 1 of 2,,2,50,45,5,1164.0
4:36.0, ,50-46,J. Landale makes free throw 2 of 2,,2,50,46,4,1164.0
4:15.0,T. Rozier misses 3-pt jump shot from 24 ft,50-46, ,,2,50,46,4,1185.0
4:13.0, ,50-46,Defensive rebound by F. VanVleet,,2,50,46,4,1187.0
4:06.0, ,50-46,J. Green misses 3-pt jump shot from 23 ft,,2,50,46,4,1194.0
4:05.0,Defensive rebound by H. Highsmith,50-46, ,,2,50,46,4,1195.0
3:44.0,H. Highsmith misses 3-pt jump shot from 23 ft,50-46, ,,2,50,46,4,1216.0
3:41.0,Offensive rebound by K. Love,50-46, ,,2,50,46,4,1219.0
3:40.0,K. Love makes 2-pt layup from 2 ft,52-46, ,,2,52,46,6,1220.0
3:31.0, ,52-48,J. Green makes 2-pt layup from 4 ft,,2,52,48,4,1229.0
3:10.0,T. Rozier misses 2-pt layup from 5 ft (block by J. Green),52-48, ,,2,52,48,4,1250.0
3:07.0, ,52-48,Defensive rebound by F. VanVleet,,2,52,48,4,1253.0
3:05.0, ,52-50,J. Landale makes 2-pt dunk from 2 ft (assist by J. Green),,2,52,50,2,1255.0
2:41.0,H. Highsmith misses 3-pt jump shot from 25 ft,52-50, ,,2,52,50,2,1279.0
2:39.0,Offensive rebound by K. Love,52-50, ,,2,52,50,2,1281.0
2:38.0,K. Love makes 2-pt layup from 2 ft,54-50, ,,2,54,50,4,1282.0
2:20.0, ,54-50,Turnover by J. Green (lost ball; steal by T. Rozier),,2,54,50,4,1300.0
2:18.0,Shooting foul by F. VanVleet (drawn by J. Butler),54-50, ,,2,54,50,4,1302.0
2:18.0,J. Butler makes free throw 1 of 2,55-50, ,,2,55,50,5,1302.0
2:18.0,B. Adebayo enters the game for H. Highsmith,55-50, ,,2,55,50,5,1302.0
2:18.0,C. Martin enters the game for D. Robinson,55-50, ,,2,55,50,5,1302.0
2:18.0, ,55-50,J. Smith enters the game for J. Green,,2,55,50,5,1302.0
2:18.0,J. Butler makes free throw 2 of 2,56-50, ,,2,56,50,6,1302.0
2:00.0, ,56-53,J. Smith makes 3-pt jump shot from 23 ft (assist by J. Landale),,2,56,53,3,1320.0
1:46.0,J. Butler makes 3-pt jump shot from 25 ft,59-53, ,,2,59,53,6,1334.0
1:26.0, ,59-56,J. Smith makes 3-pt jump shot from 23 ft (assist by F. VanVleet),,2,59,56,3,1354.0
1:09.0,T. Rozier makes 3-pt jump shot from 24 ft,62-56, ,,2,62,56,6,1371.0
0:52.0, ,62-56,J. Landale misses 2-pt jump shot from 4 ft,,2,62,56,6,1388.0
0:51.0,Defensive rebound by B. Adebayo,62-56, ,,2,62,56,6,1389.0
0:46.0,Personal foul by J. Smith (drawn by B. Adebayo),62-56, ,,2,62,56,6,1394.0
0:46.0,B. Adebayo makes free throw 1 of 2,63-56, ,,2,63,56,7,1394.0
0:46.0,H. Highsmith enters the game for K. Love,63-56, ,,2,63,56,7,1394.0
0:46.0, ,63-56,C. Whitmore enters the game for J. Smith,,2,63,56,7,1394.0
0:46.0,B. Adebayo makes free throw 2 of 2,64-56, ,,2,64,56,8,1394.0
0:34.0, ,64-56,Personal foul by B. Adebayo (drawn by F. VanVleet),,2,64,56,8,1406.0
0:34.0, ,64-56,F. VanVleet misses free throw 1 of 2,,2,64,56,8,1406.0
0:34.0, ,64-56,Offensive rebound by Team,,2,64,56,8,1406.0
0:34.0,T. Herro enters the game for H. Highsmith,64-56, ,,2,64,56,8,1406.0
0:34.0, ,64-56,J. Green enters the game for J. Green,,2,64,56,8,1406.0
0:34.0, ,64-56,A. Holiday enters the game for J. Landale,,2,64,56,8,1406.0
0:34.0, ,64-57,F. VanVleet makes free throw 2 of 2,,2,64,57,7,1406.0
0:14.0,Turnover by B. Adebayo (bad pass; steal by D. Brooks),64-57, ,,2,64,57,7,1426.0
0:01.0, ,64-59,F. VanVleet makes 2-pt jump shot from 19 ft,,2,64,59,5,1439.0
0:00.0, ,64-59,Instant Replay (Request: Ruling Stands),,2,64,59,5,1440.0
0:00.0,End of 2nd quarter,64-59,,,2,64,59,5,1440.0
12:00.0,Start of 3rd quarter,64-59,,,3,64,59,5,1440.0
11:40.0,T. Rozier misses 2-pt jump shot from 13 ft,64-59, ,,3,64,59,5,1460.0
11:40.0, ,64-59,Defensive rebound by J. Smith,,3,64,59,5,1460.0
11:33.0, ,64-59,J. Smith misses 3-pt jump shot from 26 ft,,3,64,59,5,1467.0
11:32.0,Defensive rebound by N. Jović,64-59, ,,3,64,59,5,1468.0
11:22.0,D. Robinson makes 2-pt jump shot from 6 ft,66-59, ,,3,66,59,7,1478.0
11:01.0, ,66-59,F. VanVleet misses 2-pt jump shot from 20 ft,,3,66,59,7,1499.0
11:01.0,Defensive rebound by D. Robinson,66-59, ,,3,66,59,7,1499.0
10:40.0,B. Adebayo misses 2-pt jump shot from 6 ft,66-59, ,,3,66,59,7,1520.0
10:39.0, ,66-59,Defensive rebound by F. VanVleet,,3,66,59,7,1521.0
10:27.0, ,66-62,J. Green makes 3-pt jump shot from 26 ft (assist by F. VanVleet),,3,66,62,4,1533.0
10:01.0,D. Robinson misses 3-pt jump shot from 26 ft,66-62, ,,3,66,62,4,1559.0
9:59.0, ,66-62,Defensive rebound by J. Green,,3,66,62,4,1561.0
9:43.0, ,66-62,J. Green misses 3-pt jump shot from 26 ft,,3,66,62,4,1577.0
9:42.0,Defensive rebound by T. Rozier,66-62, ,,3,66,62,4,1578.0
9:22.0,Shooting foul by J. Green (drawn by D. Robinson),66-62, ,,3,66,62,4,1598.0
9:22.0,D. Robinson makes free throw 1 of 2,67-62, ,,3,67,62,5,1598.0
9:22.0,D. Robinson makes free throw 2 of 2,68-62, ,,3,68,62,6,1598.0
9:02.0, ,68-62,J. Green misses 3-pt jump shot from 27 ft,,3,68,62,6,1618.0
8:59.0,Defensive rebound by N. Jović,68-62, ,,3,68,62,6,1621.0
8:49.0,T. Rozier misses 2-pt jump shot from 13 ft,68-62, ,,3,68,62,6,1631.0
8:47.0,Offensive rebound by B. Adebayo,68-62, ,,3,68,62,6,1633.0
8:45.0,B. Adebayo makes 2-pt hook shot from 5 ft,70-62, ,,3,70,62,8,1635.0
8:27.0, ,70-62,J. Smith misses 3-pt jump shot from 23 ft,,3,70,62,8,1653.0
8:26.0,Defensive rebound by T. Rozier,70-62, ,,3,70,62,8,1654.0
8:18.0,Turnover by T. Rozier (bad pass; steal by J. Smith),70-62, ,,3,70,62,8,1662.0
8:13.0, ,70-62,D. Brooks misses 2-pt layup from 6 ft (block by B. Adebayo),,3,70,62,8,1667.0
8:13.0, ,70-62,Offensive rebound by J. Smith,,3,70,62,8,1667.0
8:13.0, ,70-62,Shooting foul by N. Jović (drawn by J. Smith),,3,70,62,8,1667.0
