Time,Charlotte,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:09.0, ,51-68,Offensive rebound by O. Robinson,,3,68,51,17,1671.0
8:07.0, ,51-70,O. Robinson makes 2-pt layup from 2 ft,,3,70,51,19,1673.0
8:07.0,Charlotte full timeout,51-70, ,,3,70,51,19,1673.0
7:47.0,M. Bridges makes 2-pt layup from 3 ft (assist by G. Hayward),53-70, ,,3,70,53,17,1693.0
7:21.0, ,53-70,C. Martin misses 2-pt jump shot from 14 ft,,3,70,53,17,1719.0
7:21.0, ,53-70,Offensive rebound by O. Robinson,,3,70,53,17,1719.0
7:19.0, ,53-72,O. Robinson makes 2-pt layup from 2 ft,,3,72,53,19,1721.0
7:19.0,Violation by Team (def goaltending),53-72, ,,3,72,53,19,1721.0
7:01.0,M. Bridges makes 2-pt layup from 2 ft,55-72, ,,3,72,55,17,1739.0
6:52.0, ,55-72,Turnover by C. Martin (bad pass; steal by T. Rozier),,3,72,55,17,1748.0
6:46.0,T. Rozier makes 2-pt layup from 2 ft,57-72, ,,3,72,57,15,1754.0
6:22.0, ,57-72,O. Robinson misses 2-pt jump shot from 10 ft,,3,72,57,15,1778.0
6:16.0,Defensive rebound by N. Richards,57-72, ,,3,72,57,15,1784.0
6:01.0,Offensive foul by B. Miller (drawn by K. Lowry),57-72, ,,3,72,57,15,1799.0
6:01.0,Turnover by B. Miller (offensive foul),57-72, ,,3,72,57,15,1799.0
6:01.0,B. McGowens enters the game for M. Bridges,57-72, ,,3,72,57,15,1799.0
5:49.0, ,57-72,Shooting foul by B. Miller (drawn by D. Robinson),,3,72,57,15,1811.0
5:49.0, ,57-73,D. Robinson makes free throw 1 of 3,,3,73,57,16,1811.0
5:49.0, ,57-74,D. Robinson makes free throw 2 of 3,,3,74,57,17,1811.0
5:49.0,I. Smith enters the game for T. Rozier,57-74, ,,3,74,57,17,1811.0
5:49.0, ,57-74,J. Jaquez enters the game for C. Martin,,3,74,57,17,1811.0
5:49.0, ,57-74,K. Love enters the game for O. Robinson,,3,74,57,17,1811.0
5:49.0, ,57-75,D. Robinson makes free throw 3 of 3,,3,75,57,18,1811.0
5:40.0,B. Miller misses 3-pt jump shot from 26 ft,57-75, ,,3,75,57,18,1820.0
5:36.0, ,57-75,Defensive rebound by K. Love,,3,75,57,18,1824.0
5:15.0, ,57-78,J. Jaquez makes 3-pt jump shot from 25 ft (assist by J. Butler),,3,78,57,21,1845.0
