Time,Miami,Score,Charlotte,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:47.0, ,63-54,P. Washington misses 2-pt layup from 4 ft,,3,63,54,9,1573.0
9:43.0, ,63-54,Offensive rebound by P. Washington,,3,63,54,9,1577.0
9:43.0, ,63-56,P. Washington makes 2-pt layup at rim,,3,63,56,7,1577.0
9:41.0,Shooting foul by M. Williams (drawn by D. Robinson),63-56, ,,3,63,56,7,1579.0
9:41.0,D. Robinson makes free throw 1 of 2,64-56, ,,3,64,56,8,1579.0
9:41.0,D. Robinson makes free throw 2 of 2,65-56, ,,3,65,56,9,1579.0
9:30.0, ,65-56,T. Maledon misses 3-pt jump shot from 26 ft,,3,65,56,9,1590.0
9:26.0,Defensive rebound by H. Highsmith,65-56, ,,3,65,56,9,1594.0
9:06.0,B. Adebayo misses 2-pt jump shot from 12 ft,65-56, ,,3,65,56,9,1614.0
8:58.0, ,65-56,Defensive rebound by T. Maledon,,3,65,56,9,1622.0
8:54.0, ,65-56,J. Thor misses 2-pt layup from 3 ft,,3,65,56,9,1626.0
8:53.0, ,65-56,Offensive rebound by J. Thor,,3,65,56,9,1627.0
8:53.0, ,65-56,J. Thor misses 2-pt layup from 3 ft,,3,65,56,9,1627.0
8:53.0, ,65-56,Offensive rebound by M. Williams,,3,65,56,9,1627.0
8:53.0, ,65-56,Shooting foul by H. Highsmith (drawn by M. Williams),,3,65,56,9,1627.0
8:53.0, ,65-56,M. Williams misses free throw 1 of 2,,3,65,56,9,1627.0
8:53.0, ,65-56,Offensive rebound by Team,,3,65,56,9,1627.0
8:53.0, ,65-56,M. Williams misses free throw 2 of 2,,3,65,56,9,1627.0
8:50.0,Defensive rebound by B. Adebayo,65-56, ,,3,65,56,9,1630.0
8:34.0,J. Butler makes 2-pt jump shot from 13 ft,67-56, ,,3,67,56,11,1646.0
8:20.0, ,67-58,P. Washington makes 2-pt hook shot from 7 ft (assist by L. Ball),,3,67,58,9,1660.0
8:09.0,Def 3 sec tech foul by Team,67-58, ,,3,67,58,9,1671.0
8:09.0,J. Butler makes technical free throw,68-58, ,,3,68,58,10,1671.0
8:05.0,D. Robinson misses 3-pt jump shot from 27 ft,68-58, ,,3,68,58,10,1675.0
8:02.0, ,68-58,Defensive rebound by P. Washington,,3,68,58,10,1678.0
7:55.0, ,68-61,P. Washington makes 3-pt jump shot from 26 ft (assist by L. Ball),,3,68,61,7,1685.0
7:36.0,D. Robinson makes 2-pt layup from 2 ft (assist by K. Lowry),70-61, ,,3,70,61,9,1704.0
7:12.0, ,70-61,L. Ball misses 2-pt layup from 9 ft,,3,70,61,9,1728.0
7:09.0,Defensive rebound by B. Adebayo,70-61, ,,3,70,61,9,1731.0
7:08.0,Shooting foul by J. Thor (drawn by B. Adebayo),70-61, ,,3,70,61,9,1732.0
7:08.0,B. Adebayo makes free throw 1 of 2,71-61, ,,3,71,61,10,1732.0
7:08.0,B. Adebayo makes free throw 2 of 2,72-61, ,,3,72,61,11,1732.0
6:52.0, ,72-61,P. Washington misses 2-pt jump shot from 7 ft,,3,72,61,11,1748.0
6:49.0, ,72-61,Offensive rebound by L. Ball,,3,72,61,11,1751.0
6:45.0, ,72-64,L. Ball makes 3-pt jump shot from 26 ft,,3,72,64,8,1755.0
6:36.0,Shooting foul by T. Maledon (drawn by J. Butler),72-64, ,,3,72,64,8,1764.0
6:36.0, ,72-64,Charlotte full timeout,,3,72,64,8,1764.0
6:36.0,J. Butler makes free throw 1 of 2,73-64, ,,3,73,64,9,1764.0
6:36.0,J. Butler makes free throw 2 of 2,74-64, ,,3,74,64,10,1764.0
6:13.0, ,74-64,P. Washington misses 2-pt jump shot from 7 ft,,3,74,64,10,1787.0
6:10.0,Defensive rebound by K. Lowry,74-64, ,,3,74,64,10,1790.0
6:07.0,K. Lowry misses 3-pt jump shot from 28 ft,74-64, ,,3,74,64,10,1793.0
6:04.0, ,74-64,Defensive rebound by P. Washington,,3,74,64,10,1796.0
5:55.0, ,74-64,Shooting foul by K. Lowry (drawn by M. Williams),,3,74,64,10,1805.0
5:55.0, ,74-64,M. Williams misses free throw 1 of 2,,3,74,64,10,1805.0
5:55.0, ,74-64,Offensive rebound by Team,,3,74,64,10,1805.0
5:55.0,J. Jaquez enters the game for B. Adebayo,74-64, ,,3,74,64,10,1805.0
5:55.0,K. Love enters the game for D. Robinson,74-64, ,,3,74,64,10,1805.0
5:55.0, ,74-64,B. McGowens enters the game for L. Ball,,3,74,64,10,1805.0
5:55.0, ,74-64,I. Smith enters the game for J. Thor,,3,74,64,10,1805.0
5:55.0, ,74-65,M. Williams makes free throw 2 of 2,,3,74,65,9,1805.0
5:41.0,J. Jaquez makes 2-pt jump shot from 11 ft (assist by H. Highsmith),76-65, ,,3,76,65,11,1819.0
5:18.0, ,76-67,M. Williams makes 2-pt layup from 1 ft (assist by I. Smith),,3,76,67,9,1842.0
5:08.0,Personal foul by P. Washington (drawn by H. Highsmith),76-67, ,,3,76,67,9,1852.0
4:55.0,J. Jaquez makes 2-pt dunk from 2 ft (assist by K. Lowry),78-67, ,,3,78,67,11,1865.0
4:48.0, ,78-67,Personal foul by J. Jaquez (drawn by I. Smith),,3,78,67,11,1872.0
4:32.0, ,78-67,T. Maledon misses 3-pt jump shot from 25 ft,,3,78,67,11,1888.0
4:29.0,Defensive rebound by K. Love,78-67, ,,3,78,67,11,1891.0
4:14.0,Shooting foul by B. McGowens (drawn by K. Love),78-67, ,,3,78,67,11,1906.0
4:14.0, ,78-67,Charlotte full timeout,,3,78,67,11,1906.0
4:14.0, ,78-67,N. Richards enters the game for M. Williams,,3,78,67,11,1906.0
4:14.0,K. Love makes free throw 1 of 2,79-67, ,,3,79,67,12,1906.0
4:14.0,K. Love makes free throw 2 of 2,80-67, ,,3,80,67,13,1906.0
3:59.0, ,80-69,P. Washington makes 2-pt layup from 2 ft (assist by T. Maledon),,3,80,69,11,1921.0
3:59.0, ,80-69,Shooting foul by K. Love (drawn by P. Washington),,3,80,69,11,1921.0
3:59.0,Miami full timeout,80-69, ,,3,80,69,11,1921.0
3:59.0,Instant Replay (Challenge: Ruling Stands),80-69, ,,3,80,69,11,1921.0
3:59.0,J. Richardson enters the game for H. Highsmith,80-69, ,,3,80,69,11,1921.0
