Time,Houston,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:10.0,Shooting foul by J. Richardson (drawn by J. Green),35-43, ,,2,43,35,8,1010.0
7:10.0,J. Green misses free throw 1 of 2,35-43, ,,2,43,35,8,1010.0
7:10.0,Offensive rebound by Team,35-43, ,,2,43,35,8,1010.0
7:10.0,J. Green makes free throw 2 of 2,36-43, ,,2,43,36,7,1010.0
6:55.0, ,36-45,J. Jaquez makes 2-pt layup from 4 ft,,2,45,36,9,1025.0
6:45.0,F. VanVleet makes 3-pt jump shot from 28 ft,39-45, ,,2,45,39,6,1035.0
6:30.0, ,39-48,H. Highsmith makes 3-pt jump shot from 26 ft (assist by J. Jaquez),,2,48,39,9,1050.0
6:10.0,J. Green misses 3-pt jump shot from 26 ft,39-48, ,,2,48,39,9,1070.0
6:07.0, ,39-48,Defensive rebound by H. Highsmith,,2,48,39,9,1073.0
6:04.0, ,39-48,Offensive foul by B. Adebayo (drawn by F. VanVleet),,2,48,39,9,1076.0
6:04.0, ,39-48,Turnover by B. Adebayo (offensive foul),,2,48,39,9,1076.0
6:04.0, ,39-48,Miami full timeout,,2,48,39,9,1076.0
6:04.0,J. Smith enters the game for J. Green,39-48, ,,2,48,39,9,1076.0
6:04.0, ,39-48,T. Herro enters the game for B. Adebayo,,2,48,39,9,1076.0
6:04.0, ,39-48,K. Love enters the game for J. Jaquez,,2,48,39,9,1076.0
5:59.0,A. Sengun makes 2-pt layup from 6 ft (assist by J. Green),41-48, ,,2,48,41,7,1081.0
5:47.0,Violation by Team (kicked ball),41-48, ,,2,48,41,7,1093.0
5:41.0, ,41-48,D. Robinson misses 3-pt jump shot from 30 ft,,2,48,41,7,1099.0
5:36.0,Defensive rebound by A. Sengun,41-48, ,,2,48,41,7,1104.0
5:26.0,A. Sengun makes 3-pt jump shot from 27 ft (assist by J. Tate),44-48, ,,2,48,44,4,1114.0
5:11.0, ,44-50,T. Herro makes 2-pt jump shot from 13 ft (assist by K. Love),,2,50,44,6,1129.0
5:11.0, ,44-50,Shooting foul by J. Tate (drawn by T. Herro),,2,50,44,6,1129.0
5:11.0, ,44-51,T. Herro makes free throw 1 of 1,,2,51,44,7,1129.0
4:55.0,J. Tate misses 2-pt hook shot from 8 ft,44-51, ,,2,51,44,7,1145.0
4:53.0, ,44-51,Defensive rebound by H. Highsmith,,2,51,44,7,1147.0
4:42.0, ,44-51,K. Love misses 3-pt jump shot from 26 ft,,2,51,44,7,1158.0
4:39.0,Defensive rebound by F. VanVleet,44-51, ,,2,51,44,7,1161.0
4:33.0,F. VanVleet misses 2-pt layup from 7 ft,44-51, ,,2,51,44,7,1167.0
4:31.0,Offensive rebound by Team,44-51, ,,2,51,44,7,1169.0
4:31.0, ,44-51,K. Lowry enters the game for D. Robinson,,2,51,44,7,1169.0
4:26.0,F. VanVleet misses 3-pt jump shot from 26 ft,44-51, ,,2,51,44,7,1174.0
4:22.0,Offensive rebound by J. Tate,44-51, ,,2,51,44,7,1178.0
4:16.0,A. Sengun makes 2-pt layup from 6 ft (assist by J. Green),46-51, ,,2,51,46,5,1184.0
