Time,Miami,Score,Milwaukee,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:19.0,Turnover by K. Love (bad pass; steal by M. Beasley),85-70, ,,3,85,70,15,1901.0
4:15.0, ,85-72,M. Beasley makes 2-pt jump shot from 1 ft (assist by B. Portis),,3,85,72,13,1905.0
4:02.0,J. Jaquez misses 2-pt layup from 7 ft (block by B. Lopez),85-72, ,,3,85,72,13,1918.0
4:02.0,Offensive rebound by Team,85-72, ,,3,85,72,13,1918.0
3:59.0,K. Love makes 3-pt jump shot from 28 ft (assist by N. Jović),88-72, ,,3,88,72,16,1921.0
3:40.0, ,88-72,Turnover by B. Lopez (bad pass),,3,88,72,16,1940.0
3:40.0,B. Adebayo enters the game for N. Jović,88-72, ,,3,88,72,16,1940.0
3:40.0, ,88-72,G. Antetokounmpo enters the game for B. Lopez,,3,88,72,16,1940.0
3:29.0,Def 3 sec tech foul by Team,88-72, ,,3,88,72,16,1951.0
3:29.0,D. Robinson makes technical free throw,89-72, ,,3,89,72,17,1951.0
3:24.0,J. Jaquez misses 2-pt layup from 5 ft (block by G. Antetokounmpo),89-72, ,,3,89,72,17,1956.0
3:24.0,Offensive rebound by Team,89-72, ,,3,89,72,17,1956.0
3:19.0,D. Robinson makes 3-pt jump shot from 27 ft (assist by B. Adebayo),92-72, ,,3,92,72,20,1961.0
3:08.0, ,92-72,Personal foul by J. Jaquez (drawn by G. Antetokounmpo),,3,92,72,20,1972.0
3:08.0, ,92-72,P. Beverley enters the game for D. Lillard,,3,92,72,20,1972.0
3:02.0, ,92-72,M. Beasley misses 3-pt jump shot from 27 ft,,3,92,72,20,1978.0
3:00.0,Defensive rebound by K. Love,92-72, ,,3,92,72,20,1980.0
2:57.0,Personal foul by P. Beverley (drawn by D. Robinson),92-72, ,,3,92,72,20,1983.0
2:57.0, ,92-72,Milwaukee full timeout,,3,92,72,20,1983.0
2:57.0, ,92-72,A. Green enters the game for M. Beasley,,3,92,72,20,1983.0
2:46.0,B. Adebayo misses 2-pt jump shot from 6 ft,92-72, ,,3,92,72,20,1994.0
2:43.0,Offensive rebound by J. Jaquez,92-72, ,,3,92,72,20,1997.0
2:38.0,J. Jaquez misses 2-pt layup from 5 ft (block by G. Antetokounmpo),92-72, ,,3,92,72,20,2002.0
2:37.0, ,92-72,Defensive rebound by Team,,3,92,72,20,2003.0
2:37.0,H. Highsmith enters the game for C. Martin,92-72, ,,3,92,72,20,2003.0
2:37.0,Jump ball: G. Antetokounmpo vs. J. Jaquez (A. Green gains possession),92-72,,,3,92,72,20,2003.0
2:25.0, ,92-72,G. Antetokounmpo misses 2-pt jump shot from 9 ft,,3,92,72,20,2015.0
2:23.0,Defensive rebound by D. Robinson,92-72, ,,3,92,72,20,2017.0
2:20.0,Shooting foul by P. Connaughton (drawn by J. Jaquez),92-72, ,,3,92,72,20,2020.0
2:20.0,J. Jaquez makes free throw 1 of 2,93-72, ,,3,93,72,21,2020.0
2:20.0,J. Jaquez makes free throw 2 of 2,94-72, ,,3,94,72,22,2020.0
2:13.0, ,94-72,Personal foul by B. Adebayo (drawn by G. Antetokounmpo),,3,94,72,22,2027.0
2:02.0, ,94-72,P. Connaughton misses 2-pt layup from 5 ft (block by H. Highsmith),,3,94,72,22,2038.0
1:58.0,Defensive rebound by H. Highsmith,94-72, ,,3,94,72,22,2042.0
1:49.0,Offensive foul by B. Adebayo (drawn by P. Connaughton),94-72, ,,3,94,72,22,2051.0
1:49.0,Turnover by B. Adebayo (offensive foul),94-72, ,,3,94,72,22,2051.0
1:49.0,Technical foul by B. Adebayo,94-72, ,,3,94,72,22,2051.0
1:49.0, ,94-73,A. Green makes technical free throw,,3,94,73,21,2051.0
1:39.0, ,94-73,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,3,94,73,21,2061.0
