Time,Indiana,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:57.0, ,51-54,Defensive rebound by J. Butler,,2,54,51,3,1203.0
3:49.0, ,51-54,J. Butler misses 2-pt layup from 5 ft (block by O. Toppin),,2,54,51,3,1211.0
3:49.0, ,51-54,Offensive rebound by Team,,2,54,51,3,1211.0
3:36.0, ,51-56,J. Butler makes 2-pt jump shot from 16 ft,,2,56,51,5,1224.0
3:15.0,B. Brown makes 2-pt layup from 4 ft,53-56, ,,2,56,53,3,1245.0
2:55.0, ,53-58,J. Richardson makes 2-pt layup from 5 ft (assist by K. Love),,2,58,53,5,1265.0
2:40.0,B. Mathurin misses 2-pt layup from 7 ft (block by J. Richardson),53-58, ,,2,58,53,5,1280.0
2:40.0, ,53-58,Defensive rebound by J. Butler,,2,58,53,5,1280.0
2:40.0, ,53-58,Personal foul by B. Mathurin (drawn by J. Richardson),,2,58,53,5,1280.0
2:40.0, ,53-59,J. Richardson makes free throw 1 of 2,,2,59,53,6,1280.0
2:40.0,B. Hield enters the game for B. Mathurin,53-59, ,,2,59,53,6,1280.0
2:40.0, ,53-60,J. Richardson makes free throw 2 of 2,,2,60,53,7,1280.0
2:27.0,A. Nesmith makes 3-pt jump shot from 25 ft (assist by A. Nembhard),56-60, ,,2,60,56,4,1293.0
2:06.0, ,56-60,K. Lowry misses 3-pt jump shot from 27 ft,,2,60,56,4,1314.0
2:02.0,Defensive rebound by A. Nesmith,56-60, ,,2,60,56,4,1318.0
1:53.0,Turnover by B. Hield (bad pass),56-60, ,,2,60,56,4,1327.0
1:53.0, ,56-60,D. Robinson enters the game for C. Martin,,2,60,56,4,1327.0
1:39.0, ,56-63,K. Love makes 3-pt jump shot from 26 ft,,2,63,56,7,1341.0
1:25.0,A. Nesmith makes 2-pt jump shot from 11 ft,58-63, ,,2,63,58,5,1355.0
1:08.0, ,58-63,J. Butler misses 2-pt jump shot from 15 ft,,2,63,58,5,1372.0
1:04.0,Defensive rebound by B. Brown,58-63, ,,2,63,58,5,1376.0
1:01.0,B. Brown makes 2-pt layup from 3 ft,60-63, ,,2,63,60,3,1379.0
0:50.0, ,60-63,J. Richardson misses 3-pt jump shot from 26 ft,,2,63,60,3,1390.0
0:47.0,Defensive rebound by O. Toppin,60-63, ,,2,63,60,3,1393.0
0:43.0,B. Brown makes 3-pt jump shot from 28 ft (assist by A. Nembhard),63-63, ,Tie,2,63,63,0,1397.0
0:27.0, ,63-63,J. Butler misses 2-pt jump shot from 5 ft,,2,63,63,0,1413.0
0:27.0, ,63-63,Offensive rebound by Team,,2,63,63,0,1413.0
0:27.0,T. McConnell enters the game for A. Nesmith,63-63, ,,2,63,63,0,1413.0
0:27.0, ,63-63,O. Robinson enters the game for K. Love,,2,63,63,0,1413.0
0:20.0, ,63-65,O. Robinson makes 2-pt hook shot from 7 ft (assist by D. Robinson),,2,65,63,2,1420.0
0:00.0,T. McConnell makes 2-pt jump shot from 9 ft (assist by A. Nembhard),65-65, ,Tie,2,65,65,0,1440.0
0:00.0,Instant Replay (Request: Ruling Stands),65-65, ,,2,65,65,0,1440.0
0:00.0,End of 2nd quarter,65-65,,,2,65,65,0,1440.0
12:00.0,Start of 3rd quarter,65-65,,,3,65,65,0,1440.0
11:45.0, ,65-65,Shooting foul by A. Nembhard (drawn by K. Lowry),,3,65,65,0,1455.0
11:45.0, ,65-66,K. Lowry makes free throw 1 of 2,,3,66,65,1,1455.0
11:45.0, ,65-67,K. Lowry makes free throw 2 of 2,,3,67,65,2,1455.0
11:37.0,A. Nembhard misses 2-pt layup from 4 ft,65-67, ,,3,67,65,2,1463.0
11:33.0,Offensive rebound by M. Turner,65-67, ,,3,67,65,2,1467.0
11:33.0,M. Turner makes 2-pt layup from 4 ft,67-67, ,Tie,3,67,67,0,1467.0
11:18.0, ,67-70,C. Martin makes 3-pt jump shot from 28 ft (assist by D. Robinson),,3,70,67,3,1482.0
10:59.0,B. Brown makes 2-pt jump shot from 7 ft,69-70, ,,3,70,69,1,1501.0
10:35.0, ,69-70,D. Robinson misses 2-pt jump shot from 14 ft,,3,70,69,1,1525.0
10:32.0,Defensive rebound by B. Brown,69-70, ,,3,70,69,1,1528.0
10:27.0,Personal foul by J. Butler (drawn by M. Turner),69-70, ,,3,70,69,1,1533.0
10:20.0,A. Nembhard misses 2-pt jump shot from 7 ft,69-70, ,,3,70,69,1,1540.0
10:17.0, ,69-70,Defensive rebound by K. Lowry,,3,70,69,1,1543.0
10:05.0, ,69-70,K. Lowry misses 2-pt jump shot from 13 ft,,3,70,69,1,1555.0
10:02.0,Defensive rebound by M. Turner,69-70, ,,3,70,69,1,1558.0
9:58.0,B. Brown makes 3-pt jump shot from 23 ft (assist by O. Toppin),72-70, ,Lead change,3,70,72,-2,1562.0
9:41.0, ,72-72,O. Robinson makes 2-pt hook shot from 3 ft (assist by J. Butler),Tie,3,72,72,0,1579.0
9:32.0,Personal foul by D. Robinson (drawn by B. Brown),72-72, ,,3,72,72,0,1588.0
9:25.0,M. Turner makes 2-pt dunk from 1 ft (assist by A. Nembhard),74-72, ,,3,72,74,-2,1595.0
9:05.0, ,74-72,J. Butler misses 2-pt layup from 5 ft (block by O. Toppin),,3,72,74,-2,1615.0
9:05.0, ,74-72,Offensive rebound by Team,,3,72,74,-2,1615.0
9:00.0, ,74-72,O. Robinson misses 2-pt jump shot from 22 ft (block by O. Toppin),,3,72,74,-2,1620.0
8:59.0, ,74-72,Offensive rebound by Team,,3,72,74,-2,1621.0
8:57.0, ,74-72,Turnover by Team (shot clock),,3,72,74,-2,1623.0
8:45.0,O. Toppin makes 3-pt jump shot from 24 ft (assist by A. Nembhard),77-72, ,,3,72,77,-5,1635.0
8:18.0, ,77-72,C. Martin misses 2-pt layup from 5 ft (block by M. Turner),,3,72,77,-5,1662.0
8:14.0,Defensive rebound by M. Turner,77-72, ,,3,72,77,-5,1666.0
8:13.0,B. Hield makes 3-pt jump shot from 27 ft (assist by A. Nembhard),80-72, ,,3,72,80,-8,1667.0
7:56.0, ,80-72,O. Robinson misses 2-pt layup from 6 ft,,3,72,80,-8,1684.0
7:52.0,Defensive rebound by B. Brown,80-72, ,,3,72,80,-8,1688.0
7:51.0,O. Toppin makes 2-pt dunk from 2 ft (assist by B. Hield),82-72, ,,3,72,82,-10,1689.0
7:50.0, ,82-72,Miami full timeout,,3,72,82,-10,1690.0
7:31.0, ,82-75,O. Robinson makes 3-pt jump shot from 27 ft (assist by J. Butler),,3,75,82,-7,1709.0
7:14.0,B. Brown misses 3-pt jump shot from 24 ft,82-75, ,,3,75,82,-7,1726.0
7:10.0, ,82-75,Defensive rebound by O. Robinson,,3,75,82,-7,1730.0
7:03.0, ,82-77,D. Robinson makes 2-pt layup from 5 ft (assist by C. Martin),,3,77,82,-5,1737.0
6:44.0,A. Nembhard misses 2-pt layup from 5 ft,82-77, ,,3,77,82,-5,1756.0
6:41.0, ,82-77,Defensive rebound by K. Lowry,,3,77,82,-5,1759.0
6:33.0, ,82-77,K. Lowry misses 3-pt jump shot from 26 ft,,3,77,82,-5,1767.0
6:24.0,Defensive rebound by M. Turner,82-77, ,,3,77,82,-5,1776.0
6:24.0,B. Hield makes 2-pt layup from 3 ft (assist by A. Nembhard),84-77, ,,3,77,84,-7,1776.0
6:17.0, ,84-77,Personal foul by B. Hield (drawn by C. Martin),,3,77,84,-7,1783.0
6:17.0,B. Mathurin enters the game for B. Hield,84-77, ,,3,77,84,-7,1783.0
6:08.0, ,84-77,O. Robinson misses 2-pt layup from 5 ft (block by M. Turner),,3,77,84,-7,1792.0
6:05.0, ,84-77,Offensive rebound by O. Robinson,,3,77,84,-7,1795.0
6:05.0, ,84-77,Turnover by C. Martin (bad pass),,3,77,84,-7,1795.0
5:44.0,M. Turner makes 2-pt layup from 4 ft (assist by B. Mathurin),86-77, ,,3,77,86,-9,1816.0
5:29.0, ,86-77,J. Butler misses 2-pt layup from 5 ft,,3,77,86,-9,1831.0
5:27.0, ,86-77,Offensive rebound by J. Butler,,3,77,86,-9,1833.0
5:25.0, ,86-79,J. Butler makes 2-pt layup from 5 ft,,3,79,86,-7,1835.0
5:16.0,A. Nembhard makes 2-pt jump shot from 8 ft,88-79, ,,3,79,88,-9,1844.0
5:02.0, ,88-81,J. Butler makes 2-pt jump shot from 7 ft,,3,81,88,-7,1858.0
5:00.0,Personal foul by K. Lowry (drawn by B. Mathurin),88-81, ,,3,81,88,-7,1860.0
