Time,Miami,Score,New York,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:01.0,K. Love enters the game for J. Richardson,73-60, ,,3,73,60,13,1859.0
4:54.0,K. Love misses 3-pt jump shot from 26 ft,73-60, ,,3,73,60,13,1866.0
4:52.0,Offensive rebound by J. Jaquez,73-60, ,,3,73,60,13,1868.0
4:52.0,J. Jaquez makes 2-pt layup at rim,75-60, ,,3,75,60,15,1868.0
4:52.0, ,75-60,J. Hart enters the game for R. Barrett,,3,75,60,15,1868.0
4:34.0, ,75-60,J. Randle misses 2-pt jump shot from 5 ft,,3,75,60,15,1886.0
4:33.0,Defensive rebound by K. Lowry,75-60, ,,3,75,60,15,1887.0
4:28.0,J. Jaquez makes 3-pt jump shot from 24 ft (assist by H. Highsmith),78-60, ,,3,78,60,18,1892.0
4:16.0, ,78-62,J. Randle makes 2-pt layup from 1 ft (assist by J. Brunson),,3,78,62,16,1904.0
4:07.0,J. Jaquez makes 2-pt layup from 1 ft,80-62, ,,3,80,62,18,1913.0
3:57.0, ,80-62,J. Brunson misses 2-pt jump shot from 3 ft,,3,80,62,18,1923.0
3:57.0,Defensive rebound by Team,80-62, ,,3,80,62,18,1923.0
3:57.0, ,80-62,I. Quickley enters the game for Q. Grimes,,3,80,62,18,1923.0
3:40.0,J. Butler makes 2-pt jump shot from 11 ft,82-62, ,,3,82,62,20,1940.0
3:40.0,Shooting foul by J. Hart (drawn by J. Butler),82-62, ,,3,82,62,20,1940.0
3:40.0, ,82-62,New York full timeout,,3,82,62,20,1940.0
3:40.0, ,82-62,Instant Replay (Challenge: Ruling Stands),,3,82,62,20,1940.0
3:40.0, ,82-62,I. Hartenstein enters the game for M. Robinson,,3,82,62,20,1940.0
3:40.0,J. Butler makes free throw 1 of 1,83-62, ,,3,83,62,21,1940.0
3:29.0, ,83-62,Turnover by I. Hartenstein (bad pass; steal by J. Jaquez),,3,83,62,21,1951.0
3:27.0,H. Highsmith misses 2-pt dunk from 2 ft (block by I. Hartenstein),83-62, ,,3,83,62,21,1953.0
3:26.0, ,83-62,Defensive rebound by J. Hart,,3,83,62,21,1954.0
3:19.0, ,83-65,I. Quickley makes 3-pt jump shot from 26 ft (assist by J. Hart),,3,83,65,18,1961.0
