Time,Brooklyn,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:11.0,L. Walker misses 3-pt jump shot from 23 ft,36-43, ,,2,43,36,7,1069.0
6:08.0, ,36-43,Defensive rebound by T. Bryant,,2,43,36,7,1072.0
5:49.0, ,36-45,T. Bryant makes 2-pt hook shot from 6 ft,,2,45,36,9,1091.0
5:41.0, ,36-45,Loose ball foul by T. Bryant (drawn by B. Simmons),,2,45,36,9,1099.0
5:41.0,R. O'Neale enters the game for D. Finney-Smith,36-45, ,,2,45,36,9,1099.0
5:41.0, ,36-45,B. Adebayo enters the game for T. Bryant,,2,45,36,9,1099.0
5:41.0, ,36-45,J. Jaquez enters the game for H. Highsmith,,2,45,36,9,1099.0
5:41.0, ,36-45,K. Lowry enters the game for J. Richardson,,2,45,36,9,1099.0
5:40.0,Turnover by M. Bridges (bad pass; steal by B. Adebayo),36-45, ,,2,45,36,9,1100.0
5:38.0, ,36-45,Turnover by B. Adebayo (step out of bounds),,2,45,36,9,1102.0
5:28.0,Turnover by L. Walker (discontinued dribble),36-45, ,,2,45,36,9,1112.0
5:10.0, ,36-48,K. Lowry makes 3-pt jump shot from 22 ft (assist by J. Butler),,2,48,36,12,1130.0
4:44.0,J. Wilson misses 2-pt hook shot from 6 ft,36-48, ,,2,48,36,12,1156.0
4:41.0, ,36-48,Defensive rebound by B. Adebayo,,2,48,36,12,1159.0
4:32.0, ,36-48,D. Robinson misses 3-pt jump shot from 27 ft,,2,48,36,12,1168.0
4:26.0,Defensive rebound by R. O'Neale,36-48, ,,2,48,36,12,1174.0
4:24.0,Shooting foul by J. Jaquez (drawn by B. Simmons),36-48, ,,2,48,36,12,1176.0
4:24.0,B. Simmons misses free throw 1 of 2,36-48, ,,2,48,36,12,1176.0
4:24.0,Offensive rebound by Team,36-48, ,,2,48,36,12,1176.0
4:24.0,C. Thomas enters the game for M. Bridges,36-48, ,,2,48,36,12,1176.0
4:24.0,B. Simmons misses free throw 2 of 2,36-48, ,,2,48,36,12,1176.0
4:22.0, ,36-48,Defensive rebound by D. Robinson,,2,48,36,12,1178.0
4:14.0, ,36-48,J. Butler misses 2-pt layup from 2 ft,,2,48,36,12,1186.0
4:09.0,Defensive rebound by R. O'Neale,36-48, ,,2,48,36,12,1191.0
4:06.0,L. Walker makes 2-pt layup from 3 ft (assist by R. O'Neale),38-48, ,,2,48,38,10,1194.0
3:43.0, ,38-50,B. Adebayo makes 2-pt jump shot from 10 ft,,2,50,38,12,1217.0
3:28.0,B. Simmons misses 2-pt jump shot from 4 ft,38-50, ,,2,50,38,12,1232.0
3:23.0,Offensive rebound by B. Simmons,38-50, ,,2,50,38,12,1237.0
3:23.0,B. Simmons misses 2-pt layup at rim,38-50, ,,2,50,38,12,1237.0
3:22.0, ,38-50,Defensive rebound by B. Adebayo,,2,50,38,12,1238.0
3:19.0, ,38-53,D. Robinson makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,2,53,38,15,1241.0
