Time,Minnesota,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
11:42.0, ,22-33,D. Robinson misses 3-pt jump shot from 25 ft,,2,33,22,11,738.0
11:36.0,Defensive rebound by T. Brown,22-33, ,,2,33,22,11,744.0
11:28.0,Personal foul by J. Jaquez (drawn by K. Towns),22-33, ,,2,33,22,11,752.0
11:23.0,N. Reid misses 3-pt jump shot from 26 ft,22-33, ,,2,33,22,11,757.0
11:20.0,Offensive rebound by K. Towns,22-33, ,,2,33,22,11,760.0
11:17.0,N. Alexander-Walker misses 3-pt jump shot from 26 ft,22-33, ,,2,33,22,11,763.0
11:13.0, ,22-33,Defensive rebound by J. Jaquez,,2,33,22,11,767.0
11:06.0, ,22-35,J. Jaquez makes 2-pt hook shot from 6 ft,,2,35,22,13,774.0
10:49.0,Personal foul by B. Adebayo (drawn by N. Reid),22-35, ,,2,35,22,13,791.0
10:36.0,T. Brown makes 3-pt jump shot from 26 ft (assist by K. Anderson),25-35, ,,2,35,25,10,804.0
10:16.0, ,25-37,B. Adebayo makes 2-pt dunk from 1 ft (assist by D. Robinson),,2,37,25,12,824.0
10:10.0,Shooting foul by D. Robinson (drawn by K. Anderson),25-37, ,,2,37,25,12,830.0
10:10.0,K. Anderson misses free throw 1 of 2,25-37, ,,2,37,25,12,830.0
10:10.0,Offensive rebound by Team,25-37, ,,2,37,25,12,830.0
10:10.0,K. Anderson makes free throw 2 of 2,26-37, ,,2,37,26,11,830.0
10:01.0, ,26-37,Shooting foul by N. Reid (drawn by J. Jaquez),,2,37,26,11,839.0
10:01.0, ,26-38,J. Jaquez makes free throw 1 of 2,,2,38,26,12,839.0
10:01.0, ,26-39,J. Jaquez makes free throw 2 of 2,,2,39,26,13,839.0
9:46.0,K. Anderson makes 2-pt layup from 3 ft (assist by T. Brown),28-39, ,,2,39,28,11,854.0
9:33.0, ,28-42,D. Robinson makes 3-pt jump shot from 27 ft (assist by B. Adebayo),,2,42,28,14,867.0
