Time,Memphis,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:10.0, ,55-50,T. Herro misses 3-pt jump shot from 25 ft,,3,50,55,-5,1550.0
10:06.0,Defensive rebound by J. Jackson,55-50, ,,3,50,55,-5,1554.0
9:52.0,Shooting foul by B. Adebayo (drawn by J. Jackson),55-50, ,,3,50,55,-5,1568.0
9:52.0,J. Jackson misses free throw 1 of 2,55-50, ,,3,50,55,-5,1568.0
9:52.0,Offensive rebound by Team,55-50, ,,3,50,55,-5,1568.0
9:52.0,J. Jackson makes free throw 2 of 2,56-50, ,,3,50,56,-6,1568.0
9:37.0, ,56-52,J. Butler makes 2-pt layup from 2 ft (assist by J. Richardson),,3,52,56,-4,1583.0
9:25.0,J. Jackson misses 3-pt jump shot from 26 ft,56-52, ,,3,52,56,-4,1595.0
9:22.0, ,56-52,Defensive rebound by B. Adebayo,,3,52,56,-4,1598.0
9:12.0, ,56-52,H. Highsmith misses 3-pt jump shot from 25 ft,,3,52,56,-4,1608.0
9:08.0,Defensive rebound by J. Konchar,56-52, ,,3,52,56,-4,1612.0
8:54.0,D. Roddy makes 2-pt dunk from 1 ft (assist by V. Williams),58-52, ,,3,52,58,-6,1626.0
8:46.0, ,58-52,Turnover by J. Butler (bad pass; steal by D. Roddy),,3,52,58,-6,1634.0
8:42.0,D. Roddy makes 3-pt jump shot from 26 ft,61-52, ,,3,52,61,-9,1638.0
8:34.0, ,61-52,Shooting foul by D. Roddy (drawn by J. Butler),,3,52,61,-9,1646.0
8:34.0, ,61-53,J. Butler makes free throw 1 of 2,,3,53,61,-8,1646.0
8:34.0, ,61-54,J. Butler makes free throw 2 of 2,,3,54,61,-7,1646.0
8:19.0,Turnover by D. Roddy (discontinued dribble),61-54, ,,3,54,61,-7,1661.0
7:57.0, ,61-54,Turnover by J. Butler (bad pass; steal by J. Gilyard),,3,54,61,-7,1683.0
7:52.0,J. Konchar makes 2-pt layup from 1 ft (assist by J. Gilyard),63-54, ,,3,54,63,-9,1688.0
7:37.0, ,63-56,T. Herro makes 2-pt jump shot from 12 ft,,3,56,63,-7,1703.0
7:18.0,J. Jackson misses 2-pt layup from 7 ft (block by B. Adebayo),63-56, ,,3,56,63,-7,1722.0
7:18.0,Offensive rebound by Team,63-56, ,,3,56,63,-7,1722.0
7:12.0,J. Jackson misses 2-pt layup from 5 ft (block by B. Adebayo),63-56, ,,3,56,63,-7,1728.0
7:12.0, ,63-56,Defensive rebound by H. Highsmith,,3,56,63,-7,1728.0
