Time,Miami,Score,Dallas,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
11:41.0,Defensive rebound by T. Rozier,58-54, ,,3,58,54,4,1459.0
11:23.0,D. Robinson makes 3-pt jump shot from 28 ft (assist by T. Rozier),61-54, ,,3,61,54,7,1477.0
11:10.0, ,61-54,L. Dončić misses 2-pt jump shot from 20 ft,,3,61,54,7,1490.0
11:10.0,Defensive rebound by B. Adebayo,61-54, ,,3,61,54,7,1490.0
10:54.0,N. Jović misses 3-pt jump shot from 24 ft,61-54, ,,3,61,54,7,1506.0
10:52.0, ,61-54,Defensive rebound by D. Gafford,,3,61,54,7,1508.0
10:41.0, ,61-56,K. Irving makes 2-pt jump shot from 12 ft (assist by L. Dončić),,3,61,56,5,1519.0
10:16.0,T. Rozier makes 2-pt layup from 5 ft,63-56, ,,3,63,56,7,1544.0
10:04.0, ,63-58,D. Gafford makes 2-pt layup from 1 ft (assist by K. Irving),,3,63,58,5,1556.0
9:55.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by T. Rozier),65-58, ,,3,65,58,7,1565.0
9:39.0, ,65-60,L. Dončić makes 2-pt layup from 5 ft,,3,65,60,5,1581.0
9:29.0,J. Butler misses 2-pt jump shot from 11 ft,65-60, ,,3,65,60,5,1591.0
9:26.0, ,65-60,Defensive rebound by D. Gafford,,3,65,60,5,1594.0
9:17.0, ,65-60,L. Dončić misses 3-pt jump shot from 26 ft,,3,65,60,5,1603.0
9:13.0,Defensive rebound by D. Robinson,65-60, ,,3,65,60,5,1607.0
9:01.0,Offensive foul by N. Jović (drawn by L. Dončić),65-60, ,,3,65,60,5,1619.0
9:01.0,Turnover by N. Jović (offensive foul),65-60, ,,3,65,60,5,1619.0
8:46.0, ,65-60,L. Dončić misses 2-pt jump shot from 9 ft,,3,65,60,5,1634.0
8:44.0, ,65-60,Offensive rebound by D. Jones,,3,65,60,5,1636.0
8:42.0, ,65-60,K. Irving misses 3-pt jump shot from 28 ft,,3,65,60,5,1638.0
8:39.0,Defensive rebound by D. Robinson,65-60, ,,3,65,60,5,1641.0
8:22.0,B. Adebayo misses 2-pt jump shot from 14 ft,65-60, ,,3,65,60,5,1658.0
8:20.0, ,65-60,Defensive rebound by K. Irving,,3,65,60,5,1660.0
8:17.0, ,65-60,K. Irving misses 3-pt jump shot from 26 ft,,3,65,60,5,1663.0
8:13.0, ,65-60,Offensive rebound by Team,,3,65,60,5,1667.0
8:05.0, ,65-62,D. Gafford makes 2-pt dunk at rim (assist by L. Dončić),,3,65,62,3,1675.0
7:58.0,N. Jović misses 3-pt jump shot from 25 ft,65-62, ,,3,65,62,3,1682.0
7:56.0, ,65-62,Defensive rebound by K. Irving,,3,65,62,3,1684.0
7:47.0, ,65-62,P. Washington misses 3-pt jump shot from 25 ft,,3,65,62,3,1693.0
7:45.0,Defensive rebound by T. Rozier,65-62, ,,3,65,62,3,1695.0
7:39.0,J. Butler misses 3-pt jump shot from 25 ft,65-62, ,,3,65,62,3,1701.0
7:39.0, ,65-62,Defensive rebound by D. Jones,,3,65,62,3,1701.0
7:32.0, ,65-65,K. Irving makes 3-pt jump shot from 25 ft,Tie,3,65,65,0,1708.0
7:06.0,D. Robinson makes 2-pt layup from 3 ft (assist by T. Rozier),67-65, ,,3,67,65,2,1734.0
6:51.0, ,67-65,Shooting foul by T. Rozier (drawn by L. Dončić),,3,67,65,2,1749.0
6:51.0, ,67-65,Dallas full timeout,,3,67,65,2,1749.0
6:51.0, ,67-65,D. Exum enters the game for D. Gafford,,3,67,65,2,1749.0
6:51.0, ,67-65,D. Lively enters the game for D. Jones,,3,67,65,2,1749.0
6:51.0, ,67-66,L. Dončić makes free throw 1 of 2,,3,67,66,1,1749.0
6:51.0, ,67-67,L. Dončić makes free throw 2 of 2,Tie,3,67,67,0,1749.0
6:32.0,Shooting foul by D. Lively (drawn by B. Adebayo),67-67, ,,3,67,67,0,1768.0
6:32.0,B. Adebayo makes free throw 1 of 2,68-67, ,,3,68,67,1,1768.0
6:32.0,B. Adebayo misses free throw 2 of 2,68-67, ,,3,68,67,1,1768.0
6:30.0, ,68-67,Defensive rebound by L. Dončić,,3,68,67,1,1770.0
6:19.0, ,68-69,K. Irving makes 2-pt jump shot from 13 ft (assist by L. Dončić),Lead change,3,68,69,-1,1781.0
6:19.0, ,68-69,M. Kleber enters the game for P. Washington,,3,68,69,-1,1781.0
6:00.0,T. Rozier makes 3-pt jump shot from 25 ft (assist by J. Butler),71-69, ,Lead change,3,71,69,2,1800.0
5:42.0, ,71-69,Shooting foul by D. Robinson (drawn by L. Dončić),,3,71,69,2,1818.0
5:42.0, ,71-70,L. Dončić makes free throw 1 of 2,,3,71,70,1,1818.0
5:42.0,C. Martin enters the game for J. Butler,71-70, ,,3,71,70,1,1818.0
5:42.0, ,71-70,T. Hardaway enters the game for K. Irving,,3,71,70,1,1818.0
5:42.0, ,71-71,L. Dončić makes free throw 2 of 2,Tie,3,71,71,0,1818.0
5:32.0,T. Rozier misses 2-pt layup from 2 ft,71-71, ,,3,71,71,0,1828.0
5:29.0, ,71-71,Defensive rebound by M. Kleber,,3,71,71,0,1831.0
5:24.0, ,71-74,L. Dončić makes 3-pt jump shot from 28 ft (assist by D. Exum),Lead change,3,71,74,-3,1836.0
5:10.0,C. Martin misses 3-pt jump shot from 26 ft,71-74, ,,3,71,74,-3,1850.0
5:08.0, ,71-74,Defensive rebound by L. Dončić,,3,71,74,-3,1852.0
5:02.0, ,71-74,T. Hardaway misses 3-pt jump shot from 28 ft,,3,71,74,-3,1858.0
4:59.0,Defensive rebound by B. Adebayo,71-74, ,,3,71,74,-3,1861.0
4:47.0,N. Jović misses 2-pt jump shot from 11 ft,71-74, ,,3,71,74,-3,1873.0
4:45.0, ,71-74,Defensive rebound by D. Exum,,3,71,74,-3,1875.0
4:41.0, ,71-76,D. Lively makes 2-pt dunk from 1 ft (assist by L. Dončić),,3,71,76,-5,1879.0
4:41.0,Miami full timeout,71-76, ,,3,71,76,-5,1879.0
4:41.0,J. Jaquez enters the game for N. Jović,71-76, ,,3,71,76,-5,1879.0
4:22.0,T. Rozier makes 2-pt jump shot from 8 ft (assist by B. Adebayo),73-76, ,,3,73,76,-3,1898.0
4:03.0, ,73-79,L. Dončić makes 3-pt jump shot from 26 ft (assist by D. Exum),,3,73,79,-6,1917.0
3:45.0,Personal foul by D. Exum (drawn by C. Martin),73-79, ,,3,73,79,-6,1935.0
3:39.0,D. Robinson misses 3-pt jump shot from 26 ft,73-79, ,,3,73,79,-6,1941.0
3:37.0, ,73-79,Defensive rebound by L. Dončić,,3,73,79,-6,1943.0
