Time,Detroit,Score,Houston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:00.0,End of 2nd quarter,55-59,,,2,55,59,-4,1440.0
12:00.0,Start of 3rd quarter,55-59,,,3,55,59,-4,1440.0
11:51.0, ,55-62,J. Green makes 3-pt jump shot from 24 ft,,3,55,62,-7,1449.0
11:37.0,B. Bogdanović makes 3-pt jump shot from 28 ft (assist by C. Cunningham),58-62, ,,3,58,62,-4,1463.0
11:25.0, ,58-62,J. Green misses 3-pt jump shot from 26 ft,,3,58,62,-4,1475.0
11:23.0,Defensive rebound by J. Duren,58-62, ,,3,58,62,-4,1477.0
11:03.0,J. Duren makes 2-pt hook shot from 7 ft,60-62, ,,3,60,62,-2,1497.0
10:50.0, ,60-62,Shooting foul by J. Duren (drawn by A. Sengun),,3,60,62,-2,1510.0
10:50.0, ,60-63,A. Sengun makes free throw 1 of 2,,3,60,63,-3,1510.0
10:50.0, ,60-64,A. Sengun makes free throw 2 of 2,,3,60,64,-4,1510.0
10:39.0,B. Bogdanović misses 3-pt jump shot from 26 ft,60-64, ,,3,60,64,-4,1521.0
10:37.0, ,60-64,Defensive rebound by J. Smith,,3,60,64,-4,1523.0
10:25.0, ,60-64,Shooting foul by C. Cunningham (drawn by A. Sengun),,3,60,64,-4,1535.0
10:25.0, ,60-65,A. Sengun makes free throw 1 of 2,,3,60,65,-5,1535.0
10:25.0, ,60-66,A. Sengun makes free throw 2 of 2,,3,60,66,-6,1535.0
10:16.0,C. Cunningham misses 2-pt jump shot from 19 ft,60-66, ,,3,60,66,-6,1544.0
10:15.0,Offensive rebound by J. Duren,60-66, ,,3,60,66,-6,1545.0
10:15.0,J. Duren misses 2-pt layup from 2 ft,60-66, ,,3,60,66,-6,1545.0
10:14.0, ,60-66,Defensive rebound by J. Tate,,3,60,66,-6,1546.0
10:08.0, ,60-66,J. Smith misses 3-pt jump shot from 28 ft,,3,60,66,-6,1552.0
10:05.0,Defensive rebound by J. Duren,60-66, ,,3,60,66,-6,1555.0
9:55.0,C. Cunningham misses 2-pt jump shot from 11 ft,60-66, ,,3,60,66,-6,1565.0
