Time,Detroit,Score,Washington,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:46.0,C. Metu misses 3-pt jump shot from 23 ft,32-24, ,,2,32,24,8,914.0
8:42.0, ,32-24,Defensive rebound by J. Bernard,,2,32,24,8,918.0
8:26.0, ,32-24,P. Baldwin misses 3-pt jump shot from 28 ft,,2,32,24,8,934.0
8:23.0,Defensive rebound by J. Wiseman,32-24, ,,2,32,24,8,937.0
8:12.0,Turnover by C. Metu (traveling),32-24, ,,2,32,24,8,948.0
8:12.0,C. Cunningham enters the game for C. Metu,32-24, ,,2,32,24,8,948.0
8:12.0,Violation by Team (delay of game),32-24, ,,2,32,24,8,948.0
7:57.0, ,32-24,J. Bernard misses 3-pt jump shot from 26 ft,,2,32,24,8,963.0
7:52.0,Defensive rebound by C. Cunningham,32-24, ,,2,32,24,8,968.0
7:43.0,J. Wiseman misses 2-pt jump shot from 19 ft,32-24, ,,2,32,24,8,977.0
7:40.0, ,32-24,Defensive rebound by J. Poole,,2,32,24,8,980.0
7:24.0, ,32-24,Shooting foul by J. Wiseman (drawn by K. Kuzma),,2,32,24,8,996.0
7:24.0, ,32-24,K. Kuzma misses free throw 1 of 2,,2,32,24,8,996.0
7:24.0, ,32-24,Offensive rebound by Team,,2,32,24,8,996.0
7:24.0,J. Duren enters the game for M. Flynn,32-24, ,,2,32,24,8,996.0
7:24.0,J. Ivey enters the game for J. Wiseman,32-24, ,,2,32,24,8,996.0
7:24.0, ,32-24,C. Kispert enters the game for J. Bernard,,2,32,24,8,996.0
7:24.0, ,32-25,K. Kuzma makes free throw 2 of 2,,2,32,25,7,996.0
7:14.0,Shooting foul by P. Baldwin (drawn by J. Duren),32-25, ,,2,32,25,7,1006.0
7:14.0,J. Duren makes free throw 1 of 2,33-25, ,,2,33,25,8,1006.0
7:14.0,J. Duren makes free throw 2 of 2,34-25, ,,2,34,25,9,1006.0
6:55.0, ,34-25,K. Kuzma misses 2-pt hook shot from 7 ft,,2,34,25,9,1025.0
6:53.0,Defensive rebound by J. Duren,34-25, ,,2,34,25,9,1027.0
6:45.0,E. Fournier misses 3-pt jump shot from 24 ft,34-25, ,,2,34,25,9,1035.0
6:42.0, ,34-25,Defensive rebound by C. Kispert,,2,34,25,9,1038.0
6:32.0, ,34-27,D. Avdija makes 2-pt layup from 6 ft,,2,34,27,7,1048.0
6:19.0,Turnover by C. Cunningham (bad pass),34-27, ,,2,34,27,7,1061.0
6:06.0, ,34-27,Turnover by K. Kuzma (bad pass; steal by J. Duren),,2,34,27,7,1074.0
6:04.0,Shooting foul by J. Poole (drawn by T. Evbuomwan),34-27, ,,2,34,27,7,1076.0
6:04.0,T. Evbuomwan makes free throw 1 of 2,35-27, ,,2,35,27,8,1076.0
6:04.0,T. Evbuomwan makes free throw 2 of 2,36-27, ,,2,36,27,9,1076.0
5:50.0, ,36-27,Personal foul by J. Ivey (drawn by J. Poole),,2,36,27,9,1090.0
5:45.0, ,36-30,C. Kispert makes 3-pt jump shot from 23 ft (assist by J. Poole),,2,36,30,6,1095.0
5:29.0,Def 3 sec tech foul by Team,36-30, ,,2,36,30,6,1111.0
5:29.0,C. Cunningham makes technical free throw,37-30, ,,2,37,30,7,1111.0
5:29.0,C. Metu enters the game for E. Fournier,37-30, ,,2,37,30,7,1111.0
5:22.0,C. Cunningham makes 2-pt layup from 2 ft,39-30, ,,2,39,30,9,1118.0
5:06.0, ,39-30,K. Kuzma misses 3-pt jump shot from 28 ft,,2,39,30,9,1134.0
5:03.0,Defensive rebound by J. Ivey,39-30, ,,2,39,30,9,1137.0
4:53.0,J. Duren makes 2-pt dunk from 1 ft (assist by J. Ivey),41-30, ,,2,41,30,11,1147.0
4:51.0, ,41-30,Washington full timeout,,2,41,30,11,1149.0
4:51.0, ,41-30,M. Bagley enters the game for P. Baldwin,,2,41,30,11,1149.0
4:38.0, ,41-30,K. Kuzma misses 2-pt layup from 6 ft,,2,41,30,11,1162.0
4:35.0,Defensive rebound by J. Duren,41-30, ,,2,41,30,11,1165.0
4:24.0,C. Cunningham makes 2-pt layup from 2 ft (assist by T. Evbuomwan),43-30, ,,2,43,30,13,1176.0
4:05.0, ,43-32,M. Bagley makes 2-pt hook shot from 1 ft (assist by D. Avdija),,2,43,32,11,1195.0
3:50.0,J. Duren makes 2-pt hook shot from 6 ft (assist by J. Ivey),45-32, ,,2,45,32,13,1210.0
3:42.0, ,45-35,J. Poole makes 3-pt jump shot from 27 ft,,2,45,35,10,1218.0
3:28.0,C. Cunningham makes 2-pt layup from 2 ft,47-35, ,,2,47,35,12,1232.0
3:12.0, ,47-37,D. Avdija makes 2-pt layup from 2 ft,,2,47,37,10,1248.0
2:59.0,Shooting foul by M. Bagley (drawn by J. Ivey),47-37, ,,2,47,37,10,1261.0
2:59.0,J. Ivey makes free throw 1 of 2,48-37, ,,2,48,37,11,1261.0
2:59.0,J. Ivey makes free throw 2 of 2,49-37, ,,2,49,37,12,1261.0
2:42.0, ,49-37,J. Poole misses 3-pt jump shot from 28 ft,,2,49,37,12,1278.0
2:38.0, ,49-37,Offensive rebound by M. Bagley,,2,49,37,12,1282.0
2:31.0, ,49-37,J. Poole misses 2-pt jump shot from 14 ft,,2,49,37,12,1289.0
2:28.0,Defensive rebound by J. Ivey,49-37, ,,2,49,37,12,1292.0
2:26.0,Personal foul by J. Poole (drawn by C. Cunningham),49-37, ,,2,49,37,12,1294.0
2:26.0,C. Cunningham makes free throw 1 of 2,50-37, ,,2,50,37,13,1294.0
2:26.0,C. Cunningham makes free throw 2 of 2,51-37, ,,2,51,37,14,1294.0
2:18.0, ,51-37,Personal foul by J. Ivey (drawn by J. Poole),,2,51,37,14,1302.0
2:12.0, ,51-40,C. Kispert makes 3-pt jump shot from 29 ft (assist by J. Poole),,2,51,40,11,1308.0
1:59.0,J. Ivey makes 2-pt layup from 3 ft,53-40, ,,2,53,40,13,1321.0
1:46.0, ,53-40,D. Avdija misses 3-pt jump shot from 24 ft,,2,53,40,13,1334.0
1:41.0, ,53-40,Offensive rebound by M. Bagley,,2,53,40,13,1339.0
1:41.0, ,53-40,M. Bagley misses 2-pt layup at rim,,2,53,40,13,1339.0
1:41.0,Defensive rebound by J. Duren,53-40, ,,2,53,40,13,1339.0
1:30.0,T. Evbuomwan makes 2-pt layup from 2 ft,55-40, ,,2,55,40,15,1350.0
1:18.0, ,55-40,Turnover by D. Avdija (bad pass),,2,55,40,15,1362.0
1:11.0,J. Ivey makes 2-pt layup from 3 ft,57-40, ,,2,57,40,17,1369.0
0:59.0, ,57-40,M. Bagley misses 2-pt jump shot from 15 ft,,2,57,40,17,1381.0
0:57.0,Defensive rebound by J. Duren,57-40, ,,2,57,40,17,1383.0
0:44.0,C. Cunningham misses 2-pt jump shot from 20 ft,57-40, ,,2,57,40,17,1396.0
0:41.0, ,57-40,Defensive rebound by K. Kuzma,,2,57,40,17,1399.0
0:34.0, ,57-40,K. Kuzma misses 2-pt layup from 5 ft (block by C. Metu),,2,57,40,17,1406.0
0:34.0, ,57-40,Offensive rebound by Team,,2,57,40,17,1406.0
0:31.0, ,57-40,D. Avdija misses 3-pt jump shot from 27 ft,,2,57,40,17,1409.0
0:28.0,Defensive rebound by T. Evbuomwan,57-40, ,,2,57,40,17,1412.0
0:08.0,J. Duren makes 2-pt layup from 2 ft (assist by C. Cunningham),59-40, ,,2,59,40,19,1432.0
0:01.0, ,59-40,K. Kuzma misses 3-pt jump shot from 30 ft,,2,59,40,19,1439.0
0:01.0, ,59-40,Offensive rebound by Team,,2,59,40,19,1439.0
0:00.0,End of 2nd quarter,59-40,,,2,59,40,19,1440.0
12:00.0,Start of 3rd quarter,59-40,,,3,59,40,19,1440.0
11:46.0, ,59-40,K. Kuzma misses 2-pt layup from 3 ft (block by J. Duren),,3,59,40,19,1454.0
11:43.0, ,59-40,Offensive rebound by D. Avdija,,3,59,40,19,1457.0
11:36.0, ,59-42,K. Kuzma makes 2-pt jump shot from 16 ft,,3,59,42,17,1464.0
11:13.0,T. Brown misses 2-pt layup from 3 ft (block by M. Bagley),59-42, ,,3,59,42,17,1487.0
11:10.0, ,59-42,Defensive rebound by K. Kuzma,,3,59,42,17,1490.0
11:01.0, ,59-42,Shooting foul by J. Duren (drawn by D. Avdija),,3,59,42,17,1499.0
11:01.0, ,59-43,D. Avdija makes free throw 1 of 2,,3,59,43,16,1499.0
11:01.0, ,59-44,D. Avdija makes free throw 2 of 2,,3,59,44,15,1499.0
10:49.0,T. Evbuomwan misses 3-pt jump shot from 23 ft,59-44, ,,3,59,44,15,1511.0
10:46.0, ,59-44,Defensive rebound by K. Kuzma,,3,59,44,15,1514.0
10:35.0, ,59-44,Turnover by J. Poole (lost ball; steal by T. Brown),,3,59,44,15,1525.0
10:22.0,C. Cunningham misses 2-pt layup from 3 ft,59-44, ,,3,59,44,15,1538.0
10:19.0, ,59-44,Defensive rebound by M. Bagley,,3,59,44,15,1541.0
10:13.0, ,59-47,M. Bagley makes 3-pt jump shot from 26 ft (assist by J. Poole),,3,59,47,12,1547.0
9:58.0,C. Cunningham makes 2-pt jump shot from 7 ft,61-47, ,,3,61,47,14,1562.0
9:52.0, ,61-47,Turnover by J. Poole (lost ball; steal by J. Duren),,3,61,47,14,1568.0
9:43.0,J. Ivey misses 3-pt jump shot from 26 ft,61-47, ,,3,61,47,14,1577.0
