Time,Oklahoma City,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:06.0, ,53-54,J. Duren makes free throw 1 of 2,,2,54,53,1,1254.0
3:06.0, ,53-55,J. Duren makes free throw 2 of 2,,2,55,53,2,1254.0
2:49.0,Turnover by S. Gilgeous-Alexander (traveling),53-55, ,,2,55,53,2,1271.0
2:37.0, ,53-57,J. Duren makes 2-pt hook shot from 6 ft,,2,57,53,4,1283.0
2:32.0,Shooting foul by J. Ivey (drawn by J. Williams),53-57, ,,2,57,53,4,1288.0
2:32.0,J. Williams makes free throw 1 of 2,54-57, ,,2,57,54,3,1288.0
2:32.0,J. Williams makes free throw 2 of 2,55-57, ,,2,57,55,2,1288.0
2:21.0, ,55-57,Shooting foul by L. Dort (drawn by B. Bogdanović),,2,57,55,2,1299.0
2:21.0, ,55-58,B. Bogdanović makes free throw 1 of 2,,2,58,55,3,1299.0
2:21.0, ,55-59,B. Bogdanović makes free throw 2 of 2,,2,59,55,4,1299.0
2:13.0,S. Gilgeous-Alexander makes 2-pt layup from 3 ft,57-59, ,,2,59,57,2,1307.0
1:58.0, ,57-59,M. Sasser misses 2-pt jump shot from 20 ft,,2,59,57,2,1322.0
1:51.0, ,57-59,Offensive rebound by J. Ivey,,2,59,57,2,1329.0
1:49.0, ,57-61,B. Bogdanović makes 2-pt layup from 2 ft,,2,61,57,4,1331.0
1:42.0,J. Giddey misses 2-pt layup from 5 ft,57-61, ,,2,61,57,4,1338.0
1:42.0, ,57-61,Defensive rebound by J. Ivey,,2,61,57,4,1338.0
1:37.0, ,57-63,J. Ivey makes 2-pt layup from 7 ft,,2,63,57,6,1343.0
1:37.0, ,57-63,Shooting foul by S. Gilgeous-Alexander (drawn by J. Ivey),,2,63,57,6,1343.0
1:37.0, ,57-64,J. Ivey makes free throw 1 of 1,,2,64,57,7,1343.0
1:27.0,J. Williams misses 2-pt jump shot from 10 ft,57-64, ,,2,64,57,7,1353.0
1:24.0, ,57-64,Defensive rebound by J. Duren,,2,64,57,7,1356.0
1:17.0, ,57-66,J. Duren makes 2-pt dunk from 3 ft (assist by M. Sasser),,2,66,57,9,1363.0
1:03.0,S. Gilgeous-Alexander makes 2-pt layup from 4 ft,59-66, ,,2,66,59,7,1377.0
0:44.0, ,59-68,I. Stewart makes 2-pt layup from 2 ft,,2,68,59,9,1396.0
0:29.0,C. Holmgren makes 2-pt jump shot from 9 ft (assist by S. Gilgeous-Alexander),61-68, ,,2,68,61,7,1411.0
0:06.0, ,61-68,B. Bogdanović misses 2-pt layup from 5 ft,,2,68,61,7,1434.0
0:02.0, ,61-68,Offensive rebound by J. Duren,,2,68,61,7,1438.0
0:02.0, ,61-68,J. Duren misses 2-pt layup at rim,,2,68,61,7,1438.0
0:01.0, ,61-68,Offensive rebound by J. Duren,,2,68,61,7,1439.0
0:01.0, ,61-70,M. Sasser makes 2-pt jump shot from 3 ft (assist by J. Duren),,2,70,61,9,1439.0
0:00.0,End of 2nd quarter,61-70,,,2,70,61,9,1440.0
12:00.0,Start of 3rd quarter,61-70,,,3,70,61,9,1440.0
11:43.0,J. Williams makes 3-pt jump shot from 25 ft (assist by S. Gilgeous-Alexander),64-70, ,,3,70,64,6,1457.0
11:22.0, ,64-72,J. Duren makes 2-pt jump shot from 6 ft (assist by K. Hayes),,3,72,64,8,1478.0
11:02.0,L. Dort makes 3-pt jump shot from 25 ft (assist by J. Giddey),67-72, ,,3,72,67,5,1498.0
10:52.0, ,67-74,J. Ivey makes 2-pt layup from 4 ft,,3,74,67,7,1508.0
10:42.0,C. Holmgren misses 3-pt jump shot from 24 ft,67-74, ,,3,74,67,7,1518.0
10:38.0, ,67-74,Defensive rebound by K. Hayes,,3,74,67,7,1522.0
10:26.0, ,67-76,B. Bogdanović makes 2-pt jump shot from 10 ft (assist by K. Hayes),,3,76,67,9,1534.0
10:15.0,J. Williams misses 3-pt jump shot from 26 ft,67-76, ,,3,76,67,9,1545.0
10:12.0, ,67-76,Defensive rebound by J. Duren,,3,76,67,9,1548.0
10:04.0, ,67-76,J. Duren misses 2-pt jump shot from 8 ft,,3,76,67,9,1556.0
10:02.0, ,67-76,Offensive rebound by J. Duren,,3,76,67,9,1558.0
10:01.0, ,67-78,J. Duren makes 2-pt layup from 1 ft,,3,78,67,11,1559.0
