Time,Detroit,Score,Charlotte,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:42.0,Defensive rebound by M. Bagley,48-38, ,,2,48,38,10,1278.0
2:29.0,A. Burks makes 2-pt layup from 2 ft,50-38, ,,2,50,38,12,1291.0
2:10.0, ,50-38,L. Ball misses 2-pt layup from 1 ft,,2,50,38,12,1310.0
2:08.0,Defensive rebound by I. Stewart,50-38, ,,2,50,38,12,1312.0
2:01.0,A. Burks misses 3-pt jump shot from 26 ft,50-38, ,,2,50,38,12,1319.0
1:58.0, ,50-38,Defensive rebound by J. Thor,,2,50,38,12,1322.0
1:54.0, ,50-40,T. Rozier makes 2-pt jump shot from 1 ft,,2,50,40,10,1326.0
1:54.0, ,50-40,Shooting foul by A. Thompson (drawn by T. Rozier),,2,50,40,10,1326.0
1:54.0,C. Cunningham enters the game for M. Bagley,50-40, ,,2,50,40,10,1326.0
1:54.0,J. Duren enters the game for K. Hayes,50-40, ,,2,50,40,10,1326.0
1:54.0, ,50-41,T. Rozier makes free throw 1 of 1,,2,50,41,9,1326.0
1:44.0,J. Duren makes 2-pt dunk from 2 ft (assist by C. Cunningham),52-41, ,,2,52,41,11,1336.0
1:38.0, ,52-41,Personal foul by A. Thompson (drawn by L. Ball),,2,52,41,11,1342.0
1:38.0, ,52-42,L. Ball makes free throw 1 of 2,,2,52,42,10,1342.0
1:38.0,J. Ivey enters the game for A. Thompson,52-42, ,,2,52,42,10,1342.0
1:38.0, ,52-43,L. Ball makes free throw 2 of 2,,2,52,43,9,1342.0
1:24.0,C. Cunningham makes 2-pt jump shot from 16 ft,54-43, ,,2,54,43,11,1356.0
1:14.0, ,54-45,B. Miller makes 2-pt jump shot from 2 ft (assist by T. Rozier),,2,54,45,9,1366.0
0:58.0,J. Ivey misses 2-pt jump shot from 2 ft,54-45, ,,2,54,45,9,1382.0
0:55.0, ,54-45,Defensive rebound by L. Ball,,2,54,45,9,1385.0
0:51.0, ,54-45,Shooting foul by I. Stewart (drawn by B. Miller),,2,54,45,9,1389.0
0:51.0, ,54-46,B. Miller makes free throw 1 of 2,,2,54,46,8,1389.0
0:51.0, ,54-47,B. Miller makes free throw 2 of 2,,2,54,47,7,1389.0
0:35.0,Turnover by J. Ivey (traveling),54-47, ,,2,54,47,7,1405.0
0:27.0, ,54-47,L. Ball misses 3-pt jump shot from 26 ft,,2,54,47,7,1413.0
0:24.0,Defensive rebound by J. Duren,54-47, ,,2,54,47,7,1416.0
0:01.0,Turnover by Team (shot clock),54-47, ,,2,54,47,7,1439.0
0:00.0, ,54-47,T. Rozier misses 3-pt jump shot from 29 ft,,2,54,47,7,1440.0
0:00.0, ,54-47,Offensive rebound by Team,,2,54,47,7,1440.0
0:00.0,End of 2nd quarter,54-47,,,2,54,47,7,1440.0
12:00.0,Start of 3rd quarter,54-47,,,3,54,47,7,1440.0
11:42.0,C. Cunningham misses 2-pt layup from 1 ft (block by M. Williams),54-47, ,,3,54,47,7,1458.0
11:42.0,Offensive rebound by Team,54-47, ,,3,54,47,7,1458.0
11:37.0,J. Duren makes 2-pt hook shot from 4 ft (assist by K. Hayes),56-47, ,,3,56,47,9,1463.0
11:28.0, ,56-47,Offensive foul by P. Washington (drawn by I. Stewart),,3,56,47,9,1472.0
11:28.0, ,56-47,Turnover by P. Washington (offensive foul),,3,56,47,9,1472.0
11:08.0,A. Thompson misses 2-pt jump shot from 11 ft,56-47, ,,3,56,47,9,1492.0
11:08.0,Offensive rebound by Team,56-47, ,,3,56,47,9,1492.0
11:08.0, ,56-47,Loose ball foul by M. Williams (drawn by J. Duren),,3,56,47,9,1492.0
11:08.0, ,56-47,N. Richards enters the game for M. Williams,,3,56,47,9,1492.0
10:55.0,J. Duren makes 2-pt dunk from 2 ft (assist by A. Thompson),58-47, ,,3,58,47,11,1505.0
10:37.0, ,58-47,Shooting foul by K. Hayes (drawn by G. Hayward),,3,58,47,11,1523.0
10:37.0, ,58-47,G. Hayward misses free throw 1 of 2,,3,58,47,11,1523.0
10:37.0, ,58-47,Offensive rebound by Team,,3,58,47,11,1523.0
10:37.0, ,58-48,G. Hayward makes free throw 2 of 2,,3,58,48,10,1523.0
10:28.0,Turnover by C. Cunningham (bad pass; steal by P. Washington),58-48, ,,3,58,48,10,1532.0
10:23.0, ,58-50,G. Hayward makes 2-pt layup from 1 ft (assist by P. Washington),,3,58,50,8,1537.0
10:10.0,Turnover by I. Stewart (step out of bounds),58-50, ,,3,58,50,8,1550.0
10:00.0, ,58-50,Personal foul by C. Cunningham (drawn by G. Hayward),,3,58,50,8,1560.0
9:48.0, ,58-53,G. Hayward makes 3-pt jump shot from 23 ft (assist by L. Ball),,3,58,53,5,1572.0
9:28.0,A. Thompson misses 3-pt jump shot from 24 ft,58-53, ,,3,58,53,5,1592.0
9:26.0,Offensive rebound by J. Duren,58-53, ,,3,58,53,5,1594.0
9:24.0,Turnover by J. Duren (lost ball; steal by P. Washington),58-53, ,,3,58,53,5,1596.0
9:22.0, ,58-53,Personal foul by I. Stewart (drawn by L. Ball),,3,58,53,5,1598.0
9:18.0, ,58-53,G. Hayward misses 2-pt layup from 2 ft,,3,58,53,5,1602.0
9:16.0,Defensive rebound by J. Duren,58-53, ,,3,58,53,5,1604.0
9:10.0,K. Hayes misses 2-pt layup from 1 ft,58-53, ,,3,58,53,5,1610.0
9:08.0,Offensive rebound by I. Stewart,58-53, ,,3,58,53,5,1612.0
9:07.0,I. Stewart makes 2-pt layup from 1 ft,60-53, ,,3,60,53,7,1613.0
8:56.0, ,60-55,G. Hayward makes 2-pt jump shot from 3 ft (assist by L. Ball),,3,60,55,5,1624.0
8:45.0,A. Thompson misses 2-pt jump shot from 7 ft,60-55, ,,3,60,55,5,1635.0
8:45.0,Offensive rebound by A. Thompson,60-55, ,,3,60,55,5,1635.0
8:42.0,C. Cunningham misses 3-pt jump shot from 25 ft,60-55, ,,3,60,55,5,1638.0
8:40.0, ,60-55,Defensive rebound by Team,,3,60,55,5,1640.0
8:40.0,Loose ball foul by A. Thompson (drawn by T. Rozier),60-55, ,,3,60,55,5,1640.0
8:40.0,A. Burks enters the game for A. Thompson,60-55, ,,3,60,55,5,1640.0
8:30.0, ,60-55,Shooting foul by C. Cunningham (drawn by N. Richards),,3,60,55,5,1650.0
8:30.0, ,60-55,N. Richards misses free throw 1 of 2,,3,60,55,5,1650.0
8:30.0, ,60-55,Offensive rebound by Team,,3,60,55,5,1650.0
8:30.0,J. Ivey enters the game for C. Cunningham,60-55, ,,3,60,55,5,1650.0
8:30.0, ,60-55,N. Richards misses free throw 2 of 2,,3,60,55,5,1650.0
8:27.0,Defensive rebound by I. Stewart,60-55, ,,3,60,55,5,1653.0
8:20.0,Shooting foul by L. Ball (drawn by K. Hayes),60-55, ,,3,60,55,5,1660.0
8:20.0,K. Hayes misses free throw 1 of 2,60-55, ,,3,60,55,5,1660.0
8:20.0,Offensive rebound by Team,60-55, ,,3,60,55,5,1660.0
8:20.0,K. Hayes makes free throw 2 of 2,61-55, ,,3,61,55,6,1660.0
8:13.0, ,61-55,Offensive foul by N. Richards (drawn by A. Burks),,3,61,55,6,1667.0
8:13.0, ,61-55,Turnover by N. Richards (offensive foul),,3,61,55,6,1667.0
8:13.0, ,61-55,J. Thor enters the game for N. Richards,,3,61,55,6,1667.0
