Time,Detroit,Score,Cleveland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:54.0, ,47-63,D. Garland misses 2-pt jump shot from 16 ft,,3,47,63,-16,1566.0
9:51.0,Defensive rebound by I. Stewart,47-63, ,,3,47,63,-16,1569.0
9:39.0,K. Hayes misses 2-pt jump shot from 12 ft,47-63, ,,3,47,63,-16,1581.0
9:37.0, ,47-63,Defensive rebound by J. Allen,,3,47,63,-16,1583.0
9:23.0, ,47-63,M. Strus misses 3-pt jump shot from 23 ft,,3,47,63,-16,1597.0
9:20.0,Defensive rebound by C. Cunningham,47-63, ,,3,47,63,-16,1600.0
9:17.0,K. Hayes misses 3-pt jump shot from 24 ft,47-63, ,,3,47,63,-16,1603.0
9:13.0, ,47-63,Defensive rebound by M. Strus,,3,47,63,-16,1607.0
9:08.0, ,47-63,Turnover by M. Strus (out of bounds lost ball),,3,47,63,-16,1612.0
8:56.0,C. Cunningham misses 3-pt jump shot from 25 ft,47-63, ,,3,47,63,-16,1624.0
8:53.0,Offensive rebound by I. Stewart,47-63, ,,3,47,63,-16,1627.0
8:51.0,Shooting foul by E. Mobley (drawn by I. Stewart),47-63, ,,3,47,63,-16,1629.0
8:51.0,I. Stewart makes free throw 1 of 2,48-63, ,,3,48,63,-15,1629.0
8:51.0,I. Stewart makes free throw 2 of 2,49-63, ,,3,49,63,-14,1629.0
8:27.0, ,49-63,D. Garland misses 2-pt jump shot from 5 ft,,3,49,63,-14,1653.0
8:23.0, ,49-63,Offensive rebound by E. Mobley,,3,49,63,-14,1657.0
8:23.0, ,49-63,E. Mobley misses 2-pt layup at rim,,3,49,63,-14,1657.0
8:22.0,Defensive rebound by C. Cunningham,49-63, ,,3,49,63,-14,1658.0
8:20.0,I. Stewart misses 2-pt dunk from 3 ft (block by J. Allen),49-63, ,,3,49,63,-14,1660.0
8:18.0, ,49-63,Defensive rebound by M. Strus,,3,49,63,-14,1662.0
8:16.0, ,49-65,E. Mobley makes 2-pt layup from 2 ft (assist by M. Strus),,3,49,65,-16,1664.0
7:55.0,I. Stewart makes 3-pt jump shot from 25 ft (assist by K. Hayes),52-65, ,,3,52,65,-13,1685.0
7:40.0, ,52-67,J. Allen makes 2-pt dunk from 1 ft (assist by D. Garland),,3,52,67,-15,1700.0
7:24.0,J. Ivey makes 3-pt jump shot from 25 ft (assist by I. Stewart),55-67, ,,3,55,67,-12,1716.0
7:13.0, ,55-67,Personal foul by J. Ivey (drawn by J. Allen),,3,55,67,-12,1727.0
7:13.0,A. Burks enters the game for K. Hayes,55-67, ,,3,55,67,-12,1727.0
7:09.0, ,55-67,Shooting foul by J. Ivey (drawn by D. Garland),,3,55,67,-12,1731.0
7:09.0, ,55-67,D. Garland misses free throw 1 of 2,,3,55,67,-12,1731.0
7:09.0, ,55-67,Offensive rebound by Team,,3,55,67,-12,1731.0
7:09.0, ,55-68,D. Garland makes free throw 2 of 2,,3,55,68,-13,1731.0
6:53.0,C. Cunningham makes 3-pt jump shot from 26 ft,58-68, ,,3,58,68,-10,1747.0
6:31.0, ,58-68,Personal foul by A. Burks (drawn by J. Allen),,3,58,68,-10,1769.0
6:31.0, ,58-68,Cleveland full timeout,,3,58,68,-10,1769.0
6:31.0, ,58-68,C. LeVert enters the game for D. Wade,,3,58,68,-10,1769.0
6:31.0, ,58-69,J. Allen makes free throw 1 of 2,,3,58,69,-11,1769.0
6:31.0, ,58-69,J. Allen misses free throw 2 of 2,,3,58,69,-11,1769.0
6:26.0,Defensive rebound by J. Ivey,58-69, ,,3,58,69,-11,1774.0
6:15.0,A. Burks makes 3-pt jump shot from 25 ft (assist by C. Cunningham),61-69, ,,3,61,69,-8,1785.0
5:50.0, ,61-69,C. LeVert misses 3-pt jump shot from 25 ft,,3,61,69,-8,1810.0
5:46.0,Defensive rebound by I. Stewart,61-69, ,,3,61,69,-8,1814.0
5:31.0,A. Burks misses 3-pt jump shot from 24 ft,61-69, ,,3,61,69,-8,1829.0
