Time,Denver,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:46.0,C. Braun makes free throw 2 of 2,52-53, ,,2,53,52,1,1394.0
0:32.0, ,52-55,C. Cunningham makes 2-pt jump shot from 7 ft,,2,55,52,3,1408.0
0:26.0,Personal foul by M. Bagley (drawn by K. Caldwell-Pope),52-55, ,,2,55,52,3,1414.0
0:26.0,K. Caldwell-Pope makes free throw 1 of 2,53-55, ,,2,55,53,2,1414.0
0:26.0,P. Watson enters the game for M. Porter,53-55, ,,2,55,53,2,1414.0
0:26.0, ,53-55,A. Burks enters the game for M. Bagley,,2,55,53,2,1414.0
0:26.0,K. Caldwell-Pope makes free throw 2 of 2,54-55, ,,2,55,54,1,1414.0
0:06.0, ,54-55,Turnover by I. Livers (step out of bounds),,2,55,54,1,1434.0
0:06.0,M. Porter enters the game for P. Watson,54-55, ,,2,55,54,1,1434.0
0:00.0,R. Jackson makes 2-pt layup from 3 ft,56-55, ,Lead change,2,55,56,-1,1440.0
0:00.0,Instant Replay (Request: Stands),56-55, ,,2,55,56,-1,1440.0
0:00.0,End of 2nd quarter,56-55,,,2,55,56,-1,1440.0
12:00.0,Start of 3rd quarter,56-55,,,3,55,56,-1,1440.0
11:43.0,R. Jackson makes 2-pt hook shot from 4 ft (assist by A. Gordon),58-55, ,,3,55,58,-3,1457.0
11:32.0, ,58-55,Turnover by J. Ivey (traveling),,3,55,58,-3,1468.0
11:14.0,A. Gordon makes 2-pt layup from 3 ft (assist by M. Porter),60-55, ,,3,55,60,-5,1486.0
10:52.0, ,60-55,M. Bagley misses 2-pt layup from 2 ft,,3,55,60,-5,1508.0
10:50.0,Defensive rebound by M. Porter,60-55, ,,3,55,60,-5,1510.0
10:46.0,Turnover by M. Porter (traveling),60-55, ,,3,55,60,-5,1514.0
10:39.0, ,60-57,C. Cunningham makes 2-pt layup from 2 ft,,3,57,60,-3,1521.0
10:39.0, ,60-57,Shooting foul by M. Porter (drawn by C. Cunningham),,3,57,60,-3,1521.0
10:39.0, ,60-58,C. Cunningham makes free throw 1 of 1,,3,58,60,-2,1521.0
10:24.0,K. Caldwell-Pope makes 3-pt jump shot from 31 ft (assist by R. Jackson),63-58, ,,3,58,63,-5,1536.0
10:15.0, ,63-58,M. Bagley misses 2-pt layup from 2 ft,,3,58,63,-5,1545.0
10:12.0, ,63-58,Offensive rebound by M. Bagley,,3,58,63,-5,1548.0
10:10.0, ,63-58,M. Bagley misses 2-pt layup from 1 ft,,3,58,63,-5,1550.0
10:10.0, ,63-58,Offensive rebound by M. Bagley,,3,58,63,-5,1550.0
10:09.0, ,63-60,M. Bagley makes 2-pt layup at rim,,3,60,63,-3,1551.0
9:52.0,M. Porter misses 2-pt jump shot from 11 ft,63-60, ,,3,60,63,-3,1568.0
9:49.0, ,63-60,Defensive rebound by A. Thompson,,3,60,63,-3,1571.0
9:34.0, ,63-60,Turnover by J. Ivey (bad pass; steal by K. Caldwell-Pope),,3,60,63,-3,1586.0
9:30.0,C. Braun makes 2-pt layup from 3 ft (assist by K. Caldwell-Pope),65-60, ,,3,60,65,-5,1590.0
9:09.0, ,65-60,Shooting foul by R. Jackson (drawn by C. Cunningham),,3,60,65,-5,1611.0
9:09.0, ,65-61,C. Cunningham makes free throw 1 of 2,,3,61,65,-4,1611.0
9:09.0, ,65-62,C. Cunningham makes free throw 2 of 2,,3,62,65,-3,1611.0
8:55.0,R. Jackson misses 2-pt jump shot from 8 ft,65-62, ,,3,62,65,-3,1625.0
8:53.0, ,65-62,Defensive rebound by I. Stewart,,3,62,65,-3,1627.0
8:47.0, ,65-62,C. Cunningham misses 2-pt layup from 2 ft,,3,62,65,-3,1633.0
8:46.0, ,65-62,Offensive rebound by M. Bagley,,3,62,65,-3,1634.0
8:46.0, ,65-64,M. Bagley makes 2-pt dunk at rim,,3,64,65,-1,1634.0
8:19.0,C. Braun misses 2-pt layup from 3 ft,65-64, ,,3,64,65,-1,1661.0
8:16.0, ,65-64,Defensive rebound by I. Stewart,,3,64,65,-1,1664.0
8:12.0, ,65-66,J. Ivey makes 2-pt layup from 2 ft (assist by C. Cunningham),Lead change,3,66,65,1,1668.0
8:05.0,Turnover by A. Gordon (out of bounds lost ball),65-66, ,,3,66,65,1,1675.0
7:48.0, ,65-66,Turnover by I. Stewart (3 sec),,3,66,65,1,1692.0
