Time,Cleveland,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Start of 3rd quarter,54-48,,,3,48,54,-6,1440.0
11:44.0,Turnover by D. Mitchell (bad pass; steal by J. Duren),54-48, ,,3,48,54,-6,1456.0
11:40.0, ,54-50,J. Ivey makes 2-pt layup from 1 ft,,3,50,54,-4,1460.0
11:27.0,D. Mitchell misses 2-pt layup from 5 ft (block by J. Duren),54-50, ,,3,50,54,-4,1473.0
11:22.0,Offensive rebound by J. Allen,54-50, ,,3,50,54,-4,1478.0
11:21.0,M. Strus misses 3-pt jump shot from 26 ft,54-50, ,,3,50,54,-4,1479.0
11:18.0, ,54-50,Defensive rebound by C. Cunningham,,3,50,54,-4,1482.0
11:14.0, ,54-50,Personal foul by M. Strus (drawn by C. Cunningham),,3,50,54,-4,1486.0
11:02.0, ,54-53,C. Cunningham makes 3-pt jump shot from 25 ft (assist by K. Hayes),,3,53,54,-1,1498.0
10:44.0,Turnover by M. Strus (bad pass; steal by C. Cunningham),54-53, ,,3,53,54,-1,1516.0
10:42.0, ,54-53,J. Ivey misses 2-pt layup from 5 ft (block by D. Garland),,3,53,54,-1,1518.0
10:41.0, ,54-53,Offensive rebound by Team,,3,53,54,-1,1519.0
10:35.0, ,54-53,Personal foul by M. Strus (drawn by C. Cunningham),,3,53,54,-1,1525.0
10:26.0, ,54-53,Turnover by I. Stewart (bad pass; steal by D. Garland),,3,53,54,-1,1534.0
10:21.0,D. Mitchell misses 3-pt jump shot from 30 ft,54-53, ,,3,53,54,-1,1539.0
10:20.0,Offensive rebound by E. Mobley,54-53, ,,3,53,54,-1,1540.0
10:20.0,Personal foul by J. Ivey (drawn by E. Mobley),54-53, ,,3,53,54,-1,1540.0
10:14.0,D. Garland misses 3-pt jump shot from 27 ft,54-53, ,,3,53,54,-1,1546.0
10:12.0, ,54-53,Defensive rebound by I. Stewart,,3,53,54,-1,1548.0
10:09.0, ,54-53,Shooting foul by M. Strus (drawn by J. Ivey),,3,53,54,-1,1551.0
10:09.0, ,54-54,J. Ivey makes free throw 1 of 2,Tie,3,54,54,0,1551.0
10:09.0, ,54-55,J. Ivey makes free throw 2 of 2,Lead change,3,55,54,1,1551.0
9:55.0,D. Garland misses 2-pt jump shot from 15 ft,54-55, ,,3,55,54,1,1565.0
9:52.0, ,54-55,Defensive rebound by J. Duren,,3,55,54,1,1568.0
9:38.0, ,54-55,J. Ivey misses 3-pt jump shot from 25 ft,,3,55,54,1,1582.0
9:34.0, ,54-55,Offensive rebound by J. Duren,,3,55,54,1,1586.0
9:32.0, ,54-58,C. Cunningham makes 3-pt jump shot from 25 ft (assist by J. Duren),,3,58,54,4,1588.0
9:13.0,M. Strus makes 2-pt jump shot from 8 ft (assist by D. Garland),56-58, ,,3,58,56,2,1607.0
9:00.0, ,56-58,K. Hayes misses 2-pt jump shot from 6 ft,,3,58,56,2,1620.0
8:59.0,Defensive rebound by Team,56-58, ,,3,58,56,2,1621.0
8:46.0,Turnover by D. Garland (bad pass; steal by I. Stewart),56-58, ,,3,58,56,2,1634.0
8:42.0, ,56-60,J. Duren makes 2-pt dunk from 2 ft (assist by K. Hayes),,3,60,56,4,1638.0
8:42.0,Cleveland full timeout,56-60, ,,3,60,56,4,1638.0
8:27.0,D. Mitchell misses 3-pt jump shot from 26 ft,56-60, ,,3,60,56,4,1653.0
8:24.0, ,56-60,Defensive rebound by J. Duren,,3,60,56,4,1656.0
8:03.0, ,56-60,C. Cunningham misses 2-pt jump shot from 20 ft,,3,60,56,4,1677.0
8:01.0,Defensive rebound by E. Mobley,56-60, ,,3,60,56,4,1679.0
7:58.0,Personal foul by C. Cunningham (drawn by M. Strus),56-60, ,,3,60,56,4,1682.0
7:58.0,I. Okoro enters the game for M. Strus,56-60, ,,3,60,56,4,1682.0
7:48.0,D. Garland makes 2-pt jump shot from 11 ft (assist by D. Mitchell),58-60, ,,3,60,58,2,1692.0
7:36.0, ,58-60,K. Hayes misses 2-pt jump shot from 10 ft,,3,60,58,2,1704.0
7:33.0,Defensive rebound by E. Mobley,58-60, ,,3,60,58,2,1707.0
7:27.0,Personal foul by C. Cunningham (drawn by E. Mobley),58-60, ,,3,60,58,2,1713.0
7:18.0,D. Garland misses 3-pt jump shot from 26 ft,58-60, ,,3,60,58,2,1722.0
7:16.0, ,58-60,Defensive rebound by J. Duren,,3,60,58,2,1724.0
7:08.0, ,58-62,J. Duren makes 2-pt layup from 2 ft (assist by C. Cunningham),,3,62,58,4,1732.0
6:57.0,D. Mitchell makes 2-pt layup from 4 ft (assist by I. Okoro),60-62, ,,3,62,60,2,1743.0
6:44.0, ,60-62,I. Stewart misses 2-pt layup from 5 ft,,3,62,60,2,1756.0
6:39.0, ,60-62,Offensive rebound by I. Stewart,,3,62,60,2,1761.0
6:39.0, ,60-64,I. Stewart makes 2-pt layup at rim,,3,64,60,4,1761.0
6:33.0,Turnover by D. Mitchell (lost ball; steal by C. Cunningham),60-64, ,,3,64,60,4,1767.0
6:27.0, ,60-64,Shooting foul by D. Mitchell (drawn by I. Stewart),,3,64,60,4,1773.0
6:27.0, ,60-65,I. Stewart makes free throw 1 of 2,,3,65,60,5,1773.0
6:27.0,S. Merrill enters the game for J. Allen,60-65, ,,3,65,60,5,1773.0
6:27.0,T. Thompson enters the game for D. Garland,60-65, ,,3,65,60,5,1773.0
6:27.0, ,60-66,I. Stewart makes free throw 2 of 2,,3,66,60,6,1773.0
6:02.0,I. Okoro makes 2-pt layup from 5 ft (assist by S. Merrill),62-66, ,,3,66,62,4,1798.0
5:51.0, ,62-66,Turnover by J. Duren (lost ball; steal by I. Okoro),,3,66,62,4,1809.0
5:46.0,I. Okoro makes 2-pt layup from 4 ft,64-66, ,,3,66,64,2,1814.0
5:27.0, ,64-68,K. Hayes makes 2-pt jump shot from 11 ft,,3,68,64,4,1833.0
5:17.0,D. Mitchell misses 2-pt jump shot from 17 ft,64-68, ,,3,68,64,4,1843.0
5:14.0, ,64-68,Defensive rebound by K. Hayes,,3,68,64,4,1846.0
5:07.0, ,64-70,K. Hayes makes 2-pt jump shot from 10 ft,,3,70,64,6,1853.0
5:07.0, ,64-70,Shooting foul by I. Okoro (drawn by K. Hayes),,3,70,64,6,1853.0
5:07.0, ,64-70,B. Bogdanović enters the game for J. Ivey,,3,70,64,6,1853.0
5:07.0, ,64-70,K. Hayes misses free throw 1 of 1,,3,70,64,6,1853.0
5:07.0,Defensive rebound by T. Thompson,64-70, ,,3,70,64,6,1853.0
5:07.0, ,64-70,Technical foul by ,,3,70,64,6,1853.0
5:07.0,D. Mitchell makes technical free throw,65-70, ,,3,70,65,5,1853.0
4:50.0,D. Mitchell misses 2-pt layup from 6 ft,65-70, ,,3,70,65,5,1870.0
4:44.0,Offensive rebound by T. Thompson,65-70, ,,3,70,65,5,1876.0
4:44.0,T. Thompson misses 2-pt layup at rim,65-70, ,,3,70,65,5,1876.0
4:44.0, ,65-70,Defensive rebound by J. Duren,,3,70,65,5,1876.0
