Time,New Orleans,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:31.0,Z. Williamson makes 2-pt layup from 3 ft,53-38, ,,2,38,53,-15,1349.0
1:11.0, ,53-40,C. Metu makes 2-pt layup from 3 ft (assist by B. Boeheim),,2,40,53,-13,1369.0
0:59.0,C. McCollum misses 2-pt jump shot from 3 ft,53-40, ,,2,40,53,-13,1381.0
0:56.0, ,53-40,Defensive rebound by B. Boeheim,,2,40,53,-13,1384.0
0:53.0, ,53-40,B. Boeheim misses 3-pt jump shot from 27 ft,,2,40,53,-13,1387.0
0:51.0,Defensive rebound by Z. Williamson,53-40, ,,2,40,53,-13,1389.0
0:37.0,Z. Williamson makes 2-pt layup from 3 ft,55-40, ,,2,40,55,-15,1403.0
0:31.0, ,55-40,Shooting foul by H. Jones (drawn by J. Ivey),,2,40,55,-15,1409.0
0:31.0, ,55-40,J. Ivey misses free throw 1 of 2,,2,40,55,-15,1409.0
0:31.0, ,55-40,Offensive rebound by Team,,2,40,55,-15,1409.0
0:31.0, ,55-40,T. Brown enters the game for B. Boeheim,,2,40,55,-15,1409.0
0:31.0, ,55-40,E. Fournier enters the game for T. Evbuomwan,,2,40,55,-15,1409.0
0:31.0, ,55-41,J. Ivey makes free throw 2 of 2,,2,41,55,-14,1409.0
0:15.0,L. Nance makes 2-pt dunk from 3 ft (assist by Z. Williamson),57-41, ,,2,41,57,-16,1425.0
0:00.0,End of 2nd quarter,57-41,,,2,41,57,-16,1440.0
12:00.0,Start of 3rd quarter,57-41,,,3,41,57,-16,1440.0
11:45.0,T. Murphy misses 3-pt jump shot from 29 ft,57-41, ,,3,41,57,-16,1455.0
11:43.0, ,57-41,Defensive rebound by J. Wiseman,,3,41,57,-16,1457.0
11:25.0, ,57-44,J. Ivey makes 3-pt jump shot from 28 ft (assist by C. Metu),,3,44,57,-13,1475.0
11:12.0,L. Nance makes 2-pt jump shot from 6 ft (assist by C. McCollum),59-44, ,,3,44,59,-15,1488.0
10:56.0, ,59-44,Offensive foul by J. Wiseman (drawn by T. Murphy),,3,44,59,-15,1504.0
10:56.0, ,59-44,Turnover by J. Wiseman (offensive foul),,3,44,59,-15,1504.0
10:42.0,Z. Williamson makes 2-pt layup from 3 ft (assist by C. McCollum),61-44, ,,3,44,61,-17,1518.0
10:30.0, ,61-44,T. Brown misses 3-pt jump shot from 24 ft,,3,44,61,-17,1530.0
10:27.0,Defensive rebound by T. Murphy,61-44, ,,3,44,61,-17,1533.0
10:18.0,C. McCollum misses 3-pt jump shot from 24 ft,61-44, ,,3,44,61,-17,1542.0
10:16.0, ,61-44,Defensive rebound by J. Wiseman,,3,44,61,-17,1544.0
10:13.0, ,61-44,Shooting foul by H. Jones (drawn by T. Brown),,3,44,61,-17,1547.0
10:13.0, ,61-45,T. Brown makes free throw 1 of 2,,3,45,61,-16,1547.0
10:13.0, ,61-46,T. Brown makes free throw 2 of 2,,3,46,61,-15,1547.0
10:04.0,Shooting foul by J. Wiseman (drawn by Z. Williamson),61-46, ,,3,46,61,-15,1556.0
10:04.0,Z. Williamson makes free throw 1 of 2,62-46, ,,3,46,62,-16,1556.0
10:04.0,Z. Williamson misses free throw 2 of 2,62-46, ,,3,46,62,-16,1556.0
10:01.0, ,62-46,Defensive rebound by C. Metu,,3,46,62,-16,1559.0
9:45.0, ,62-46,M. Sasser misses 2-pt jump shot from 7 ft,,3,46,62,-16,1575.0
9:42.0,Defensive rebound by T. Murphy,62-46, ,,3,46,62,-16,1578.0
9:40.0,Shooting foul by C. Metu (drawn by Z. Williamson),62-46, ,,3,46,62,-16,1580.0
9:40.0,Z. Williamson makes free throw 1 of 2,63-46, ,,3,46,63,-17,1580.0
9:40.0,Z. Williamson makes free throw 2 of 2,64-46, ,,3,46,64,-18,1580.0
9:31.0, ,64-46,Offensive foul by J. Wiseman (drawn by T. Murphy),,3,46,64,-18,1589.0
9:31.0, ,64-46,Turnover by J. Wiseman (offensive foul),,3,46,64,-18,1589.0
9:31.0, ,64-46,T. Evbuomwan enters the game for J. Wiseman,,3,46,64,-18,1589.0
9:12.0,Z. Williamson misses 2-pt layup from 4 ft,64-46, ,,3,46,64,-18,1608.0
9:10.0, ,64-46,Defensive rebound by T. Evbuomwan,,3,46,64,-18,1610.0
9:04.0, ,64-46,M. Sasser misses 3-pt jump shot from 27 ft,,3,46,64,-18,1616.0
9:00.0,Defensive rebound by C. McCollum,64-46, ,,3,46,64,-18,1620.0
8:58.0,C. McCollum makes 2-pt jump shot from 5 ft,66-46, ,,3,46,66,-20,1622.0
8:37.0, ,66-46,Shooting foul by L. Nance (drawn by C. Metu),,3,46,66,-20,1643.0
8:37.0, ,66-47,C. Metu makes free throw 1 of 2,,3,47,66,-19,1643.0
8:37.0, ,66-47,C. Metu misses free throw 2 of 2,,3,47,66,-19,1643.0
8:32.0,Defensive rebound by L. Nance,66-47, ,,3,47,66,-19,1648.0
8:23.0,H. Jones makes 3-pt jump shot from 27 ft (assist by Z. Williamson),69-47, ,,3,47,69,-22,1657.0
8:06.0, ,69-49,C. Metu makes 2-pt hook shot from 5 ft,,3,49,69,-20,1674.0
7:48.0,H. Jones misses 3-pt jump shot from 26 ft,69-49, ,,3,49,69,-20,1692.0
7:46.0, ,69-49,Defensive rebound by T. Brown,,3,49,69,-20,1694.0
7:43.0, ,69-51,T. Brown makes 2-pt jump shot from 4 ft,,3,51,69,-18,1697.0
7:43.0,Violation by Team (def goaltending),69-51, ,,3,51,69,-18,1697.0
7:43.0, ,69-51,Shooting foul by C. McCollum (drawn by T. Brown),,3,51,69,-18,1697.0
7:43.0, ,69-52,T. Brown makes free throw 1 of 1,,3,52,69,-17,1697.0
7:22.0,Turnover by Z. Williamson (bad pass; steal by J. Ivey),69-52, ,,3,52,69,-17,1718.0
7:17.0, ,69-52,Shooting foul by Z. Williamson (drawn by J. Ivey),,3,52,69,-17,1723.0
7:17.0, ,69-53,J. Ivey makes free throw 1 of 2,,3,53,69,-16,1723.0
7:17.0, ,69-54,J. Ivey makes free throw 2 of 2,,3,54,69,-15,1723.0
6:52.0,C. McCollum makes 2-pt jump shot from 12 ft,71-54, ,,3,54,71,-17,1748.0
6:39.0, ,71-54,Shooting foul by L. Nance (drawn by T. Brown),,3,54,71,-17,1761.0
6:39.0, ,71-54,Detroit full timeout,,3,54,71,-17,1761.0
6:39.0, ,71-54,T. Brown misses free throw 1 of 2,,3,54,71,-17,1761.0
6:39.0, ,71-54,Offensive rebound by Team,,3,54,71,-17,1761.0
6:39.0, ,71-55,T. Brown makes free throw 2 of 2,,3,55,71,-16,1761.0
6:20.0,T. Murphy misses 2-pt dunk from 5 ft (block by C. Metu),71-55, ,,3,55,71,-16,1780.0
6:17.0, ,71-55,Defensive rebound by T. Brown,,3,55,71,-16,1783.0
5:59.0, ,71-57,J. Ivey makes 2-pt layup from 2 ft,,3,57,71,-14,1801.0
5:49.0,Shooting foul by T. Evbuomwan (drawn by T. Murphy),71-57, ,,3,57,71,-14,1811.0
5:49.0,T. Murphy misses free throw 1 of 2,71-57, ,,3,57,71,-14,1811.0
5:49.0,Offensive rebound by Team,71-57, ,,3,57,71,-14,1811.0
5:49.0,J. Alvarado enters the game for H. Jones,71-57, ,,3,57,71,-14,1811.0
5:49.0,N. Marshall enters the game for C. McCollum,71-57, ,,3,57,71,-14,1811.0
5:49.0, ,71-57,M. Flynn enters the game for M. Sasser,,3,57,71,-14,1811.0
5:49.0,T. Murphy makes free throw 2 of 2,72-57, ,,3,57,72,-15,1811.0
5:37.0, ,72-57,Turnover by J. Ivey (bad pass),,3,57,72,-15,1823.0
5:25.0,T. Murphy misses 3-pt jump shot from 27 ft,72-57, ,,3,57,72,-15,1835.0
5:21.0, ,72-57,Defensive rebound by T. Evbuomwan,,3,57,72,-15,1839.0
