Time,Detroit,Score,Philadelphia,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:01.0, ,22-26,T. Maxey misses 3-pt jump shot from 28 ft,,1,22,26,-4,719.0
0:00.0, ,22-26,Offensive rebound by Team,,1,22,26,-4,720.0
0:00.0,End of 1st quarter,22-26,,,1,22,26,-4,720.0
12:00.0,Start of 2nd quarter,22-26,,,2,22,26,-4,720.0
11:46.0,K. Hayes misses 2-pt jump shot from 9 ft,22-26, ,,2,22,26,-4,734.0
11:43.0, ,22-26,Defensive rebound by M. Morris,,2,22,26,-4,737.0
11:39.0, ,22-26,Offensive foul by P. Reed (drawn by A. Burks),,2,22,26,-4,741.0
11:39.0, ,22-26,Turnover by P. Reed (offensive foul),,2,22,26,-4,741.0
11:24.0, ,22-26,Violation by Team (kicked ball),,2,22,26,-4,756.0
11:17.0,B. Bogdanović misses 2-pt jump shot from 11 ft,22-26, ,,2,22,26,-4,763.0
11:16.0,Offensive rebound by J. Wiseman,22-26, ,,2,22,26,-4,764.0
11:15.0,J. Wiseman misses 2-pt layup at rim,22-26, ,,2,22,26,-4,765.0
11:14.0, ,22-26,Defensive rebound by K. Oubre,,2,22,26,-4,766.0
11:12.0,Violation by Team (kicked ball),22-26, ,,2,22,26,-4,768.0
10:55.0, ,22-28,K. Oubre makes 2-pt dunk at rim (assist by P. Reed),,2,22,28,-6,785.0
10:49.0,J. Ivey misses 2-pt layup from 3 ft,22-28, ,,2,22,28,-6,791.0
10:46.0, ,22-28,Defensive rebound by P. Reed,,2,22,28,-6,794.0
10:41.0, ,22-31,M. Morris makes 3-pt jump shot from 26 ft (assist by T. Maxey),,2,22,31,-9,799.0
10:26.0,B. Bogdanović misses 2-pt layup from 2 ft,22-31, ,,2,22,31,-9,814.0
10:23.0, ,22-31,Defensive rebound by P. Reed,,2,22,31,-9,817.0
10:20.0, ,22-31,K. Oubre misses 3-pt jump shot from 27 ft,,2,22,31,-9,820.0
10:16.0,Defensive rebound by K. Hayes,22-31, ,,2,22,31,-9,824.0
10:06.0,A. Burks makes 2-pt layup at rim,24-31, ,,2,24,31,-7,834.0
9:56.0, ,24-31,T. Maxey misses 2-pt jump shot from 8 ft,,2,24,31,-7,844.0
9:54.0,Defensive rebound by J. Wiseman,24-31, ,,2,24,31,-7,846.0
9:54.0,Personal foul by K. Oubre (drawn by J. Ivey),24-31, ,,2,24,31,-7,846.0
9:46.0,K. Hayes makes 2-pt jump shot from 11 ft,26-31, ,,2,26,31,-5,854.0
9:29.0, ,26-31,Shooting foul by J. Ivey (drawn by K. Oubre),,2,26,31,-5,871.0
9:29.0, ,26-32,K. Oubre makes free throw 1 of 2,,2,26,32,-6,871.0
9:29.0, ,26-33,K. Oubre makes free throw 2 of 2,,2,26,33,-7,871.0
9:11.0,A. Burks misses 3-pt jump shot from 24 ft,26-33, ,,2,26,33,-7,889.0
9:08.0, ,26-33,Defensive rebound by K. Oubre,,2,26,33,-7,892.0
8:53.0, ,26-33,M. Morris misses 2-pt jump shot from 10 ft,,2,26,33,-7,907.0
8:51.0,Defensive rebound by J. Wiseman,26-33, ,,2,26,33,-7,909.0
8:44.0,A. Burks makes 2-pt layup from 3 ft,28-33, ,,2,28,33,-5,916.0
8:28.0, ,28-33,Shooting foul by K. Hayes (drawn by T. Maxey),,2,28,33,-5,932.0
8:28.0, ,28-34,T. Maxey makes free throw 1 of 2,,2,28,34,-6,932.0
8:28.0,C. Cunningham enters the game for A. Burks,28-34, ,,2,28,34,-6,932.0
