Time,Chicago,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:38.0, ,80-68,C. Metu misses 2-pt layup from 3 ft (block by J. Green),,3,68,80,-12,1822.0
5:38.0,Defensive rebound by J. Green,80-68, ,,3,68,80,-12,1822.0
5:24.0,D. DeRozan makes 3-pt jump shot from 23 ft (assist by N. Vučević),83-68, ,,3,68,83,-15,1836.0
5:09.0, ,83-68,Turnover by M. Sasser (out of bounds lost ball),,3,68,83,-15,1851.0
4:57.0,N. Vučević misses 3-pt jump shot from 26 ft,83-68, ,,3,68,83,-15,1863.0
4:55.0, ,83-68,Defensive rebound by J. Ivey,,3,68,83,-15,1865.0
4:43.0, ,83-70,M. Sasser makes 2-pt layup from 2 ft (assist by J. Duren),,3,70,83,-13,1877.0
4:29.0,Shooting foul by T. Brown (drawn by D. DeRozan),83-70, ,,3,70,83,-13,1891.0
4:29.0,D. DeRozan makes free throw 1 of 2,84-70, ,,3,70,84,-14,1891.0
4:29.0,A. Sanogo enters the game for A. Caruso,84-70, ,,3,70,84,-14,1891.0
4:29.0,C. White enters the game for N. Vučević,84-70, ,,3,70,84,-14,1891.0
4:29.0, ,84-70,M. Flynn enters the game for T. Brown,,3,70,84,-14,1891.0
4:29.0, ,84-70,E. Fournier enters the game for J. Duren,,3,70,84,-14,1891.0
4:29.0, ,84-70,J. Wiseman enters the game for M. Sasser,,3,70,84,-14,1891.0
4:29.0,D. DeRozan makes free throw 2 of 2,85-70, ,,3,70,85,-15,1891.0
4:08.0, ,85-70,J. Ivey misses 2-pt jump shot from 15 ft,,3,70,85,-15,1912.0
4:05.0,Defensive rebound by J. Green,85-70, ,,3,70,85,-15,1915.0
3:59.0,Shooting foul by E. Fournier (drawn by D. DeRozan),85-70, ,,3,70,85,-15,1921.0
3:59.0,D. DeRozan makes free throw 1 of 2,86-70, ,,3,70,86,-16,1921.0
3:59.0, ,86-70,J. Rhoden enters the game for J. Ivey,,3,70,86,-16,1921.0
3:59.0,D. DeRozan makes free throw 2 of 2,87-70, ,,3,70,87,-17,1921.0
3:43.0, ,87-70,M. Flynn misses 2-pt jump shot from 4 ft (block by J. Carter),,3,70,87,-17,1937.0
3:43.0, ,87-70,Offensive rebound by J. Rhoden,,3,70,87,-17,1937.0
3:43.0, ,87-70,J. Rhoden misses 2-pt jump shot from 5 ft (block by J. Green),,3,70,87,-17,1937.0
3:43.0, ,87-70,Offensive rebound by Team,,3,70,87,-17,1937.0
3:35.0, ,87-70,C. Metu misses 3-pt jump shot from 26 ft,,3,70,87,-17,1945.0
3:32.0,Defensive rebound by J. Carter,87-70, ,,3,70,87,-17,1948.0
3:27.0,D. DeRozan makes 3-pt jump shot from 26 ft (assist by J. Carter),90-70, ,,3,70,90,-20,1953.0
3:05.0, ,90-70,Personal foul by J. Green (drawn by C. Metu),,3,70,90,-20,1975.0
2:51.0, ,90-72,C. Metu makes 2-pt jump shot from 4 ft,,3,72,90,-18,1989.0
2:39.0,D. DeRozan misses 2-pt layup from 3 ft,90-72, ,,3,72,90,-18,2001.0
2:38.0,Offensive rebound by A. Sanogo,90-72, ,,3,72,90,-18,2002.0
2:38.0,A. Sanogo misses 2-pt layup at rim,90-72, ,,3,72,90,-18,2002.0
2:37.0, ,90-72,Defensive rebound by J. Rhoden,,3,72,90,-18,2003.0
2:22.0, ,90-72,E. Fournier misses 3-pt jump shot from 23 ft,,3,72,90,-18,2018.0
2:19.0, ,90-72,Offensive rebound by M. Flynn,,3,72,90,-18,2021.0
