Time,Detroit,Score,Oklahoma City,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:56.0,J. Duren misses 2-pt layup from 4 ft,49-63, ,,3,49,63,-14,1504.0
10:54.0,Offensive rebound by J. Duren,49-63, ,,3,49,63,-14,1506.0
10:51.0,J. Duren misses 2-pt layup from 2 ft,49-63, ,,3,49,63,-14,1509.0
10:51.0,Offensive rebound by A. Thompson,49-63, ,,3,49,63,-14,1509.0
10:51.0,Personal foul by J. Giddey (drawn by A. Thompson),49-63, ,,3,49,63,-14,1509.0
10:45.0,C. Cunningham misses 2-pt jump shot from 15 ft,49-63, ,,3,49,63,-14,1515.0
10:43.0, ,49-63,Defensive rebound by C. Holmgren,,3,49,63,-14,1517.0
10:34.0, ,49-63,S. Gilgeous-Alexander misses 2-pt jump shot from 14 ft,,3,49,63,-14,1526.0
10:31.0,Defensive rebound by I. Stewart,49-63, ,,3,49,63,-14,1529.0
10:27.0,A. Thompson makes 2-pt dunk from 1 ft (assist by C. Cunningham),51-63, ,,3,51,63,-12,1533.0
10:14.0, ,51-63,J. Giddey misses 2-pt layup from 6 ft,,3,51,63,-12,1546.0
10:12.0,Defensive rebound by I. Stewart,51-63, ,,3,51,63,-12,1548.0
10:08.0,A. Thompson makes 2-pt dunk from 2 ft (assist by C. Cunningham),53-63, ,,3,53,63,-10,1552.0
9:58.0, ,53-66,C. Holmgren makes 3-pt jump shot from 26 ft (assist by J. Williams),,3,53,66,-13,1562.0
9:46.0,Turnover by C. Cunningham (lost ball; steal by L. Dort),53-66, ,,3,53,66,-13,1574.0
9:43.0, ,53-68,L. Dort makes 2-pt dunk from 1 ft,,3,53,68,-15,1577.0
9:29.0,K. Hayes makes 3-pt jump shot from 25 ft (assist by C. Cunningham),56-68, ,,3,56,68,-12,1591.0
9:18.0, ,56-68,Turnover by C. Holmgren (lost ball; steal by A. Thompson),,3,56,68,-12,1602.0
9:14.0,A. Thompson makes 2-pt layup from 1 ft (assist by K. Hayes),58-68, ,,3,58,68,-10,1606.0
9:14.0, ,58-68,Oklahoma City full timeout,,3,58,68,-10,1606.0
9:03.0, ,58-68,Personal foul by A. Thompson (drawn by S. Gilgeous-Alexander),,3,58,68,-10,1617.0
8:58.0, ,58-68,J. Williams misses 2-pt layup from 2 ft,,3,58,68,-10,1622.0
8:56.0,Defensive rebound by A. Thompson,58-68, ,,3,58,68,-10,1624.0
