Time,Golden State,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:50.0,Golden State full timeout,56-53, ,,3,53,56,-3,1510.0
10:41.0,S. Curry misses 2-pt layup from 6 ft (block by I. Stewart),56-53, ,,3,53,56,-3,1519.0
10:35.0, ,56-53,Defensive rebound by M. Bagley,,3,53,56,-3,1525.0
10:30.0, ,56-53,Shooting foul by K. Looney (drawn by M. Bagley),,3,53,56,-3,1530.0
10:30.0, ,56-54,M. Bagley makes free throw 1 of 2,,3,54,56,-2,1530.0
10:30.0, ,56-55,M. Bagley makes free throw 2 of 2,,3,55,56,-1,1530.0
10:19.0,K. Thompson misses 3-pt jump shot from 25 ft,56-55, ,,3,55,56,-1,1541.0
10:16.0,Offensive rebound by D. Green,56-55, ,,3,55,56,-1,1544.0
10:14.0,A. Wiggins makes 2-pt layup from 2 ft (assist by D. Green),58-55, ,,3,55,58,-3,1546.0
10:02.0, ,58-55,Offensive foul by I. Stewart (drawn by D. Green),,3,55,58,-3,1558.0
10:02.0, ,58-55,Turnover by I. Stewart (offensive foul),,3,55,58,-3,1558.0
9:48.0,Turnover by K. Looney (lost ball; steal by A. Thompson),58-55, ,,3,55,58,-3,1572.0
9:41.0, ,58-55,M. Bagley misses 2-pt hook shot from 11 ft,,3,55,58,-3,1579.0
9:39.0, ,58-55,Offensive rebound by A. Thompson,,3,55,58,-3,1581.0
9:39.0, ,58-57,A. Thompson makes 2-pt dunk at rim,,3,57,58,-1,1581.0
9:09.0,K. Looney misses 2-pt jump shot from 16 ft,58-57, ,,3,57,58,-1,1611.0
9:06.0,Offensive rebound by A. Wiggins,58-57, ,,3,57,58,-1,1614.0
9:04.0,A. Wiggins misses 2-pt layup from 3 ft,58-57, ,,3,57,58,-1,1616.0
9:00.0,Offensive rebound by K. Thompson,58-57, ,,3,57,58,-1,1620.0
9:00.0,K. Thompson makes 2-pt layup from 2 ft,60-57, ,,3,57,60,-3,1620.0
8:48.0, ,60-57,M. Bagley misses 2-pt jump shot from 11 ft,,3,57,60,-3,1632.0
8:44.0,Defensive rebound by D. Green,60-57, ,,3,57,60,-3,1636.0
8:39.0,A. Wiggins misses 2-pt hook shot from 6 ft,60-57, ,,3,57,60,-3,1641.0
8:37.0, ,60-57,Defensive rebound by I. Stewart,,3,57,60,-3,1643.0
8:32.0, ,60-59,A. Thompson makes 2-pt jump shot from 17 ft (assist by K. Hayes),,3,59,60,-1,1648.0
8:20.0,Personal foul by K. Hayes (drawn by K. Looney),60-59, ,,3,59,60,-1,1660.0
8:14.0,S. Curry misses 3-pt jump shot from 29 ft,60-59, ,,3,59,60,-1,1666.0
8:07.0,Offensive rebound by A. Wiggins,60-59, ,,3,59,60,-1,1673.0
8:07.0,A. Wiggins makes 2-pt layup at rim,62-59, ,,3,59,62,-3,1673.0
7:55.0, ,62-62,K. Hayes makes 3-pt jump shot from 24 ft (assist by C. Cunningham),Tie,3,62,62,0,1685.0
7:39.0,S. Curry makes 3-pt jump shot from 27 ft (assist by D. Green),65-62, ,,3,62,65,-3,1701.0
7:26.0, ,65-62,I. Stewart misses 3-pt jump shot from 27 ft,,3,62,65,-3,1714.0
7:26.0,Defensive rebound by Team,65-62, ,,3,62,65,-3,1714.0
7:17.0,K. Looney makes 2-pt layup from 6 ft (assist by S. Curry),67-62, ,,3,62,67,-5,1723.0
7:07.0, ,67-62,Shooting foul by D. Green (drawn by C. Cunningham),,3,62,67,-5,1733.0
7:07.0, ,67-62,C. Cunningham misses free throw 1 of 2,,3,62,67,-5,1733.0
7:07.0, ,67-62,Offensive rebound by Team,,3,62,67,-5,1733.0
7:07.0, ,67-63,C. Cunningham makes free throw 2 of 2,,3,63,67,-4,1733.0
7:07.0,D. Šarić enters the game for K. Looney,67-63, ,,3,63,67,-4,1733.0
6:51.0,A. Wiggins misses 2-pt jump shot from 9 ft,67-63, ,,3,63,67,-4,1749.0
6:48.0,Offensive rebound by D. Green,67-63, ,,3,63,67,-4,1752.0
6:47.0,D. Green makes 2-pt layup from 3 ft (assist by K. Thompson),69-63, ,,3,63,69,-6,1753.0
6:30.0, ,69-65,M. Bagley makes 2-pt layup from 3 ft (assist by I. Stewart),,3,65,69,-4,1770.0
6:19.0,S. Curry makes 2-pt jump shot from 17 ft,71-65, ,,3,65,71,-6,1781.0
6:09.0, ,71-65,Shooting foul by S. Curry (drawn by C. Cunningham),,3,65,71,-6,1791.0
6:09.0, ,71-66,C. Cunningham makes free throw 1 of 2,,3,66,71,-5,1791.0
6:09.0,M. Moody enters the game for K. Thompson,71-66, ,,3,66,71,-5,1791.0
6:09.0,G. Payton enters the game for A. Wiggins,71-66, ,,3,66,71,-5,1791.0
6:09.0, ,71-66,M. Sasser enters the game for K. Hayes,,3,66,71,-5,1791.0
6:09.0, ,71-67,C. Cunningham makes free throw 2 of 2,,3,67,71,-4,1791.0
5:56.0,S. Curry misses 3-pt jump shot from 29 ft,71-67, ,,3,67,71,-4,1804.0
5:53.0, ,71-67,Defensive rebound by M. Sasser,,3,67,71,-4,1807.0
5:37.0, ,71-69,M. Bagley makes 2-pt jump shot from 14 ft (assist by M. Sasser),,3,69,71,-2,1823.0
5:11.0,D. Šarić misses 3-pt jump shot from 25 ft,71-69, ,,3,69,71,-2,1849.0
5:07.0, ,71-69,Defensive rebound by M. Sasser,,3,69,71,-2,1853.0
5:00.0, ,71-69,Turnover by M. Sasser (lost ball; steal by D. Šarić),,3,69,71,-2,1860.0
4:53.0,D. Green misses 3-pt jump shot from 26 ft,71-69, ,,3,69,71,-2,1867.0
4:48.0, ,71-69,Defensive rebound by M. Bagley,,3,69,71,-2,1872.0
4:39.0, ,71-69,A. Thompson misses 3-pt jump shot from 23 ft,,3,69,71,-2,1881.0
4:36.0,Defensive rebound by D. Šarić,71-69, ,,3,69,71,-2,1884.0
4:33.0,Turnover by S. Curry (bad pass; steal by A. Thompson),71-69, ,,3,69,71,-2,1887.0
4:25.0, ,71-71,C. Cunningham makes 2-pt layup from 3 ft,Tie,3,71,71,0,1895.0
4:01.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by M. Moody),74-71, ,,3,71,74,-3,1919.0
3:41.0, ,74-71,M. Bagley misses 2-pt hook shot from 10 ft,,3,71,74,-3,1939.0
3:37.0, ,74-71,Offensive rebound by A. Thompson,,3,71,74,-3,1943.0
3:34.0, ,74-71,C. Cunningham misses 3-pt jump shot from 25 ft,,3,71,74,-3,1946.0
3:30.0,Defensive rebound by M. Moody,74-71, ,,3,71,74,-3,1950.0
