Time,Detroit,Score,New Orleans,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:09.0, ,31-40,C. McCollum makes free throw 1 of 2,,2,31,40,-9,831.0
10:09.0,I. Stewart enters the game for J. Harris,31-40, ,,2,31,40,-9,831.0
10:09.0, ,31-41,C. McCollum makes free throw 2 of 2,,2,31,41,-10,831.0
9:54.0,Personal foul by D. Seabron (drawn by K. Hayes),31-41, ,,2,31,41,-10,846.0
9:40.0,J. Duren misses 2-pt hook shot from 5 ft,31-41, ,,2,31,41,-10,860.0
9:36.0, ,31-41,Defensive rebound by C. McCollum,,2,31,41,-10,864.0
9:33.0, ,31-41,C. McCollum misses 3-pt jump shot from 26 ft,,2,31,41,-10,867.0
9:29.0,Defensive rebound by J. Duren,31-41, ,,2,31,41,-10,871.0
9:21.0,K. Hayes misses 3-pt jump shot from 28 ft,31-41, ,,2,31,41,-10,879.0
9:18.0,Offensive rebound by J. Ivey,31-41, ,,2,31,41,-10,882.0
9:18.0,Shooting foul by H. Jones (drawn by J. Ivey),31-41, ,,2,31,41,-10,882.0
9:18.0,J. Ivey makes free throw 1 of 2,32-41, ,,2,32,41,-9,882.0
9:18.0,J. Ivey makes free throw 2 of 2,33-41, ,,2,33,41,-8,882.0
8:59.0, ,33-43,J. Valančiūnas makes 2-pt hook shot from 7 ft (assist by M. Ryan),,2,33,43,-10,901.0
8:48.0,K. Hayes makes 3-pt jump shot from 25 ft (assist by M. Sasser),36-43, ,,2,36,43,-7,912.0
8:33.0, ,36-43,Turnover by M. Ryan (step out of bounds),,2,36,43,-7,927.0
8:33.0,A. Thompson enters the game for J. Ivey,36-43, ,,2,36,43,-7,927.0
8:20.0,J. Duren makes 2-pt hook shot from 6 ft (assist by K. Hayes),38-43, ,,2,38,43,-5,940.0
8:13.0, ,38-43,Personal foul by I. Stewart (drawn by H. Jones),,2,38,43,-5,947.0
8:13.0, ,38-43,D. Daniels enters the game for H. Jones,,2,38,43,-5,947.0
8:13.0, ,38-43,K. Lewis enters the game for C. McCollum,,2,38,43,-5,947.0
8:09.0, ,38-43,Personal foul by J. Duren (drawn by J. Valančiūnas),,2,38,43,-5,951.0
8:09.0, ,38-44,J. Valančiūnas makes free throw 1 of 2,,2,38,44,-6,951.0
8:09.0, ,38-44,J. Valančiūnas misses free throw 2 of 2,,2,38,44,-6,951.0
8:07.0,Defensive rebound by J. Duren,38-44, ,,2,38,44,-6,953.0
7:49.0,M. Sasser misses 3-pt jump shot from 26 ft,38-44, ,,2,38,44,-6,971.0
