Time,Detroit,Score,Denver,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:51.0, ,58-71,K. Caldwell-Pope makes 2-pt dunk at rim (assist by N. Jokić),,3,58,71,-13,1509.0
10:40.0,B. Bogdanović misses 2-pt jump shot from 14 ft,58-71, ,,3,58,71,-13,1520.0
10:32.0, ,58-71,Defensive rebound by K. Caldwell-Pope,,3,58,71,-13,1528.0
10:25.0, ,58-71,M. Porter misses 3-pt jump shot from 26 ft,,3,58,71,-13,1535.0
10:22.0,Defensive rebound by I. Livers,58-71, ,,3,58,71,-13,1538.0
10:15.0,J. Duren makes 2-pt layup from 2 ft (assist by I. Livers),60-71, ,,3,60,71,-11,1545.0
10:15.0,Shooting foul by N. Jokić (drawn by J. Duren),60-71, ,,3,60,71,-11,1545.0
10:15.0,J. Duren makes free throw 1 of 1,61-71, ,,3,61,71,-10,1545.0
10:05.0, ,61-71,Offensive foul by N. Jokić (drawn by B. Bogdanović),,3,61,71,-10,1555.0
10:05.0, ,61-71,Turnover by N. Jokić (offensive foul),,3,61,71,-10,1555.0
9:54.0,J. Duren misses 2-pt dunk from 4 ft (block by N. Jokić),61-71, ,,3,61,71,-10,1566.0
9:53.0, ,61-71,Defensive rebound by K. Caldwell-Pope,,3,61,71,-10,1567.0
9:40.0, ,61-73,A. Gordon makes 2-pt layup from 2 ft (assist by N. Jokić),,3,61,73,-12,1580.0
9:40.0, ,61-73,Shooting foul by I. Livers (drawn by A. Gordon),,3,61,73,-12,1580.0
9:40.0, ,61-74,A. Gordon makes free throw 1 of 1,,3,61,74,-13,1580.0
9:32.0,Offensive foul by J. Duren (drawn by A. Gordon),61-74, ,,3,61,74,-13,1588.0
9:32.0,Turnover by J. Duren (offensive foul),61-74, ,,3,61,74,-13,1588.0
9:14.0, ,61-74,Turnover by M. Porter (lost ball; steal by I. Livers),,3,61,74,-13,1606.0
9:08.0,J. Duren makes 2-pt layup from 2 ft (assist by J. Ivey),63-74, ,,3,63,74,-11,1612.0
9:08.0, ,63-74,Denver full timeout,,3,63,74,-11,1612.0
8:58.0, ,63-74,Personal foul by I. Livers (drawn by J. Murray),,3,63,74,-11,1622.0
8:44.0, ,63-77,J. Murray makes 3-pt jump shot from 25 ft (assist by N. Jokić),,3,63,77,-14,1636.0
8:26.0,Turnover by B. Bogdanović (bad pass; steal by J. Murray),63-77, ,,3,63,77,-14,1654.0
8:23.0, ,63-77,J. Murray misses 3-pt jump shot from 26 ft,,3,63,77,-14,1657.0
8:19.0,Defensive rebound by J. Ivey,63-77, ,,3,63,77,-14,1661.0
8:12.0,B. Bogdanović makes 2-pt jump shot from 3 ft (assist by J. Ivey),65-77, ,,3,65,77,-12,1668.0
7:52.0, ,65-77,M. Porter misses 2-pt jump shot from 20 ft,,3,65,77,-12,1688.0
7:47.0, ,65-77,Offensive rebound by J. Murray,,3,65,77,-12,1693.0
7:47.0, ,65-77,Turnover by J. Murray (bad pass; steal by K. Hayes),,3,65,77,-12,1693.0
7:34.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by J. Duren),67-77, ,,3,67,77,-10,1706.0
7:24.0, ,67-77,Turnover by N. Jokić (bad pass; steal by B. Bogdanović),,3,67,77,-10,1716.0
7:18.0,Turnover by B. Bogdanović (bad pass; steal by K. Caldwell-Pope),67-77, ,,3,67,77,-10,1722.0
7:07.0, ,67-79,M. Porter makes 2-pt jump shot from 21 ft (assist by N. Jokić),,3,67,79,-12,1733.0
6:55.0,J. Ivey makes 2-pt dunk from 1 ft,69-79, ,,3,69,79,-10,1745.0
6:34.0, ,69-81,A. Gordon makes 2-pt layup from 2 ft (assist by N. Jokić),,3,69,81,-12,1766.0
6:34.0, ,69-81,Shooting foul by K. Hayes (drawn by A. Gordon),,3,69,81,-12,1766.0
6:34.0,A. Burks enters the game for B. Bogdanović,69-81, ,,3,69,81,-12,1766.0
6:34.0,M. Sasser enters the game for J. Duren,69-81, ,,3,69,81,-12,1766.0
6:34.0,J. Wiseman enters the game for K. Hayes,69-81, ,,3,69,81,-12,1766.0
6:34.0, ,69-81,R. Jackson enters the game for J. Murray,,3,69,81,-12,1766.0
6:34.0, ,69-82,A. Gordon makes free throw 1 of 1,,3,69,82,-13,1766.0
6:27.0,Personal foul by R. Jackson (drawn by M. Sasser),69-82, ,,3,69,82,-13,1773.0
6:27.0, ,69-82,P. Watson enters the game for A. Gordon,,3,69,82,-13,1773.0
6:17.0,J. Ivey misses 2-pt jump shot from 11 ft,69-82, ,,3,69,82,-13,1783.0
6:14.0,Offensive rebound by J. Wiseman,69-82, ,,3,69,82,-13,1786.0
6:13.0,J. Wiseman misses 2-pt layup from 2 ft (block by N. Jokić),69-82, ,,3,69,82,-13,1787.0
6:10.0,Offensive rebound by J. Wiseman,69-82, ,,3,69,82,-13,1790.0
6:10.0,J. Wiseman misses 2-pt layup at rim,69-82, ,,3,69,82,-13,1790.0
6:09.0, ,69-82,Defensive rebound by P. Watson,,3,69,82,-13,1791.0
6:08.0, ,69-82,Shooting foul by I. Livers (drawn by P. Watson),,3,69,82,-13,1792.0
6:08.0, ,69-83,P. Watson makes free throw 1 of 2,,3,69,83,-14,1792.0
6:08.0,K. Knox enters the game for I. Livers,69-83, ,,3,69,83,-14,1792.0
6:08.0, ,69-84,P. Watson makes free throw 2 of 2,,3,69,84,-15,1792.0
5:58.0,M. Sasser misses 2-pt jump shot from 9 ft,69-84, ,,3,69,84,-15,1802.0
5:56.0, ,69-84,Defensive rebound by N. Jokić,,3,69,84,-15,1804.0
5:47.0, ,69-84,K. Caldwell-Pope misses 2-pt layup from 4 ft,,3,69,84,-15,1813.0
5:45.0,Defensive rebound by J. Ivey,69-84, ,,3,69,84,-15,1815.0
5:39.0,J. Ivey makes 2-pt layup from 3 ft,71-84, ,,3,71,84,-13,1821.0
5:24.0, ,71-86,R. Jackson makes 2-pt layup from 1 ft (assist by N. Jokić),,3,71,86,-15,1836.0
5:12.0,J. Ivey misses 3-pt jump shot from 27 ft,71-86, ,,3,71,86,-15,1848.0
5:09.0, ,71-86,Defensive rebound by P. Watson,,3,71,86,-15,1851.0
4:54.0, ,71-88,M. Porter makes 2-pt layup from 1 ft (assist by N. Jokić),,3,71,88,-17,1866.0
4:54.0,Detroit full timeout,71-88, ,,3,71,88,-17,1866.0
4:54.0, ,71-88,C. Braun enters the game for M. Porter,,3,71,88,-17,1866.0
4:44.0,J. Wiseman makes 2-pt layup from 2 ft (assist by J. Ivey),73-88, ,,3,73,88,-15,1876.0
4:33.0, ,73-90,P. Watson makes 2-pt dunk from 1 ft (assist by N. Jokić),,3,73,90,-17,1887.0
4:19.0,M. Sasser misses 2-pt jump shot from 12 ft,73-90, ,,3,73,90,-17,1901.0
