event,TeamScore,opponentScore,pointDifference,elapsedTime,opponent,id
,75,55,20,1452.0,IND,202311010BOS
,76,55,21,1480.0,IND,202311010BOS
,77,55,22,1480.0,IND,202311010BOS
,80,55,25,1507.0,IND,202311010BOS
,82,55,27,1527.0,IND,202311010BOS
,84,55,29,1583.0,IND,202311010BOS
,87,55,32,1608.0,IND,202311010BOS
,87,57,30,1627.0,IND,202311010BOS
,89,57,32,1638.0,IND,202311010BOS
,89,59,30,1677.0,IND,202311010BOS
,91,59,32,1692.0,IND,202311010BOS
,94,59,35,1712.0,IND,202311010BOS
,94,61,33,1739.0,IND,202311010BOS
,94,63,31,1756.0,IND,202311010BOS
,95,63,32,1821.0,IND,202311010BOS
,96,63,33,1821.0,IND,202311010BOS
,96,64,32,1833.0,IND,202311010BOS
,96,65,31,1833.0,IND,202311010BOS
,98,65,33,1872.0,IND,202311010BOS
,98,67,31,1914.0,IND,202311010BOS
,100,67,33,1932.0,IND,202311010BOS
,100,69,31,1950.0,IND,202311010BOS
,102,69,33,1964.0,IND,202311010BOS
,102,71,31,2010.0,IND,202311010BOS
,103,71,32,2043.0,IND,202311010BOS
,104,71,33,2043.0,IND,202311010BOS
,107,71,36,2068.0,IND,202311010BOS
,108,71,37,2094.0,IND,202311010BOS
,109,71,38,2094.0,IND,202311010BOS
,112,71,41,2170.0,IND,202311010BOS
,112,73,39,2183.0,IND,202311010BOS
,115,73,42,2201.0,IND,202311010BOS
,117,73,44,2235.0,IND,202311010BOS
,117,76,41,2271.0,IND,202311010BOS
,117,78,39,2306.0,IND,202311010BOS
,120,78,42,2324.0,IND,202311010BOS
,123,78,45,2360.0,IND,202311010BOS
,125,78,47,2377.0,IND,202311010BOS
,126,78,48,2377.0,IND,202311010BOS
,126,80,46,2392.0,IND,202311010BOS
,126,82,44,2426.0,IND,202311010BOS
,129,82,47,2439.0,IND,202311010BOS
,129,84,45,2455.0,IND,202311010BOS
,129,87,42,2489.0,IND,202311010BOS
,131,87,44,2521.0,IND,202311010BOS
,132,87,45,2521.0,IND,202311010BOS
,134,87,47,2555.0,IND,202311010BOS
,134,88,46,2562.0,IND,202311010BOS
,137,88,49,2565.0,IND,202311010BOS
,137,90,47,2575.0,IND,202311010BOS
,139,90,49,2588.0,IND,202311010BOS
,140,90,50,2611.0,IND,202311010BOS
,141,90,51,2611.0,IND,202311010BOS
,141,92,49,2625.0,IND,202311010BOS
,143,92,51,2639.0,IND,202311010BOS
,143,94,49,2649.0,IND,202311010BOS
,145,94,51,2667.0,IND,202311010BOS
,145,96,49,2680.0,IND,202311010BOS
,145,97,48,2680.0,IND,202311010BOS
,147,97,50,2691.0,IND,202311010BOS
,147,99,48,2710.0,IND,202311010BOS
,149,99,50,2743.0,IND,202311010BOS
,149,101,48,2763.0,IND,202311010BOS
,151,101,50,2781.0,IND,202311010BOS
,152,101,51,2799.0,IND,202311010BOS
,153,101,52,2799.0,IND,202311010BOS
,153,102,51,2808.0,IND,202311010BOS
,155,102,53,2830.0,IND,202311010BOS
,155,104,51,2852.0,IND,202311010BOS
F,155,104,51,2880.0,IND,202311010BOS
,0,0,0,0.0,NJN,202311040BRK
,2,0,2,18.0,NJN,202311040BRK
,4,0,4,51.0,NJN,202311040BRK
,4,3,1,64.0,NJN,202311040BRK
,7,3,4,102.0,NJN,202311040BRK
,7,5,2,116.0,NJN,202311040BRK
,9,5,4,143.0,NJN,202311040BRK
,12,5,7,165.0,NJN,202311040BRK
,12,8,4,204.0,NJN,202311040BRK
,14,8,6,217.0,NJN,202311040BRK
,14,10,4,226.0,NJN,202311040BRK
,16,10,6,236.0,NJN,202311040BRK
,16,13,3,249.0,NJN,202311040BRK
,17,13,4,284.0,NJN,202311040BRK
,20,13,7,340.0,NJN,202311040BRK
,22,13,9,376.0,NJN,202311040BRK
,22,15,7,449.0,NJN,202311040BRK
,24,15,9,463.0,NJN,202311040BRK
,24,18,6,473.0,NJN,202311040BRK
,25,18,7,487.0,NJN,202311040BRK
,26,18,8,487.0,NJN,202311040BRK
,26,20,6,508.0,NJN,202311040BRK
,26,21,5,530.0,NJN,202311040BRK
,26,22,4,530.0,NJN,202311040BRK
,26,24,2,559.0,NJN,202311040BRK
,27,24,3,571.0,NJN,202311040BRK
,27,26,1,590.0,NJN,202311040BRK
,30,26,4,610.0,NJN,202311040BRK
,30,29,1,624.0,NJN,202311040BRK
,31,29,2,634.0,NJN,202311040BRK
T,31,31,0,653.0,NJN,202311040BRK
,34,31,3,688.0,NJN,202311040BRK
,34,33,1,717.0,NJN,202311040BRK
T,34,34,0,717.0,NJN,202311040BRK
LC,34,35,-1,773.0,NJN,202311040BRK
,34,36,-2,773.0,NJN,202311040BRK
,34,38,-4,803.0,NJN,202311040BRK
,35,38,-3,845.0,NJN,202311040BRK
,36,38,-2,845.0,NJN,202311040BRK
,36,41,-5,857.0,NJN,202311040BRK
,38,41,-3,885.0,NJN,202311040BRK
,40,41,-1,919.0,NJN,202311040BRK
LC,43,41,2,947.0,NJN,202311040BRK
,45,41,4,980.0,NJN,202311040BRK
,45,44,1,997.0,NJN,202311040BRK
,47,44,3,1048.0,NJN,202311040BRK
,47,46,1,1062.0,NJN,202311040BRK
,49,46,3,1093.0,NJN,202311040BRK
,49,47,2,1116.0,NJN,202311040BRK
,49,48,1,1116.0,NJN,202311040BRK
,51,48,3,1135.0,NJN,202311040BRK
,52,48,4,1135.0,NJN,202311040BRK
,52,50,2,1175.0,NJN,202311040BRK
,53,50,3,1198.0,NJN,202311040BRK
,54,50,4,1198.0,NJN,202311040BRK
