Time,Score,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime,Notes,OpponentName,id
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: G. Dieng vs. O. Yurtseven (D. Hunter gains possession),Atlanta,202201140MIA
12:00.0,30-40,,2,40,30,10,720.0,Start of 2nd quarter,Atlanta,202201140MIA
12:00.0,70-64,,3,64,70,-6,1440.0,Start of 3rd quarter,Atlanta,202201140MIA
12:00.0,99-94,,4,94,99,-5,2160.0,Start of 4th quarter,Atlanta,202201140MIA
0:00.0,118-124,,4,124,118,6,2880.0,End of 4th quarter,Atlanta,202201140MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Embiid vs. O. Yurtseven (M. Strus gains possession),Philadelphia,202201150MIA
12:00.0,20-29,,2,29,20,9,720.0,Start of 2nd quarter,Philadelphia,202201150MIA
12:00.0,43-50,,3,50,43,7,1440.0,Start of 3rd quarter,Philadelphia,202201150MIA
12:00.0,75-73,,4,73,75,-2,2160.0,Start of 4th quarter,Philadelphia,202201150MIA
0:00.0,109-98,,4,98,109,-11,2880.0,End of 4th quarter,Philadelphia,202201150MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: P. Achiuwa vs. B. Adebayo (G. Vincent gains possession),Toronto,202201170MIA
12:00.0,30-27,,2,27,30,-3,720.0,Start of 2nd quarter,Toronto,202201170MIA
12:00.0,51-58,,3,58,51,7,1440.0,Start of 3rd quarter,Toronto,202201170MIA
12:00.0,75-80,,4,80,75,5,2160.0,Start of 4th quarter,Toronto,202201170MIA
0:00.0,99-104,,4,104,99,5,2880.0,End of 4th quarter,Toronto,202201170MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Nurkić vs. B. Adebayo (R. Covington gains possession),Portland,202201190MIA
12:00.0,26-23,,2,23,26,-3,720.0,Start of 2nd quarter,Portland,202201190MIA
12:00.0,56-58,,3,58,56,2,1440.0,Start of 3rd quarter,Portland,202201190MIA
12:00.0,80-78,,4,78,80,-2,2160.0,Start of 4th quarter,Portland,202201190MIA
0:00.0,92-104,,4,104,92,12,2880.0,End of 4th quarter,Portland,202201190MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: B. Adebayo vs. O. Okongwu (G. Vincent gains possession),Atlanta,202201210ATL
12:00.0,30-31,,2,30,31,-1,720.0,Start of 2nd quarter,Atlanta,202201210ATL
12:00.0,51-60,,3,51,60,-9,1440.0,Start of 3rd quarter,Atlanta,202201210ATL
12:00.0,74-88,,4,74,88,-14,2160.0,Start of 4th quarter,Atlanta,202201210ATL
0:00.0,108-110,,4,108,110,-2,2880.0,End of 4th quarter,Atlanta,202201210ATL
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: D. Howard vs. B. Adebayo (L. James gains possession),LA Lakers,202201230MIA
12:00.0,25-39,,2,39,25,14,720.0,Start of 2nd quarter,LA Lakers,202201230MIA
12:00.0,52-69,,3,69,52,17,1440.0,Start of 3rd quarter,LA Lakers,202201230MIA
12:00.0,70-89,,4,89,70,19,2160.0,Start of 4th quarter,LA Lakers,202201230MIA
0:00.0,107-113,,4,113,107,6,2880.0,End of 4th quarter,LA Lakers,202201230MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: M. Robinson vs. B. Adebayo (P. Tucker gains possession),New York,202201260MIA
12:00.0,16-30,,2,30,16,14,720.0,Start of 2nd quarter,New York,202201260MIA
12:00.0,46-59,,3,59,46,13,1440.0,Start of 3rd quarter,New York,202201260MIA
12:00.0,67-92,,4,92,67,25,2160.0,Start of 4th quarter,New York,202201260MIA
0:00.0,96-110,,4,110,96,14,2880.0,End of 4th quarter,New York,202201260MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: I. Zubac vs. B. Adebayo (G. Vincent gains possession),LA Clippers,202201280MIA
12:00.0,19-28,,2,28,19,9,720.0,Start of 2nd quarter,LA Clippers,202201280MIA
12:00.0,45-57,,3,57,45,12,1440.0,Start of 3rd quarter,LA Clippers,202201280MIA
12:00.0,80-96,,4,96,80,16,2160.0,Start of 4th quarter,LA Clippers,202201280MIA
0:00.0,114-121,,4,121,114,7,2880.0,End of 4th quarter,LA Clippers,202201280MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: S. Barnes vs. B. Adebayo (G. Vincent gains possession),Toronto,202201290MIA
12:00.0,28-27,,2,27,28,-1,720.0,Start of 2nd quarter,Toronto,202201290MIA
12:00.0,59-53,,3,53,59,-6,1440.0,Start of 3rd quarter,Toronto,202201290MIA
12:00.0,85-75,,4,75,85,-10,2160.0,Start of 4th quarter,Toronto,202201290MIA
0:00.0,124-120,,7,120,124,-4,4200.0,End of 3rd overtime,Toronto,202201290MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: B. Adebayo vs. R. Williams (A. Horford gains possession),Boston,202201310BOS
12:00.0,14-27,,2,14,27,-13,720.0,Start of 2nd quarter,Boston,202201310BOS
12:00.0,45-54,,3,45,54,-9,1440.0,Start of 3rd quarter,Boston,202201310BOS
12:00.0,70-94,,4,70,94,-24,2160.0,Start of 4th quarter,Boston,202201310BOS
0:00.0,92-122,,4,92,122,-30,2880.0,End of 4th quarter,Boston,202201310BOS
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: B. Adebayo vs. S. Barnes (J. Butler gains possession),Toronto,202202010TOR
12:00.0,32-22,,2,32,22,10,720.0,Start of 2nd quarter,Toronto,202202010TOR
12:00.0,62-50,,3,62,50,12,1440.0,Start of 3rd quarter,Toronto,202202010TOR
12:00.0,83-80,,4,83,80,3,2160.0,Start of 4th quarter,Toronto,202202010TOR
0:00.0,106-110,,4,106,110,-4,2880.0,End of 4th quarter,Toronto,202202010TOR
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: B. Adebayo vs. T. Young (K. Lowry gains possession),San Antonio,202202030SAS
12:00.0,21-19,,2,21,19,2,720.0,Start of 2nd quarter,San Antonio,202202030SAS
12:00.0,57-47,,3,57,47,10,1440.0,Start of 3rd quarter,San Antonio,202202030SAS
12:00.0,88-66,,4,88,66,22,2160.0,Start of 4th quarter,San Antonio,202202030SAS
