Time,Score,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime,Notes,OpponentName,id
6:10.0,62-69,,3,69,62,7,1790.0, ,Orlando,202312170BOS
12:00.0,50-61,,3,61,50,11,1440.0,Start of 3rd quarter,Orlando,202312170BOS
6:00.0,87-103,,4,103,87,16,2520.0, ,Orlando,202312170BOS
12:00.0,74-83,,4,83,74,9,2160.0,Start of 4th quarter,Orlando,202312170BOS
0:00.0,97-114,,4,114,97,17,2880.0,End of 4th quarter,Orlando,202312170BOS
6:07.0,18-14,,1,18,14,4,353.0, ,Golden State,202312190GSW
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: A. Horford vs. K. Looney (D. White gains possession),Golden State,202312190GSW
6:00.0,52-46,,2,52,46,6,1080.0,Turnover by J. Brown (bad pass; steal by B. Podziemski),Golden State,202312190GSW
12:00.0,40-30,,2,40,30,10,720.0,Start of 2nd quarter,Golden State,202312190GSW
6:05.0,83-70,,3,83,70,13,1795.0, ,Golden State,202312190GSW
12:00.0,65-62,,3,65,62,3,1440.0,Start of 3rd quarter,Golden State,202312190GSW
6:08.0,110-103,,4,110,103,7,2512.0, ,Golden State,202312190GSW
12:00.0,97-86,,4,97,86,11,2160.0,Start of 4th quarter,Golden State,202312190GSW
0:00.0,126-132,,5,126,132,-6,3180.0,End of 1st overtime,Golden State,202312190GSW
0:00.0,126-132,,5,126,132,-6,3180.0,Offensive rebound by Team,Golden State,202312190GSW
6:02.0,13-23,,1,13,23,-10,358.0, ,Sacramento,202312200SAC
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: K. Porziņģis vs. D. Sabonis (D. White gains possession),Sacramento,202312200SAC
6:08.0,54-51,,2,54,51,3,1072.0, ,Sacramento,202312200SAC
12:00.0,38-41,,2,38,41,-3,720.0,Start of 2nd quarter,Sacramento,202312200SAC
6:14.0,96-76,,3,96,76,20,1786.0, ,Sacramento,202312200SAC
12:00.0,74-66,,3,74,66,8,1440.0,Start of 3rd quarter,Sacramento,202312200SAC
6:11.0,135-110,,4,135,110,25,2509.0, ,Sacramento,202312200SAC
12:00.0,113-90,,4,113,90,23,2160.0,Start of 4th quarter,Sacramento,202312200SAC
0:00.0,144-119,,4,144,119,25,2880.0,End of 4th quarter,Sacramento,202312200SAC
6:20.0,14-14,Tie,1,14,14,0,340.0, ,LA Clippers,202312230LAC
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: A. Horford vs. I. Zubac (J. Brown gains possession),LA Clippers,202312230LAC
6:01.0,52-38,,2,52,38,14,1079.0,J. Tatum makes 3-pt jump shot from 26 ft (assist by J. Holiday),LA Clippers,202312230LAC
12:00.0,28-21,,2,28,21,7,720.0,Start of 2nd quarter,LA Clippers,202312230LAC
