Time,Score,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime,Notes,OpponentName,id
12:00.0,28-36,,2,36,28,8,720.0,Start of 2nd quarter,Denver,202312110ATL
6:00.0,82-71,,3,71,82,-11,1800.0, ,Denver,202312110ATL
12:00.0,65-62,,3,62,65,-3,1440.0,Start of 3rd quarter,Denver,202312110ATL
6:00.0,115-102,,4,102,115,-13,2520.0,D. Murray makes 3-pt jump shot from 25 ft,Denver,202312110ATL
12:00.0,103-86,,4,86,103,-17,2160.0,Start of 4th quarter,Denver,202312110ATL
0:00.0,129-122,,4,122,129,-7,2880.0,End of 4th quarter,Denver,202312110ATL
6:13.0,14-19,,1,14,19,-5,347.0, ,Toronto,202312130TOR
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: C. Capela vs. J. Poeltl (D. Schröder gains possession),Toronto,202312130TOR
6:02.0,55-48,,2,55,48,7,1078.0, ,Toronto,202312130TOR
12:00.0,39-31,,2,39,31,8,720.0,Start of 2nd quarter,Toronto,202312130TOR
6:07.0,83-86,,3,83,86,-3,1793.0,D. Murray makes 2-pt layup from 3 ft (assist by T. Young),Toronto,202312130TOR
12:00.0,66-64,,3,66,64,2,1440.0,Start of 3rd quarter,Toronto,202312130TOR
6:26.0,107-109,,4,107,109,-2,2494.0,B. Bogdanović makes 3-pt jump shot from 29 ft (assist by T. Young),Toronto,202312130TOR
12:00.0,95-103,,4,95,103,-8,2160.0,Start of 4th quarter,Toronto,202312130TOR
0:00.0,128-135,,4,128,135,-7,2880.0,End of 4th quarter,Toronto,202312130TOR
6:10.0,13-12,Lead change,1,13,12,1,350.0,D. Murray makes 2-pt layup from 2 ft (assist by S. Bey),Toronto,202312150TOR
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: C. Capela vs. J. Poeltl (D. Schröder gains possession),Toronto,202312150TOR
6:02.0,45-40,,2,45,40,5,1078.0, ,Toronto,202312150TOR
12:00.0,30-24,,2,30,24,6,720.0,Start of 2nd quarter,Toronto,202312150TOR
6:07.0,77-65,,3,77,65,12,1793.0,T. Young makes 2-pt jump shot from 11 ft,Toronto,202312150TOR
12:00.0,59-49,,3,59,49,10,1440.0,Start of 3rd quarter,Toronto,202312150TOR
6:06.0,110-92,,4,110,92,18,2514.0, ,Toronto,202312150TOR
12:00.0,87-78,,4,87,78,9,2160.0,Start of 4th quarter,Toronto,202312150TOR
0:00.0,125-104,,4,125,104,21,2880.0,End of 4th quarter,Toronto,202312150TOR
6:07.0,9-22,,1,9,22,-13,353.0, ,Cleveland,202312160CLE
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: O. Okongwu vs. J. Allen (D. Mitchell gains possession),Cleveland,202312160CLE
6:14.0,35-54,,2,35,54,-19,1066.0,Loose ball foul by O. Okongwu (drawn by T. Thompson),Cleveland,202312160CLE
12:00.0,28-41,,2,28,41,-13,720.0,Start of 2nd quarter,Cleveland,202312160CLE
6:02.0,68-81,,3,68,81,-13,1798.0,Defensive rebound by S. Bey,Cleveland,202312160CLE
12:00.0,52-70,,3,52,70,-18,1440.0,Start of 3rd quarter,Cleveland,202312160CLE
6:11.0,100-109,,4,100,109,-9,2509.0, ,Cleveland,202312160CLE
12:00.0,81-92,,4,81,92,-11,2160.0,Start of 4th quarter,Cleveland,202312160CLE
0:00.0,119-127,,4,119,127,-8,2880.0,End of 4th quarter,Cleveland,202312160CLE
6:09.0,10-20,,1,20,10,10,351.0,D. Murray makes 3-pt jump shot from 25 ft,Detroit,202312180ATL
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: M. Bagley vs. C. Capela (B. Bogdanović gains possession),Detroit,202312180ATL
6:00.0,39-47,,2,47,39,8,1080.0, ,Detroit,202312180ATL
12:00.0,25-38,,2,38,25,13,720.0,Start of 2nd quarter,Detroit,202312180ATL
6:04.0,69-82,,3,82,69,13,1796.0, ,Detroit,202312180ATL
12:00.0,52-61,,3,61,52,9,1440.0,Start of 3rd quarter,Detroit,202312180ATL
6:01.0,107-115,,4,115,107,8,2519.0,T. Young makes free throw 2 of 2,Detroit,202312180ATL
12:00.0,84-96,,4,96,84,12,2160.0,Start of 4th quarter,Detroit,202312180ATL
0:00.0,124-130,,4,130,124,6,2880.0,End of 4th quarter,Detroit,202312180ATL
6:02.0,22-18,,1,22,18,4,358.0, ,Houston,202312200HOU
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: C. Capela vs. A. Sengun (D. Brooks gains possession),Houston,202312200HOU
6:11.0,59-42,,2,59,42,17,1069.0,B. Bogdanović makes 3-pt jump shot from 30 ft (assist by D. Murray),Houston,202312200HOU
12:00.0,39-29,,2,39,29,10,720.0,Start of 2nd quarter,Houston,202312200HOU
6:05.0,86-81,,3,86,81,5,1795.0,D. Hunter makes 2-pt layup from 4 ft (assist by D. Murray),Houston,202312200HOU
12:00.0,77-65,,3,77,65,12,1440.0,Start of 3rd quarter,Houston,202312200HOU
6:00.0,127-109,,4,127,109,18,2520.0,B. Bogdanović makes 2-pt layup from 4 ft (assist by T. Young),Houston,202312200HOU
12:00.0,98-100,,4,98,100,-2,2160.0,Start of 4th quarter,Houston,202312200HOU
0:00.0,134-127,,4,134,127,7,2880.0,End of 4th quarter,Houston,202312200HOU
6:00.0,11-20,,1,11,20,-9,360.0, ,Miami,202312220MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: C. Capela vs. B. Adebayo (K. Lowry gains possession),Miami,202312220MIA
6:09.0,46-49,,2,46,49,-3,1071.0,P. Mills makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),Miami,202312220MIA
