Time,Miami,Score,Chicago,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
1:07.0,J. Butler makes free throw 2 of 2,71-70, ,Lead change,3,71,70,1,2093.0
0:56.0, ,71-70,A. Caruso misses 3-pt jump shot from 27 ft,,3,71,70,1,2104.0
0:53.0,Defensive rebound by D. Dedmon,71-70, ,,3,71,70,1,2107.0
0:41.0,Personal foul by D. DeRozan (drawn by M. Strus),71-70, ,,3,71,70,1,2119.0
0:41.0,M. Strus misses free throw 1 of 2,71-70, ,,3,71,70,1,2119.0
0:41.0,Offensive rebound by Team,71-70, ,,3,71,70,1,2119.0
0:41.0,C. Martin enters the game for J. Butler,71-70, ,,3,71,70,1,2119.0
0:41.0,M. Strus makes free throw 2 of 2,72-70, ,,3,72,70,2,2119.0
0:34.0, ,72-72,D. DeRozan makes 2-pt jump shot from 7 ft (assist by C. White),Tie,3,72,72,0,2126.0
0:28.0,K. Lowry misses 2-pt jump shot from 3 ft (block by D. Jones),72-72, ,,3,72,72,0,2132.0
0:25.0, ,72-72,Defensive rebound by C. White,,3,72,72,0,2135.0
0:24.0, ,72-74,A. Caruso makes 2-pt jump shot from 6 ft,Lead change,3,72,74,-2,2136.0
0:04.0,Turnover by G. Vincent (bad pass),72-74, ,,3,72,74,-2,2156.0
0:02.0, ,72-74,Turnover by C. White (step out of bounds),,3,72,74,-2,2158.0
0:02.0,B. Adebayo enters the game for D. Dedmon,72-74, ,,3,72,74,-2,2158.0
0:02.0,D. Robinson enters the game for C. Martin,72-74, ,,3,72,74,-2,2158.0
0:02.0, ,72-74,N. Vučević enters the game for D. Jones,,3,72,74,-2,2158.0
0:00.0,G. Vincent misses 3-pt jump shot from 53 ft,72-74, ,,3,72,74,-2,2160.0
0:00.0,Offensive rebound by Team,72-74, ,,3,72,74,-2,2160.0
0:00.0,End of 3rd quarter,72-74,,,3,72,74,-2,2160.0
12:00.0,Start of 4th quarter,72-74,,,4,72,74,-2,2160.0
11:49.0,K. Lowry misses 2-pt jump shot from 8 ft,72-74, ,,4,72,74,-2,2171.0
11:45.0, ,72-74,Defensive rebound by C. White,,4,72,74,-2,2175.0
11:32.0, ,72-74,C. White misses 3-pt jump shot from 23 ft,,4,72,74,-2,2188.0
11:30.0, ,72-74,Offensive rebound by C. White,,4,72,74,-2,2190.0
11:21.0, ,72-74,Turnover by C. White (traveling),,4,72,74,-2,2199.0
11:11.0,Turnover by D. Dedmon (lost ball; steal by L. Ball),72-74, ,,4,72,74,-2,2209.0
