Time,Brooklyn,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
11:20.0,D. Sharpe misses free throw 1 of 1,79-92, ,,4,92,79,13,2200.0
11:11.0, ,79-92,Defensive rebound by M. Strus,,4,92,79,13,2209.0
11:00.0, ,79-92,Turnover by D. Dedmon (traveling),,4,92,79,13,2220.0
10:46.0,P. Mills makes 3-pt jump shot from 27 ft (assist by K. Irving),82-92, ,,4,92,82,10,2234.0
10:44.0, ,82-92,Miami full timeout,,4,92,82,10,2236.0
10:31.0, ,82-92,K. Lowry misses 2-pt layup from 1 ft (block by K. Irving),,4,92,82,10,2249.0
10:28.0,Defensive rebound by D. Sharpe,82-92, ,,4,92,82,10,2252.0
10:18.0,C. Thomas misses 2-pt jump shot from 12 ft,82-92, ,,4,92,82,10,2262.0
10:15.0, ,82-92,Defensive rebound by M. Strus,,4,92,82,10,2265.0
10:06.0, ,82-92,Personal foul by K. Irving (drawn by D. Dedmon),,4,92,82,10,2274.0
9:56.0, ,82-92,M. Strus misses 3-pt jump shot from 27 ft,,4,92,82,10,2284.0
9:52.0,Defensive rebound by C. Thomas,82-92, ,,4,92,82,10,2288.0
9:44.0,Personal foul by M. Strus (drawn by K. Irving),82-92, ,,4,92,82,10,2296.0
9:32.0,C. Thomas misses 2-pt layup from 3 ft,82-92, ,,4,92,82,10,2308.0
9:29.0, ,82-92,Defensive rebound by M. Strus,,4,92,82,10,2311.0
9:24.0, ,82-92,K. Lowry misses 3-pt jump shot from 26 ft,,4,92,82,10,2316.0
9:20.0,Defensive rebound by C. Thomas,82-92, ,,4,92,82,10,2320.0
9:10.0,D. Sharpe makes 2-pt dunk from 2 ft (assist by K. Irving),84-92, ,,4,92,84,8,2330.0
9:04.0, ,84-92,Miami full timeout,,4,92,84,8,2336.0
9:04.0, ,84-92,B. Adebayo enters the game for D. Dedmon,,4,92,84,8,2336.0
9:04.0, ,84-92,D. Robinson enters the game for T. Herro,,4,92,84,8,2336.0
8:43.0, ,84-92,G. Vincent misses 2-pt jump shot from 18 ft,,4,92,84,8,2357.0
8:41.0,Defensive rebound by K. Irving,84-92, ,,4,92,84,8,2359.0
8:30.0,K. Irving misses 2-pt jump shot from 13 ft,84-92, ,,4,92,84,8,2370.0
8:28.0, ,84-92,Defensive rebound by B. Adebayo,,4,92,84,8,2372.0
8:20.0, ,84-95,M. Strus makes 3-pt jump shot from 24 ft (assist by D. Robinson),,4,95,84,11,2380.0
8:05.0,K. Irving makes 3-pt jump shot from 27 ft,87-95, ,,4,95,87,8,2395.0
7:55.0,Violation by Team (kicked ball),87-95, ,,4,95,87,8,2405.0
7:44.0, ,87-95,Turnover by B. Adebayo (lost ball; steal by K. Edwards),,4,95,87,8,2416.0
7:38.0,K. Irving makes 3-pt jump shot from 28 ft,90-95, ,,4,95,90,5,2422.0
7:18.0, ,90-97,K. Lowry makes 2-pt layup from 2 ft,,4,97,90,7,2442.0
6:57.0,K. Edwards misses 3-pt jump shot from 24 ft,90-97, ,,4,97,90,7,2463.0
6:55.0,Offensive rebound by D. Sharpe,90-97, ,,4,97,90,7,2465.0
6:52.0,C. Thomas misses 3-pt jump shot from 25 ft,90-97, ,,4,97,90,7,2468.0
6:49.0, ,90-97,Defensive rebound by B. Adebayo,,4,97,90,7,2471.0
6:44.0, ,90-97,Shooting foul by C. Thomas (drawn by K. Lowry),,4,97,90,7,2476.0
6:44.0, ,90-98,K. Lowry makes free throw 1 of 2,,4,98,90,8,2476.0
6:44.0, ,90-98,J. Butler enters the game for M. Strus,,4,98,90,8,2476.0
6:44.0, ,90-99,K. Lowry makes free throw 2 of 2,,4,99,90,9,2476.0
6:32.0,K. Irving makes 2-pt jump shot from 2 ft,92-99, ,,4,99,92,7,2488.0
6:19.0, ,92-101,K. Lowry makes 2-pt jump shot from 15 ft,,4,101,92,9,2501.0
6:04.0,Turnover by K. Irving (bad pass),92-101, ,,4,101,92,9,2516.0
5:54.0, ,92-101,K. Lowry misses 2-pt jump shot from 10 ft,,4,101,92,9,2526.0
5:54.0, ,92-101,Offensive rebound by Team,,4,101,92,9,2526.0
