Time,Philadelphia,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
1:20.0, ,40-50,G. Vincent enters the game for D. Robinson,,2,50,40,10,1360.0
1:01.0,T. Harris misses 2-pt jump shot from 13 ft,40-50, ,,2,50,40,10,1379.0
0:57.0, ,40-50,Defensive rebound by J. Butler,,2,50,40,10,1383.0
0:48.0, ,40-50,Personal foul by J. Embiid (drawn by J. Butler),,2,50,40,10,1392.0
0:38.0, ,40-52,G. Vincent makes 2-pt jump shot from 17 ft (assist by J. Butler),,2,52,40,12,1402.0
0:33.0,T. Maxey misses 3-pt jump shot from 25 ft,40-52, ,,2,52,40,12,1407.0
0:33.0, ,40-52,Defensive rebound by D. Dedmon,,2,52,40,12,1407.0
0:14.0, ,40-54,T. Herro makes 2-pt jump shot from 8 ft,,2,54,40,14,1426.0
0:01.0,J. Embiid misses 3-pt jump shot from 24 ft,40-54, ,,2,54,40,14,1439.0
0:01.0,Offensive rebound by Team,40-54, ,,2,54,40,14,1439.0
0:00.0,End of 2nd quarter,40-54,,,2,54,40,14,1440.0
12:00.0,Start of 3rd quarter,40-54,,,3,54,40,14,1440.0
11:34.0, ,40-54,J. Butler misses 2-pt jump shot from 18 ft,,3,54,40,14,1466.0
11:30.0,Defensive rebound by T. Maxey,40-54, ,,3,54,40,14,1470.0
11:13.0,J. Embiid makes 2-pt jump shot from 14 ft,42-54, ,,3,54,42,12,1487.0
11:01.0, ,42-54,B. Adebayo misses 2-pt jump shot from 14 ft,,3,54,42,12,1499.0
10:56.0,Defensive rebound by T. Harris,42-54, ,,3,54,42,12,1504.0
10:56.0,Personal foul by D. Robinson (drawn by M. Thybulle),42-54, ,,3,54,42,12,1504.0
10:41.0,Shooting foul by P. Tucker (drawn by J. Embiid),42-54, ,,3,54,42,12,1519.0
10:41.0,J. Embiid makes free throw 1 of 2,43-54, ,,3,54,43,11,1519.0
10:41.0,J. Embiid makes free throw 2 of 2,44-54, ,,3,54,44,10,1519.0
10:19.0, ,44-57,G. Vincent makes 3-pt jump shot from 26 ft (assist by P. Tucker),,3,57,44,13,1541.0
10:00.0,T. Maxey makes 3-pt jump shot from 23 ft (assist by J. Embiid),47-57, ,,3,57,47,10,1560.0
9:38.0, ,47-57,Turnover by P. Tucker (bad pass; steal by M. Thybulle),,3,57,47,10,1582.0
9:38.0,Personal take foul by G. Vincent (drawn by J. Embiid),47-57, ,,3,57,47,10,1582.0
9:28.0,Personal foul by B. Adebayo (drawn by J. Embiid),47-57, ,,3,57,47,10,1592.0
9:14.0,J. Embiid misses 2-pt jump shot from 17 ft,47-57, ,,3,57,47,10,1606.0
9:09.0, ,47-57,Defensive rebound by G. Vincent,,3,57,47,10,1611.0
9:05.0, ,47-57,B. Adebayo misses 2-pt layup from 2 ft,,3,57,47,10,1615.0
9:05.0,Defensive rebound by J. Embiid,47-57, ,,3,57,47,10,1615.0
9:05.0,Personal foul by J. Butler (drawn by J. Embiid),47-57, ,,3,57,47,10,1615.0
9:05.0,Instant Replay (Request: Ruling Stands),47-57, ,,3,57,47,10,1615.0
9:05.0,Technical foul by J. Embiid,47-57, ,,3,57,47,10,1615.0
9:05.0, ,47-58,J. Butler makes technical free throw,,3,58,47,11,1615.0
9:05.0,J. Embiid makes free throw 1 of 2,48-58, ,,3,58,48,10,1615.0
9:05.0,J. Embiid makes free throw 2 of 2,49-58, ,,3,58,49,9,1615.0
8:46.0, ,49-58,Offensive foul by D. Robinson (drawn by F. Korkmaz),,3,58,49,9,1634.0
8:46.0, ,49-58,Turnover by D. Robinson (offensive foul),,3,58,49,9,1634.0
8:22.0,Turnover by Team (shot clock),49-58, ,,3,58,49,9,1658.0
8:09.0, ,49-58,Turnover by D. Robinson (bad pass; steal by J. Embiid),,3,58,49,9,1671.0
8:02.0,T. Maxey makes 2-pt jump shot from 9 ft (assist by T. Harris),51-58, ,,3,58,51,7,1678.0
7:52.0, ,51-58,J. Butler misses 2-pt jump shot from 13 ft (block by M. Thybulle),,3,58,51,7,1688.0
7:52.0,Defensive rebound by M. Thybulle,51-58, ,,3,58,51,7,1688.0
