Time,Houston,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
7:44.0,A. Sengun makes free throw 2 of 2,64-73, ,,3,73,64,9,1696.0
7:25.0, ,64-73,Turnover by D. Dedmon (out of bounds lost ball),,3,73,64,9,1715.0
7:07.0,A. Sengun misses 2-pt layup from 2 ft (block by D. Dedmon),64-73, ,,3,73,64,9,1733.0
7:05.0, ,64-73,Defensive rebound by P. Tucker,,3,73,64,9,1735.0
6:51.0, ,64-73,P. Tucker misses 3-pt jump shot from 23 ft,,3,73,64,9,1749.0
6:50.0, ,64-73,Offensive rebound by Team,,3,73,64,9,1750.0
6:45.0, ,64-73,Personal foul by G. Mathews (drawn by D. Robinson),,3,73,64,9,1755.0
6:40.0, ,64-75,P. Tucker makes 2-pt jump shot from 11 ft (assist by K. Lowry),,3,75,64,11,1760.0
6:27.0,J. Green makes 2-pt layup from 2 ft,66-75, ,,3,75,66,9,1773.0
6:21.0, ,66-75,J. Butler misses 2-pt layup from 1 ft,,3,75,66,9,1779.0
6:18.0,Defensive rebound by A. Sengun,66-75, ,,3,75,66,9,1782.0
6:11.0,J. Green misses 3-pt jump shot from 24 ft,66-75, ,,3,75,66,9,1789.0
6:09.0, ,66-75,Defensive rebound by D. Dedmon,,3,75,66,9,1791.0
6:07.0, ,66-75,Shooting foul by A. Sengun (drawn by J. Butler),,3,75,66,9,1793.0
6:07.0, ,66-75,J. Butler misses free throw 1 of 2,,3,75,66,9,1793.0
6:07.0, ,66-75,Offensive rebound by Team,,3,75,66,9,1793.0
6:07.0,J. Christopher enters the game for G. Mathews,66-75, ,,3,75,66,9,1793.0
6:07.0,K. Martin enters the game for J. Tate,66-75, ,,3,75,66,9,1793.0
6:07.0, ,66-76,J. Butler makes free throw 2 of 2,,3,76,66,10,1793.0
5:45.0,A. Sengun misses 2-pt jump shot from 4 ft,66-76, ,,3,76,66,10,1815.0
5:43.0, ,66-76,Defensive rebound by D. Dedmon,,3,76,66,10,1817.0
5:28.0, ,66-76,P. Tucker misses 3-pt jump shot from 23 ft,,3,76,66,10,1832.0
5:26.0,Defensive rebound by Team,66-76, ,,3,76,66,10,1834.0
5:26.0, ,66-76,T. Herro enters the game for K. Lowry,,3,76,66,10,1834.0
5:02.0,K. Porter misses 3-pt jump shot from 23 ft,66-76, ,,3,76,66,10,1858.0
4:59.0, ,66-76,Defensive rebound by D. Dedmon,,3,76,66,10,1861.0
4:53.0, ,66-76,D. Robinson misses 3-pt jump shot from 23 ft,,3,76,66,10,1867.0
4:48.0,Defensive rebound by J. Green,66-76, ,,3,76,66,10,1872.0
4:36.0,A. Sengun misses 2-pt jump shot from 11 ft,66-76, ,,3,76,66,10,1884.0
4:34.0, ,66-76,Defensive rebound by D. Dedmon,,3,76,66,10,1886.0
