Time,LA Clippers,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
10:21.0, ,48-63,Personal foul by T. Mann (drawn by G. Vincent),,3,63,48,15,1539.0
10:17.0, ,48-63,Turnover by B. Adebayo (traveling),,3,63,48,15,1543.0
10:00.0,R. Jackson misses 3-pt jump shot from 23 ft,48-63, ,,3,63,48,15,1560.0
9:59.0,Offensive rebound by Team,48-63, ,,3,63,48,15,1561.0
9:49.0,R. Jackson makes 2-pt layup from 9 ft,50-63, ,,3,63,50,13,1571.0
9:37.0, ,50-66,D. Robinson makes 3-pt jump shot from 26 ft (assist by G. Vincent),,3,66,50,16,1583.0
9:20.0,Shooting foul by G. Vincent (drawn by A. Coffey),50-66, ,,3,66,50,16,1600.0
9:20.0,A. Coffey makes free throw 1 of 2,51-66, ,,3,66,51,15,1600.0
9:20.0,A. Coffey makes free throw 2 of 2,52-66, ,,3,66,52,14,1600.0
9:07.0, ,52-68,B. Adebayo makes 2-pt dunk from 1 ft (assist by D. Robinson),,3,68,52,16,1613.0
8:56.0,I. Zubac makes 2-pt dunk from 2 ft (assist by R. Jackson),54-68, ,,3,68,54,14,1624.0
8:47.0, ,54-71,G. Vincent makes 3-pt jump shot from 25 ft (assist by P. Tucker),,3,71,54,17,1633.0
8:36.0,Personal foul by P. Tucker (drawn by I. Zubac),54-71, ,,3,71,54,17,1644.0
8:27.0,R. Jackson misses 3-pt jump shot from 26 ft,54-71, ,,3,71,54,17,1653.0
8:23.0, ,54-71,Defensive rebound by J. Butler,,3,71,54,17,1657.0
8:10.0, ,54-73,J. Butler makes 2-pt layup from 2 ft,,3,73,54,19,1670.0
8:09.0,LA Clippers full timeout,54-73, ,,3,73,54,19,1671.0
8:00.0,Personal foul by G. Vincent (drawn by T. Mann),54-73, ,,3,73,54,19,1680.0
7:55.0,N. Batum misses 3-pt jump shot from 25 ft,54-73, ,,3,73,54,19,1685.0
7:52.0,Offensive rebound by T. Mann,54-73, ,,3,73,54,19,1688.0
7:50.0,T. Mann makes 2-pt jump shot from 19 ft,56-73, ,,3,73,56,17,1690.0
7:28.0, ,56-76,G. Vincent makes 3-pt jump shot from 26 ft (assist by D. Robinson),,3,76,56,20,1712.0
7:10.0,Personal foul by P. Tucker (drawn by I. Zubac),56-76, ,,3,76,56,20,1730.0
7:10.0, ,56-76,C. Martin enters the game for P. Tucker,,3,76,56,20,1730.0
7:02.0,A. Coffey makes 2-pt layup from 2 ft (assist by N. Batum),58-76, ,,3,76,58,18,1738.0
6:50.0, ,58-76,B. Adebayo misses 2-pt jump shot from 11 ft,,3,76,58,18,1750.0
6:46.0,Defensive rebound by A. Coffey,58-76, ,,3,76,58,18,1754.0
6:32.0,N. Batum makes 2-pt jump shot from 12 ft,60-76, ,,3,76,60,16,1768.0
6:07.0, ,60-79,G. Vincent makes 3-pt jump shot from 23 ft (assist by C. Martin),,3,79,60,19,1793.0
5:51.0,R. Jackson makes 2-pt jump shot from 7 ft,62-79, ,,3,79,62,17,1809.0
5:43.0, ,62-79,B. Adebayo misses 2-pt jump shot from 7 ft,,3,79,62,17,1817.0
5:40.0, ,62-79,Offensive rebound by J. Butler,,3,79,62,17,1820.0
5:38.0, ,62-82,G. Vincent makes 3-pt jump shot from 26 ft (assist by J. Butler),,3,82,62,20,1822.0
5:37.0,LA Clippers full timeout,62-82, ,,3,82,62,20,1823.0
5:37.0,E. Bledsoe enters the game for N. Batum,62-82, ,,3,82,62,20,1823.0
5:37.0,I. Hartenstein enters the game for R. Jackson,62-82, ,,3,82,62,20,1823.0
5:37.0,L. Kennard enters the game for T. Mann,62-82, ,,3,82,62,20,1823.0
5:37.0,J. Winslow enters the game for I. Zubac,62-82, ,,3,82,62,20,1823.0
5:23.0,J. Winslow misses 2-pt layup from 6 ft,62-82, ,,3,82,62,20,1837.0
5:23.0, ,62-82,Defensive rebound by Team,,3,82,62,20,1837.0
5:06.0, ,62-85,D. Robinson makes 3-pt jump shot from 25 ft (assist by C. Martin),,3,85,62,23,1854.0
4:49.0,A. Coffey makes 3-pt jump shot from 25 ft (assist by J. Winslow),65-85, ,,3,85,65,20,1871.0
4:33.0, ,65-85,Shooting foul by I. Hartenstein (drawn by B. Adebayo),,3,85,65,20,1887.0
4:33.0, ,65-86,B. Adebayo makes free throw 1 of 2,,3,86,65,21,1887.0
4:33.0, ,65-86,T. Herro enters the game for D. Robinson,,3,86,65,21,1887.0
4:33.0, ,65-87,B. Adebayo makes free throw 2 of 2,,3,87,65,22,1887.0
4:19.0,L. Kennard makes 3-pt jump shot from 26 ft (assist by I. Hartenstein),68-87, ,,3,87,68,19,1901.0
4:00.0, ,68-87,G. Vincent misses 3-pt jump shot from 27 ft,,3,87,68,19,1920.0
3:58.0,Defensive rebound by Team,68-87, ,,3,87,68,19,1922.0
3:58.0, ,68-87,D. Dedmon enters the game for B. Adebayo,,3,87,68,19,1922.0
3:47.0,E. Bledsoe misses 2-pt jump shot from 16 ft,68-87, ,,3,87,68,19,1933.0
3:45.0, ,68-87,Defensive rebound by J. Butler,,3,87,68,19,1935.0
3:35.0, ,68-87,Turnover by J. Butler (bad pass; steal by E. Bledsoe),,3,87,68,19,1945.0
3:31.0,E. Bledsoe makes 2-pt layup from 2 ft,70-87, ,,3,87,70,17,1949.0
3:12.0, ,70-87,G. Vincent misses 2-pt layup from 5 ft (block by J. Winslow),,3,87,70,17,1968.0
3:08.0, ,70-87,Offensive rebound by C. Martin,,3,87,70,17,1972.0
3:03.0, ,70-87,Turnover by G. Vincent (lost ball; steal by E. Bledsoe),,3,87,70,17,1977.0
2:59.0,I. Hartenstein makes 2-pt dunk from 1 ft (assist by E. Bledsoe),72-87, ,,3,87,72,15,1981.0
2:58.0, ,72-87,Miami full timeout,,3,87,72,15,1982.0
2:58.0, ,72-87,M. Strus enters the game for G. Vincent,,3,87,72,15,1982.0
2:45.0, ,72-87,D. Dedmon misses 2-pt hook shot from 6 ft,,3,87,72,15,1995.0
2:42.0,Defensive rebound by E. Bledsoe,72-87, ,,3,87,72,15,1998.0
2:40.0,Shooting foul by D. Dedmon (drawn by J. Winslow),72-87, ,,3,87,72,15,2000.0
2:40.0, ,72-87,Technical foul by D. Dedmon,,3,87,72,15,2000.0
2:40.0,L. Kennard makes technical free throw,73-87, ,,3,87,73,14,2000.0
2:40.0,J. Winslow makes free throw 1 of 2,74-87, ,,3,87,74,13,2000.0
2:40.0,J. Winslow misses free throw 2 of 2,74-87, ,,3,87,74,13,2000.0
2:38.0,Offensive rebound by Team,74-87, ,,3,87,74,13,2002.0
2:30.0,I. Hartenstein misses 2-pt layup from 4 ft,74-87, ,,3,87,74,13,2010.0
2:28.0, ,74-87,Defensive rebound by M. Strus,,3,87,74,13,2012.0
2:27.0, ,74-87,Shooting foul by A. Coffey (drawn by J. Butler),,3,87,74,13,2013.0
2:27.0, ,74-88,J. Butler makes free throw 1 of 2,,3,88,74,14,2013.0
2:27.0, ,74-89,J. Butler makes free throw 2 of 2,,3,89,74,15,2013.0
2:27.0, ,74-89,Violation by Team (delay of game),,3,89,74,15,2013.0
2:27.0,L. Kennard makes technical free throw,75-89, ,,3,89,75,14,2013.0
2:09.0,E. Bledsoe misses 3-pt jump shot from 25 ft,75-89, ,,3,89,75,14,2031.0
2:06.0, ,75-89,Defensive rebound by D. Dedmon,,3,89,75,14,2034.0
1:57.0, ,75-91,D. Dedmon makes 2-pt jump shot from 10 ft (assist by J. Butler),,3,91,75,16,2043.0
1:43.0,J. Winslow makes 2-pt layup from 3 ft,77-91, ,,3,91,77,14,2057.0
1:34.0, ,77-91,D. Dedmon misses 3-pt jump shot from 25 ft,,3,91,77,14,2066.0
1:26.0,Defensive rebound by L. Kennard,77-91, ,,3,91,77,14,2074.0
1:26.0,E. Bledsoe makes 2-pt layup from 1 ft,79-91, ,,3,91,79,12,2074.0
1:26.0,Shooting foul by M. Strus (drawn by E. Bledsoe),79-91, ,,3,91,79,12,2074.0
1:26.0,E. Bledsoe makes free throw 1 of 1,80-91, ,,3,91,80,11,2074.0
1:11.0, ,80-93,T. Herro makes 2-pt jump shot from 14 ft,,3,93,80,13,2089.0
0:54.0,Turnover by A. Coffey (bad pass; steal by J. Butler),80-93, ,,3,93,80,13,2106.0
0:48.0, ,80-96,M. Strus makes 3-pt jump shot from 25 ft (assist by J. Butler),,3,96,80,16,2112.0
0:40.0,L. Kennard misses 3-pt jump shot from 26 ft,80-96, ,,3,96,80,16,2120.0
0:35.0, ,80-96,Defensive rebound by D. Dedmon,,3,96,80,16,2125.0
0:27.0, ,80-96,J. Butler misses 2-pt layup from 2 ft,,3,96,80,16,2133.0
0:26.0, ,80-96,Offensive rebound by Team,,3,96,80,16,2134.0
0:26.0, ,80-96,G. Vincent enters the game for J. Butler,,3,96,80,16,2134.0
0:15.0, ,80-96,M. Strus misses 3-pt jump shot from 26 ft,,3,96,80,16,2145.0
0:12.0, ,80-96,Offensive rebound by C. Martin,,3,96,80,16,2148.0
0:10.0, ,80-96,G. Vincent misses 3-pt jump shot from 23 ft,,3,96,80,16,2150.0
0:06.0, ,80-96,Offensive rebound by M. Strus,,3,96,80,16,2154.0
0:04.0, ,80-96,M. Strus misses 3-pt jump shot from 23 ft,,3,96,80,16,2156.0
0:00.0,Defensive rebound by A. Coffey,80-96, ,,3,96,80,16,2160.0
0:00.0,A. Coffey misses 3-pt jump shot from 46 ft,80-96, ,,3,96,80,16,2160.0
0:00.0,Offensive rebound by Team,80-96, ,,3,96,80,16,2160.0
0:00.0,End of 3rd quarter,80-96,,,3,96,80,16,2160.0
12:00.0,Start of 4th quarter,80-96,,,4,96,80,16,2160.0
11:41.0, ,80-98,G. Vincent makes 2-pt jump shot from 16 ft,,4,98,80,18,2179.0
11:24.0,E. Bledsoe misses 2-pt layup from 2 ft,80-98, ,,4,98,80,18,2196.0
11:16.0,Offensive rebound by I. Hartenstein,80-98, ,,4,98,80,18,2204.0
11:16.0,I. Hartenstein makes 2-pt dunk at rim,82-98, ,,4,98,82,16,2204.0
11:11.0, ,82-98,Turnover by G. Vincent (bad pass),,4,98,82,16,2209.0
11:03.0,J. Winslow misses 2-pt hook shot from 6 ft (block by D. Dedmon),82-98, ,,4,98,82,16,2217.0
10:59.0, ,82-98,Defensive rebound by D. Dedmon,,4,98,82,16,2221.0
10:52.0, ,82-98,T. Herro misses 2-pt layup from 3 ft,,4,98,82,16,2228.0
10:49.0, ,82-98,Offensive rebound by D. Dedmon,,4,98,82,16,2231.0
10:45.0, ,82-100,T. Herro makes 2-pt hook shot from 6 ft (assist by D. Dedmon),,4,100,82,18,2235.0
10:28.0,I. Hartenstein misses 2-pt jump shot from 8 ft,82-100, ,,4,100,82,18,2252.0
10:26.0, ,82-100,Defensive rebound by D. Dedmon,,4,100,82,18,2254.0
10:18.0, ,82-100,T. Herro misses 2-pt jump shot from 12 ft,,4,100,82,18,2262.0
10:15.0, ,82-100,Offensive rebound by D. Dedmon,,4,100,82,18,2265.0
10:14.0, ,82-100,T. Herro misses 3-pt jump shot from 23 ft,,4,100,82,18,2266.0
10:08.0,Defensive rebound by J. Winslow,82-100, ,,4,100,82,18,2272.0
10:05.0,B. Boston makes 2-pt layup from 2 ft (assist by J. Winslow),84-100, ,,4,100,84,16,2275.0
9:50.0, ,84-100,G. Vincent misses 3-pt jump shot from 27 ft,,4,100,84,16,2290.0
9:48.0,Defensive rebound by E. Bledsoe,84-100, ,,4,100,84,16,2292.0
