Time,Miami,Score,San Antonio,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
1:19.0, ,52-41,Offensive rebound by Team,,2,52,41,11,1361.0
1:19.0, ,52-42,T. Young makes free throw 2 of 2,,2,52,42,10,1361.0
1:06.0,J. Butler makes 2-pt layup from 4 ft,54-42, ,,2,54,42,12,1374.0
0:54.0, ,54-45,D. White makes 3-pt jump shot from 26 ft (assist by T. Young),,2,54,45,9,1386.0
0:34.0,Turnover by K. Lowry (bad pass),54-45, ,,2,54,45,9,1406.0
0:29.0, ,54-47,D. White makes 2-pt layup from 5 ft,,2,54,47,7,1411.0
0:28.0,Personal take foul by T. Young (drawn by K. Lowry),54-47, ,,2,54,47,7,1412.0
0:28.0,D. Robinson enters the game for P. Tucker,54-47, ,,2,54,47,7,1412.0
0:08.0,B. Adebayo misses 2-pt jump shot from 9 ft,54-47, ,,2,54,47,7,1432.0
0:06.0,Offensive rebound by J. Butler,54-47, ,,2,54,47,7,1434.0
0:06.0,J. Butler makes 2-pt layup from 1 ft,56-47, ,,2,56,47,9,1434.0
0:06.0,Shooting foul by J. Primo (drawn by J. Butler),56-47, ,,2,56,47,9,1434.0
0:06.0,G. Vincent enters the game for D. Robinson,56-47, ,,2,56,47,9,1434.0
0:06.0,J. Butler makes free throw 1 of 1,57-47, ,,2,57,47,10,1434.0
0:02.0, ,57-47,Turnover by D. White (bad pass; steal by B. Adebayo),,2,57,47,10,1438.0
0:00.0,B. Adebayo misses 3-pt jump shot from 44 ft,57-47, ,,2,57,47,10,1440.0
0:00.0,Offensive rebound by Team,57-47, ,,2,57,47,10,1440.0
0:00.0,End of 2nd quarter,57-47,,,2,57,47,10,1440.0
12:00.0,Start of 3rd quarter,57-47,,,3,57,47,10,1440.0
11:44.0, ,57-47,Turnover by D. Vassell (bad pass; steal by B. Adebayo),,3,57,47,10,1456.0
11:40.0,B. Adebayo misses 2-pt layup from 1 ft,57-47, ,,3,57,47,10,1460.0
11:38.0, ,57-47,Defensive rebound by D. Vassell,,3,57,47,10,1462.0
11:34.0, ,57-47,D. White misses 3-pt jump shot from 25 ft,,3,57,47,10,1466.0
11:30.0,Defensive rebound by B. Adebayo,57-47, ,,3,57,47,10,1470.0
11:22.0,D. Robinson misses 3-pt jump shot from 26 ft,57-47, ,,3,57,47,10,1478.0
11:20.0, ,57-47,Defensive rebound by D. White,,3,57,47,10,1480.0
11:09.0, ,57-49,T. Jones makes 2-pt jump shot from 8 ft (assist by K. Johnson),,3,57,49,8,1491.0
10:45.0,Personal foul by D. Vassell (drawn by K. Lowry),57-49, ,,3,57,49,8,1515.0
10:35.0,P. Tucker makes 3-pt jump shot from 24 ft (assist by D. Robinson),60-49, ,,3,60,49,11,1525.0
10:15.0, ,60-51,D. Vassell makes 2-pt jump shot from 20 ft (assist by K. Johnson),,3,60,51,9,1545.0
9:53.0,B. Adebayo misses 2-pt layup from 1 ft,60-51, ,,3,60,51,9,1567.0
9:51.0, ,60-51,Defensive rebound by T. Young,,3,60,51,9,1569.0
9:49.0, ,60-53,T. Jones makes 2-pt layup from 2 ft (assist by D. White),,3,60,53,7,1571.0
9:49.0, ,60-53,Shooting foul by D. Robinson (drawn by T. Jones),,3,60,53,7,1571.0
9:49.0, ,60-54,T. Jones makes free throw 1 of 1,,3,60,54,6,1571.0
9:37.0,Personal foul by T. Jones (drawn by J. Butler),60-54, ,,3,60,54,6,1583.0
9:33.0,J. Butler misses 3-pt jump shot from 24 ft,60-54, ,,3,60,54,6,1587.0
9:27.0, ,60-54,Defensive rebound by K. Johnson,,3,60,54,6,1593.0
9:20.0, ,60-54,K. Johnson misses 3-pt jump shot from 25 ft,,3,60,54,6,1600.0
9:18.0,Defensive rebound by K. Lowry,60-54, ,,3,60,54,6,1602.0
9:13.0,Personal foul by D. Vassell (drawn by B. Adebayo),60-54, ,,3,60,54,6,1607.0
8:54.0,J. Butler misses 2-pt jump shot from 23 ft,60-54, ,,3,60,54,6,1626.0
8:51.0, ,60-54,Defensive rebound by D. Vassell,,3,60,54,6,1629.0
8:40.0, ,60-54,Turnover by D. White (bad pass),,3,60,54,6,1640.0
8:20.0,B. Adebayo makes 2-pt jump shot from 12 ft,62-54, ,,3,62,54,8,1660.0
8:05.0, ,62-54,D. Vassell misses 3-pt jump shot from 26 ft,,3,62,54,8,1675.0
8:00.0,Defensive rebound by B. Adebayo,62-54, ,,3,62,54,8,1680.0
7:54.0,J. Butler makes 2-pt layup from 4 ft (assist by K. Lowry),64-54, ,,3,64,54,10,1686.0
7:54.0, ,64-54,San Antonio full timeout,,3,64,54,10,1686.0
7:33.0, ,64-54,Turnover by T. Young (bad pass),,3,64,54,10,1707.0
7:20.0,Personal foul by K. Johnson (drawn by J. Butler),64-54, ,,3,64,54,10,1720.0
7:17.0,Personal foul by T. Jones (drawn by K. Lowry),64-54, ,,3,64,54,10,1723.0
7:17.0,K. Lowry makes free throw 1 of 2,65-54, ,,3,65,54,11,1723.0
7:17.0,K. Lowry makes free throw 2 of 2,66-54, ,,3,66,54,12,1723.0
7:05.0, ,66-54,Personal foul by B. Adebayo (drawn by T. Young),,3,66,54,12,1735.0
7:04.0, ,66-54,Personal foul by J. Butler (drawn by D. White),,3,66,54,12,1736.0
6:54.0, ,66-54,K. Johnson misses 3-pt jump shot from 25 ft,,3,66,54,12,1746.0
6:51.0,Defensive rebound by J. Butler,66-54, ,,3,66,54,12,1749.0
6:41.0,J. Butler makes 2-pt layup from 1 ft (assist by D. Robinson),68-54, ,,3,68,54,14,1759.0
6:26.0, ,68-57,D. White makes 3-pt jump shot from 27 ft (assist by K. Johnson),,3,68,57,11,1774.0
6:16.0,Shooting foul by K. Johnson (drawn by J. Butler),68-57, ,,3,68,57,11,1784.0
6:16.0,J. Butler makes free throw 1 of 2,69-57, ,,3,69,57,12,1784.0
6:16.0, ,69-57,D. Eubanks enters the game for D. White,,3,69,57,12,1784.0
6:16.0, ,69-57,J. Primo enters the game for T. Young,,3,69,57,12,1784.0
6:16.0,J. Butler makes free throw 2 of 2,70-57, ,,3,70,57,13,1784.0
6:01.0, ,70-57,K. Johnson misses 2-pt jump shot from 9 ft,,3,70,57,13,1799.0
5:59.0,Defensive rebound by B. Adebayo,70-57, ,,3,70,57,13,1801.0
5:42.0,P. Tucker makes 3-pt jump shot from 22 ft (assist by K. Lowry),73-57, ,,3,73,57,16,1818.0
5:26.0, ,73-57,K. Johnson misses 3-pt jump shot from 22 ft,,3,73,57,16,1834.0
5:23.0,Defensive rebound by P. Tucker,73-57, ,,3,73,57,16,1837.0
5:17.0,Turnover by K. Lowry (bad pass; steal by D. Vassell),73-57, ,,3,73,57,16,1843.0
5:10.0, ,73-57,T. Jones misses 2-pt layup at rim,,3,73,57,16,1850.0
5:08.0,Defensive rebound by B. Adebayo,73-57, ,,3,73,57,16,1852.0
5:01.0,J. Butler makes 2-pt layup from 1 ft (assist by B. Adebayo),75-57, ,,3,75,57,18,1859.0
4:51.0, ,75-59,K. Johnson makes 2-pt layup from 1 ft (assist by T. Jones),,3,75,59,16,1869.0
4:51.0, ,75-59,Shooting foul by P. Tucker (drawn by K. Johnson),,3,75,59,16,1869.0
4:51.0,T. Herro enters the game for K. Lowry,75-59, ,,3,75,59,16,1869.0
4:51.0, ,75-59,L. Walker enters the game for D. Vassell,,3,75,59,16,1869.0
4:51.0, ,75-59,K. Johnson misses free throw 1 of 1,,3,75,59,16,1869.0
4:48.0,Defensive rebound by P. Tucker,75-59, ,,3,75,59,16,1872.0
4:35.0,Shooting foul by J. Primo (drawn by D. Robinson),75-59, ,,3,75,59,16,1885.0
4:35.0,D. Robinson makes free throw 1 of 3,76-59, ,,3,76,59,17,1885.0
4:35.0,D. Robinson makes free throw 2 of 3,77-59, ,,3,77,59,18,1885.0
4:35.0,D. Dedmon enters the game for B. Adebayo,77-59, ,,3,77,59,18,1885.0
4:35.0,D. Robinson makes free throw 3 of 3,78-59, ,,3,78,59,19,1885.0
4:19.0, ,78-59,Shooting foul by D. Dedmon (drawn by D. Eubanks),,3,78,59,19,1901.0
4:19.0, ,78-59,D. Eubanks misses free throw 1 of 2,,3,78,59,19,1901.0
4:19.0, ,78-59,Offensive rebound by Team,,3,78,59,19,1901.0
