Time,Cleveland,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
10:20.0,Defensive rebound by E. Mobley,63-58, ,,3,58,63,-5,1540.0
10:12.0, ,63-58,Violation by Team (kicked ball),,3,58,63,-5,1548.0
10:06.0,D. Garland misses 3-pt jump shot from 29 ft,63-58, ,,3,58,63,-5,1554.0
10:02.0, ,63-58,Defensive rebound by B. Adebayo,,3,58,63,-5,1558.0
9:47.0, ,63-60,J. Butler makes 2-pt jump shot from 6 ft,,3,60,63,-3,1573.0
9:32.0,D. Wade misses 3-pt jump shot from 27 ft,63-60, ,,3,60,63,-3,1588.0
9:29.0, ,63-60,Defensive rebound by B. Adebayo,,3,60,63,-3,1591.0
9:24.0, ,63-60,K. Lowry misses 3-pt jump shot from 26 ft,,3,60,63,-3,1596.0
9:24.0,Defensive rebound by E. Mobley,63-60, ,,3,60,63,-3,1596.0
9:14.0,L. Markkanen misses 3-pt jump shot from 28 ft,63-60, ,,3,60,63,-3,1606.0
9:10.0, ,63-60,Defensive rebound by B. Adebayo,,3,60,63,-3,1610.0
8:57.0, ,63-60,B. Adebayo misses 2-pt layup from 2 ft,,3,60,63,-3,1623.0
8:57.0,Defensive rebound by L. Markkanen,63-60, ,,3,60,63,-3,1623.0
8:56.0,Personal foul by K. Lowry (drawn by L. Markkanen),63-60, ,,3,60,63,-3,1624.0
8:40.0,D. Wade misses 2-pt jump shot from 11 ft,63-60, ,,3,60,63,-3,1640.0
8:36.0, ,63-60,Defensive rebound by K. Lowry,,3,60,63,-3,1644.0
8:24.0, ,63-60,J. Butler misses 2-pt jump shot from 9 ft,,3,60,63,-3,1656.0
8:19.0,Defensive rebound by E. Mobley,63-60, ,,3,60,63,-3,1661.0
8:13.0,L. Markkanen misses 3-pt jump shot from 26 ft,63-60, ,,3,60,63,-3,1667.0
8:09.0, ,63-60,Defensive rebound by B. Adebayo,,3,60,63,-3,1671.0
7:54.0, ,63-62,J. Butler makes 2-pt jump shot from 10 ft (assist by K. Lowry),,3,62,63,-1,1686.0
7:32.0,Turnover by D. Garland (bad pass; steal by B. Adebayo),63-62, ,,3,62,63,-1,1708.0
7:21.0, ,63-64,B. Adebayo makes 2-pt dunk at rim (assist by J. Butler),Lead change,3,64,63,1,1719.0
7:21.0,Cleveland full timeout,63-64, ,,3,64,63,1,1719.0
7:07.0,Personal foul by B. Adebayo (drawn by L. Markkanen),63-64, ,,3,64,63,1,1733.0
6:52.0,Turnover by Team (shot clock),63-64, ,,3,64,63,1,1748.0
6:33.0, ,63-66,B. Adebayo makes 2-pt dunk from 2 ft (assist by J. Butler),,3,66,63,3,1767.0
6:33.0, ,63-66,Shooting foul by E. Mobley (drawn by B. Adebayo),,3,66,63,3,1767.0
6:33.0, ,63-67,B. Adebayo makes free throw 1 of 1,,3,67,63,4,1767.0
6:20.0,Turnover by D. Garland (bad pass; steal by B. Adebayo),63-67, ,,3,67,63,4,1780.0
6:09.0, ,63-67,Personal foul by D. Wade (drawn by K. Lowry),,3,67,63,4,1791.0
6:09.0,C. Osman enters the game for D. Wade,63-67, ,,3,67,63,4,1791.0
5:53.0, ,63-67,J. Butler misses 2-pt layup from 5 ft (block by L. Markkanen),,3,67,63,4,1807.0
5:50.0,Defensive rebound by E. Mobley,63-67, ,,3,67,63,4,1810.0
5:48.0,D. Garland misses 2-pt layup from 3 ft (block by K. Lowry),63-67, ,,3,67,63,4,1812.0
5:45.0, ,63-67,Defensive rebound by B. Adebayo,,3,67,63,4,1815.0
5:37.0, ,63-70,D. Robinson makes 3-pt jump shot from 23 ft (assist by P. Tucker),,3,70,63,7,1823.0
5:15.0,Personal foul by J. Butler (drawn by D. Garland),63-70, ,,3,70,63,7,1845.0
5:15.0, ,63-70,T. Herro enters the game for K. Lowry,,3,70,63,7,1845.0
5:02.0,D. Garland misses 2-pt jump shot from 15 ft,63-70, ,,3,70,63,7,1858.0
4:58.0, ,63-70,Defensive rebound by T. Herro,,3,70,63,7,1862.0
