Time,LA Lakers,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
8:37.0,Turnover by R. Westbrook (bad pass; steal by D. Robinson),56-71, ,,3,71,56,15,1643.0
8:31.0, ,56-73,J. Butler makes 2-pt jump shot from 11 ft,,3,73,56,17,1649.0
8:11.0,L. James misses 3-pt jump shot from 27 ft,56-73, ,,3,73,56,17,1669.0
8:07.0, ,56-73,Defensive rebound by B. Adebayo,,3,73,56,17,1673.0
7:49.0, ,56-73,P. Tucker misses 3-pt jump shot from 24 ft,,3,73,56,17,1691.0
7:45.0,Defensive rebound by D. Howard,56-73, ,,3,73,56,17,1695.0
7:42.0,A. Bradley misses 3-pt jump shot from 27 ft,56-73, ,,3,73,56,17,1698.0
7:42.0, ,56-73,Defensive rebound by P. Tucker,,3,73,56,17,1698.0
7:31.0, ,56-76,J. Butler makes 3-pt jump shot from 23 ft (assist by P. Tucker),,3,76,56,20,1709.0
7:06.0,Turnover by T. Ariza (bad pass; steal by B. Adebayo),56-76, ,,3,76,56,20,1734.0
7:04.0, ,56-76,Personal take foul by R. Westbrook (drawn by B. Adebayo),,3,76,56,20,1736.0
7:04.0,S. Johnson enters the game for T. Ariza,56-76, ,,3,76,56,20,1736.0
7:04.0,M. Monk enters the game for D. Howard,56-76, ,,3,76,56,20,1736.0
7:03.0, ,56-76,Turnover by D. Robinson (bad pass),,3,76,56,20,1737.0
6:52.0,L. James misses 3-pt jump shot from 26 ft,56-76, ,,3,76,56,20,1748.0
6:51.0, ,56-76,Defensive rebound by P. Tucker,,3,76,56,20,1749.0
6:49.0, ,56-76,Personal foul by R. Westbrook (drawn by P. Tucker),,3,76,56,20,1751.0
6:49.0, ,56-76,Miami full timeout,,3,76,56,20,1751.0
6:36.0, ,56-78,J. Butler makes 2-pt jump shot from 17 ft,,3,78,56,22,1764.0
6:12.0,A. Bradley makes 3-pt jump shot from 23 ft (assist by R. Westbrook),59-78, ,,3,78,59,19,1788.0
5:49.0, ,59-78,G. Vincent misses 3-pt jump shot from 30 ft,,3,78,59,19,1811.0
5:45.0,Defensive rebound by M. Monk,59-78, ,,3,78,59,19,1815.0
5:37.0,Turnover by A. Bradley (lost ball; steal by G. Vincent),59-78, ,,3,78,59,19,1823.0
5:28.0, ,59-78,Shooting foul by R. Westbrook (drawn by B. Adebayo),,3,78,59,19,1832.0
5:28.0,Technical foul by R. Westbrook,59-78, ,,3,78,59,19,1832.0
5:28.0, ,59-79,J. Butler makes technical free throw,,3,79,59,20,1832.0
5:28.0, ,59-80,B. Adebayo makes free throw 1 of 2,,3,80,59,21,1832.0
5:28.0, ,59-81,B. Adebayo makes free throw 2 of 2,,3,81,59,22,1832.0
5:28.0,C. Anthony enters the game for L. James,59-81, ,,3,81,59,22,1832.0
5:28.0, ,59-81,M. Strus enters the game for G. Vincent,,3,81,59,22,1832.0
5:19.0,R. Westbrook misses 2-pt layup from 3 ft (block by J. Butler),59-81, ,,3,81,59,22,1841.0
5:19.0,Offensive rebound by Team,59-81, ,,3,81,59,22,1841.0
5:19.0, ,59-81,D. Dedmon enters the game for B. Adebayo,,3,81,59,22,1841.0
5:10.0,R. Westbrook makes 2-pt jump shot from 6 ft,61-81, ,,3,81,61,20,1850.0
