Time,Miami,Score,Brooklyn,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
4:15.0,D. Dedmon makes 2-pt layup from 1 ft,45-40, ,,2,45,40,5,1185.0
4:05.0, ,45-40,P. Mills misses 3-pt jump shot from 26 ft,,2,45,40,5,1195.0
4:03.0, ,45-40,Offensive rebound by P. Mills,,2,45,40,5,1197.0
3:58.0, ,45-42,K. Durant makes 2-pt dunk from 1 ft (assist by P. Mills),,2,45,42,3,1202.0
3:39.0,D. Dedmon misses 2-pt jump shot from 16 ft,45-42, ,,2,45,42,3,1221.0
3:38.0, ,45-42,Defensive rebound by K. Durant,,2,45,42,3,1222.0
3:38.0, ,45-42,Personal foul by P. Tucker (drawn by K. Durant),,2,45,42,3,1222.0
3:27.0, ,45-42,P. Mills misses 3-pt jump shot from 26 ft,,2,45,42,3,1233.0
3:24.0,Defensive rebound by J. Butler,45-42, ,,2,45,42,3,1236.0
3:04.0,T. Herro makes 2-pt jump shot from 12 ft,47-42, ,,2,47,42,5,1256.0
2:47.0, ,47-42,Shooting foul by P. Tucker (drawn by K. Durant),,2,47,42,5,1273.0
2:47.0,Miami full timeout,47-42, ,,2,47,42,5,1273.0
2:47.0,B. Adebayo enters the game for D. Dedmon,47-42, ,,2,47,42,5,1273.0
2:47.0,K. Lowry enters the game for P. Tucker,47-42, ,,2,47,42,5,1273.0
2:47.0, ,47-43,K. Durant makes free throw 1 of 2,,2,47,43,4,1273.0
2:47.0, ,47-43,K. Durant misses free throw 2 of 2,,2,47,43,4,1273.0
2:44.0,Defensive rebound by T. Herro,47-43, ,,2,47,43,4,1276.0
2:33.0,B. Adebayo misses 2-pt dunk from 1 ft,47-43, ,,2,47,43,4,1287.0
2:31.0, ,47-43,Defensive rebound by B. Griffin,,2,47,43,4,1289.0
2:27.0, ,47-45,K. Durant makes 2-pt jump shot from 1 ft,,2,47,45,2,1293.0
2:22.0,Technical foul by P. Tucker,47-45, ,,2,47,45,2,1298.0
2:22.0, ,47-46,K. Durant makes technical free throw,,2,47,46,1,1298.0
2:14.0,D. Robinson misses 3-pt jump shot from 26 ft,47-46, ,,2,47,46,1,1306.0
2:10.0, ,47-46,Defensive rebound by J. Harden,,2,47,46,1,1310.0
2:04.0, ,47-46,B. Brown misses 2-pt layup from 1 ft (block by D. Robinson),,2,47,46,1,1316.0
2:02.0,Defensive rebound by D. Robinson,47-46, ,,2,47,46,1,1318.0
1:59.0,K. Lowry misses 3-pt jump shot from 25 ft,47-46, ,,2,47,46,1,1321.0
1:59.0, ,47-46,Defensive rebound by B. Griffin,,2,47,46,1,1321.0
1:53.0, ,47-46,Personal foul by D. Robinson (drawn by P. Mills),,2,47,46,1,1327.0
1:53.0, ,47-47,P. Mills makes free throw 1 of 2,Tie,2,47,47,0,1327.0
1:53.0,M. Morris enters the game for D. Robinson,47-47, ,,2,47,47,0,1327.0
1:53.0, ,47-48,P. Mills makes free throw 2 of 2,Lead change,2,47,48,-1,1327.0
1:39.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by J. Butler),49-48, ,Lead change,2,49,48,1,1341.0
1:12.0, ,49-48,B. Griffin misses 2-pt layup from 1 ft,,2,49,48,1,1368.0
1:12.0,Defensive rebound by Team,49-48, ,,2,49,48,1,1368.0
1:12.0, ,49-48,Loose ball foul by B. Griffin (drawn by K. Lowry),,2,49,48,1,1368.0
