Time,Golden State,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
11:37.0, ,56-58,K. Lowry misses 3-pt jump shot from 26 ft,,3,58,56,2,1463.0
11:35.0,Defensive rebound by D. Green,56-58, ,,3,58,56,2,1465.0
11:22.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),59-58, ,Lead change,3,58,59,-1,1478.0
11:07.0, ,59-60,M. Strus makes 2-pt layup from 3 ft (assist by B. Adebayo),Lead change,3,60,59,1,1493.0
11:07.0, ,59-60,Shooting foul by A. Wiggins (drawn by M. Strus),,3,60,59,1,1493.0
11:07.0, ,59-61,M. Strus makes free throw 1 of 1,,3,61,59,2,1493.0
10:54.0,S. Curry makes 2-pt jump shot from 11 ft,61-61, ,Tie,3,61,61,0,1506.0
10:39.0, ,61-61,J. Butler misses 2-pt jump shot from 10 ft,,3,61,61,0,1521.0
10:39.0,Defensive rebound by Team,61-61, ,,3,61,61,0,1521.0
10:39.0, ,61-61,Loose ball foul by B. Adebayo (drawn by D. Green),,3,61,61,0,1521.0
10:30.0,S. Curry misses 3-pt jump shot from 28 ft,61-61, ,,3,61,61,0,1530.0
10:27.0, ,61-61,Defensive rebound by J. Butler,,3,61,61,0,1533.0
10:11.0, ,61-61,C. Martin misses 3-pt jump shot from 24 ft,,3,61,61,0,1549.0
10:09.0,Defensive rebound by S. Curry,61-61, ,,3,61,61,0,1551.0
10:03.0,K. Thompson misses 2-pt jump shot from 14 ft,61-61, ,,3,61,61,0,1557.0
10:00.0, ,61-61,Defensive rebound by K. Lowry,,3,61,61,0,1560.0
9:56.0, ,61-61,Turnover by C. Martin (discontinued dribble),,3,61,61,0,1564.0
9:41.0,A. Wiggins makes 2-pt hook shot from 7 ft (assist by K. Thompson),63-61, ,Lead change,3,61,63,-2,1579.0
9:24.0, ,63-61,B. Adebayo misses 2-pt jump shot from 5 ft,,3,61,63,-2,1596.0
9:21.0,Defensive rebound by S. Curry,63-61, ,,3,61,63,-2,1599.0
9:16.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by S. Curry),66-61, ,,3,61,66,-5,1604.0
9:16.0,Shooting foul by K. Lowry (drawn by K. Thompson),66-61, ,,3,61,66,-5,1604.0
9:16.0,K. Thompson makes free throw 1 of 1,67-61, ,,3,61,67,-6,1604.0
8:59.0, ,67-64,K. Lowry makes 3-pt jump shot from 23 ft (assist by J. Butler),,3,64,67,-3,1621.0
8:59.0, ,67-64,Away from play foul by K. Looney (drawn by B. Adebayo),,3,64,67,-3,1621.0
8:59.0, ,67-64,Instant Replay (Request: Ruling Stands),,3,64,67,-3,1621.0
8:59.0, ,67-65,B. Adebayo makes free throw 1 of 1,,3,65,67,-2,1621.0
8:42.0,K. Looney makes 2-pt dunk from 2 ft (assist by D. Green),69-65, ,,3,65,69,-4,1638.0
8:19.0, ,69-65,Turnover by M. Strus (bad pass; steal by D. Green),,3,65,69,-4,1661.0
8:14.0,Turnover by K. Thompson (bad pass; steal by M. Strus),69-65, ,,3,65,69,-4,1666.0
8:09.0, ,69-65,Turnover by B. Adebayo (traveling),,3,65,69,-4,1671.0
7:59.0,K. Thompson makes 2-pt jump shot from 22 ft (assist by S. Curry),71-65, ,,3,65,71,-6,1681.0
7:43.0, ,71-67,B. Adebayo makes 2-pt layup from 1 ft (assist by M. Strus),,3,67,71,-4,1697.0
7:32.0,Shooting foul by B. Adebayo (drawn by S. Curry),71-67, ,,3,67,71,-4,1708.0
