Time,Miami,Score,LA Clippers,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
8:08.0, ,71-56,Defensive rebound by T. Mann,,3,71,56,15,1672.0
8:02.0, ,71-59,M. Morris makes 3-pt jump shot from 26 ft (assist by P. George),,3,71,59,12,1678.0
7:45.0,Turnover by B. Adebayo (lost ball; steal by R. Jackson),71-59, ,,3,71,59,12,1695.0
7:40.0, ,71-59,Personal foul by C. Martin (drawn by M. Morris),,3,71,59,12,1700.0
7:40.0, ,71-60,M. Morris makes free throw 1 of 2,,3,71,60,11,1700.0
7:40.0, ,71-61,M. Morris makes free throw 2 of 2,,3,71,61,10,1700.0
7:26.0,J. Butler misses 2-pt jump shot from 8 ft,71-61, ,,3,71,61,10,1714.0
7:23.0, ,71-61,Defensive rebound by T. Mann,,3,71,61,10,1717.0
7:16.0, ,71-61,R. Jackson misses 2-pt jump shot from 5 ft (block by B. Adebayo),,3,71,61,10,1724.0
7:13.0,Defensive rebound by C. Martin,71-61, ,,3,71,61,10,1727.0
7:13.0,Shooting foul by T. Mann (drawn by J. Butler),71-61, ,,3,71,61,10,1727.0
7:13.0,J. Butler makes free throw 1 of 2,72-61, ,,3,72,61,11,1727.0
7:13.0,J. Butler makes free throw 2 of 2,73-61, ,,3,73,61,12,1727.0
6:58.0, ,73-61,Turnover by P. George (lost ball; steal by K. Lowry),,3,73,61,12,1742.0
6:55.0,Turnover by K. Lowry (lost ball; steal by P. George),73-61, ,,3,73,61,12,1745.0
6:43.0, ,73-63,R. Jackson makes 2-pt jump shot from 21 ft,,3,73,63,10,1757.0
6:16.0,B. Adebayo makes 2-pt jump shot from 17 ft,75-63, ,,3,75,63,12,1784.0
5:46.0, ,75-65,T. Mann makes 2-pt jump shot from 4 ft (assist by R. Jackson),,3,75,65,10,1814.0
5:46.0, ,75-65,Violation by Team (delay of game),,3,75,65,10,1814.0
5:30.0,Offensive foul by B. Adebayo (drawn by T. Mann),75-65, ,,3,75,65,10,1830.0
5:30.0,Turnover by B. Adebayo (offensive foul),75-65, ,,3,75,65,10,1830.0
5:30.0, ,75-65,LA Clippers full timeout,,3,75,65,10,1830.0
5:30.0,V. Oladipo enters the game for B. Adebayo,75-65, ,,3,75,65,10,1830.0
5:30.0,O. Robinson enters the game for T. Herro,75-65, ,,3,75,65,10,1830.0
5:16.0, ,75-68,P. George makes 3-pt jump shot from 26 ft (assist by R. Jackson),,3,75,68,7,1844.0
4:56.0,J. Butler misses 2-pt layup from 4 ft,75-68, ,,3,75,68,7,1864.0
4:55.0, ,75-68,Defensive rebound by T. Mann,,3,75,68,7,1865.0
4:49.0, ,75-71,M. Morris makes 3-pt jump shot from 26 ft (assist by P. George),,3,75,71,4,1871.0
4:27.0,V. Oladipo misses 2-pt jump shot from 10 ft,75-71, ,,3,75,71,4,1893.0
4:25.0, ,75-71,Defensive rebound by I. Zubac,,3,75,71,4,1895.0
4:13.0, ,75-74,P. George makes 3-pt jump shot from 26 ft,,3,75,74,1,1907.0
4:12.0,Miami full timeout,75-74, ,,3,75,74,1,1908.0
4:12.0,B. Adebayo enters the game for K. Lowry,75-74, ,,3,75,74,1,1908.0
