Time,Miami,Score,Minnesota,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
8:39.0,Offensive rebound by B. Adebayo,67-53, ,,3,67,53,14,1641.0
8:29.0,B. Adebayo misses 2-pt layup from 2 ft (block by R. Gobert),67-53, ,,3,67,53,14,1651.0
8:28.0,Offensive rebound by B. Adebayo,67-53, ,,3,67,53,14,1652.0
8:28.0,Personal foul by K. Towns (drawn by B. Adebayo),67-53, ,,3,67,53,14,1652.0
8:20.0,K. Lowry misses 2-pt jump shot from 10 ft,67-53, ,,3,67,53,14,1660.0
8:18.0, ,67-53,Defensive rebound by K. Towns,,3,67,53,14,1662.0
8:15.0, ,67-53,K. Towns misses 3-pt jump shot from 24 ft,,3,67,53,14,1665.0
8:12.0, ,67-53,Offensive rebound by A. Edwards,,3,67,53,14,1668.0
8:10.0, ,67-55,A. Edwards makes 2-pt layup from 1 ft,,3,67,55,12,1670.0
7:56.0,Turnover by C. Martin (traveling),67-55, ,,3,67,55,12,1684.0
7:40.0, ,67-58,J. McDaniels makes 3-pt jump shot from 25 ft (assist by K. Towns),,3,67,58,9,1700.0
7:25.0,K. Lowry misses 3-pt jump shot from 25 ft,67-58, ,,3,67,58,9,1715.0
7:23.0, ,67-58,Defensive rebound by R. Gobert,,3,67,58,9,1717.0
7:15.0, ,67-61,A. Edwards makes 3-pt jump shot from 25 ft,,3,67,61,6,1725.0
7:14.0,Miami full timeout,67-61, ,,3,67,61,6,1726.0
6:49.0,N. Jović misses 2-pt jump shot from 22 ft,67-61, ,,3,67,61,6,1751.0
6:45.0,Offensive rebound by C. Martin,67-61, ,,3,67,61,6,1755.0
6:36.0,B. Adebayo makes 2-pt layup from 3 ft (assist by K. Lowry),69-61, ,,3,69,61,8,1764.0
6:24.0, ,69-63,J. McDaniels makes 2-pt jump shot from 13 ft (assist by A. Edwards),,3,69,63,6,1776.0
6:14.0,M. Strus misses 3-pt jump shot from 25 ft,69-63, ,,3,69,63,6,1786.0
6:11.0, ,69-63,Defensive rebound by R. Gobert,,3,69,63,6,1789.0
6:05.0, ,69-63,Turnover by A. Edwards (bad pass),,3,69,63,6,1795.0
5:57.0,C. Martin misses 3-pt jump shot from 25 ft,69-63, ,,3,69,63,6,1803.0
5:54.0, ,69-63,Defensive rebound by R. Gobert,,3,69,63,6,1806.0
5:47.0, ,69-63,Shooting foul by M. Strus (drawn by K. Towns),,3,69,63,6,1813.0
