Time,Miami,Score,Dallas,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
11:10.0,Defensive rebound by C. Martin,54-60, ,,3,54,60,-6,1490.0
11:05.0,T. Herro misses 3-pt jump shot from 24 ft,54-60, ,,3,54,60,-6,1495.0
11:02.0, ,54-60,Defensive rebound by L. Dončić,,3,54,60,-6,1498.0
10:55.0, ,54-60,S. Dinwiddie misses 3-pt jump shot from 25 ft,,3,54,60,-6,1505.0
10:52.0,Defensive rebound by C. Martin,54-60, ,,3,54,60,-6,1508.0
10:42.0,Turnover by T. Herro (traveling),54-60, ,,3,54,60,-6,1518.0
10:42.0,Violation by Team (delay of game),54-60, ,,3,54,60,-6,1518.0
10:23.0, ,54-63,S. Dinwiddie makes 3-pt jump shot from 23 ft (assist by T. Hardaway),,3,54,63,-9,1537.0
10:07.0,C. Martin misses 2-pt jump shot from 14 ft,54-63, ,,3,54,63,-9,1553.0
10:04.0, ,54-63,Defensive rebound by L. Dončić,,3,54,63,-9,1556.0
9:53.0, ,54-65,L. Dončić makes 2-pt jump shot from 9 ft,,3,54,65,-11,1567.0
9:33.0,C. Martin misses 3-pt jump shot from 25 ft,54-65, ,,3,54,65,-11,1587.0
9:30.0,Offensive rebound by J. Butler,54-65, ,,3,54,65,-11,1590.0
9:30.0,J. Butler makes 2-pt layup at rim,56-65, ,,3,56,65,-9,1590.0
9:14.0, ,56-65,Offensive foul by D. Powell (drawn by B. Adebayo),,3,56,65,-9,1606.0
9:14.0, ,56-65,Turnover by D. Powell (offensive foul),,3,56,65,-9,1606.0
8:54.0,B. Adebayo misses 2-pt jump shot from 12 ft,56-65, ,,3,56,65,-9,1626.0
8:51.0, ,56-65,Defensive rebound by L. Dončić,,3,56,65,-9,1629.0
8:40.0, ,56-65,L. Dončić misses 2-pt jump shot from 17 ft,,3,56,65,-9,1640.0
8:38.0, ,56-65,Offensive rebound by L. Dončić,,3,56,65,-9,1642.0
8:38.0, ,56-65,Personal foul by T. Herro (drawn by L. Dončić),,3,56,65,-9,1642.0
8:38.0,Technical foul by T. Herro,56-65, ,,3,56,65,-9,1642.0
8:38.0, ,56-66,L. Dončić makes technical free throw,,3,56,66,-10,1642.0
8:33.0, ,56-66,L. Dončić misses 3-pt jump shot from 26 ft,,3,56,66,-10,1647.0
8:31.0,Defensive rebound by C. Martin,56-66, ,,3,56,66,-10,1649.0
8:28.0,Shooting foul by D. Finney-Smith (drawn by K. Lowry),56-66, ,,3,56,66,-10,1652.0
8:28.0,K. Lowry misses free throw 1 of 2,56-66, ,,3,56,66,-10,1652.0
8:28.0,Offensive rebound by Team,56-66, ,,3,56,66,-10,1652.0
8:28.0,K. Lowry makes free throw 2 of 2,57-66, ,,3,57,66,-9,1652.0
8:13.0,Violation by Team (kicked ball),57-66, ,,3,57,66,-9,1667.0
8:00.0, ,57-66,Shooting foul by T. Herro (drawn by T. Hardaway),,3,57,66,-9,1680.0
8:00.0, ,57-67,T. Hardaway makes free throw 1 of 3,,3,57,67,-10,1680.0
8:00.0, ,57-68,T. Hardaway makes free throw 2 of 3,,3,57,68,-11,1680.0
8:00.0, ,57-69,T. Hardaway makes free throw 3 of 3,,3,57,69,-12,1680.0
7:50.0,Turnover by T. Herro (lost ball; steal by D. Powell),57-69, ,,3,57,69,-12,1690.0
7:32.0, ,57-69,S. Dinwiddie misses 3-pt jump shot from 25 ft,,3,57,69,-12,1708.0
7:28.0, ,57-69,Offensive rebound by T. Hardaway,,3,57,69,-12,1712.0
7:26.0, ,57-72,D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by T. Hardaway),,3,57,72,-15,1714.0
7:26.0,Miami full timeout,57-72, ,,3,57,72,-15,1714.0
7:26.0, ,57-72,R. Bullock enters the game for D. Finney-Smith,,3,57,72,-15,1714.0
7:09.0,C. Martin misses 3-pt jump shot from 26 ft,57-72, ,,3,57,72,-15,1731.0
7:07.0, ,57-72,Defensive rebound by D. Powell,,3,57,72,-15,1733.0
6:52.0, ,57-74,L. Dončić makes 2-pt jump shot from 13 ft,,3,57,74,-17,1748.0
6:52.0, ,57-74,Shooting foul by T. Herro (drawn by L. Dončić),,3,57,74,-17,1748.0
6:52.0, ,57-75,L. Dončić makes free throw 1 of 1,,3,57,75,-18,1748.0
6:52.0,V. Oladipo enters the game for C. Martin,57-75, ,,3,57,75,-18,1748.0
6:35.0,J. Butler makes 2-pt layup from 1 ft (assist by K. Lowry),59-75, ,,3,59,75,-16,1765.0
6:20.0, ,59-75,T. Hardaway misses 2-pt jump shot from 12 ft,,3,59,75,-16,1780.0
6:18.0, ,59-75,Offensive rebound by T. Hardaway,,3,59,75,-16,1782.0
6:17.0, ,59-75,T. Hardaway misses 2-pt layup at rim,,3,59,75,-16,1783.0
6:15.0,Defensive rebound by B. Adebayo,59-75, ,,3,59,75,-16,1785.0
6:03.0,V. Oladipo misses 2-pt jump shot from 19 ft,59-75, ,,3,59,75,-16,1797.0
5:57.0, ,59-75,Defensive rebound by S. Dinwiddie,,3,59,75,-16,1803.0
5:48.0, ,59-75,Turnover by L. Dončić (lost ball; steal by J. Butler),,3,59,75,-16,1812.0
5:43.0,V. Oladipo makes 2-pt layup from 3 ft,61-75, ,,3,61,75,-14,1817.0
5:29.0, ,61-75,Personal foul by V. Oladipo (drawn by L. Dončić),,3,61,75,-14,1831.0
5:27.0, ,61-78,S. Dinwiddie makes 3-pt jump shot from 25 ft (assist by L. Dončić),,3,61,78,-17,1833.0
5:02.0,T. Herro misses 2-pt jump shot from 14 ft,61-78, ,,3,61,78,-17,1858.0
4:59.0, ,61-78,Defensive rebound by D. Powell,,3,61,78,-17,1861.0
4:45.0, ,61-78,T. Hardaway misses 3-pt jump shot from 23 ft,,3,61,78,-17,1875.0
4:42.0,Defensive rebound by B. Adebayo,61-78, ,,3,61,78,-17,1878.0
4:39.0,Shooting foul by R. Bullock (drawn by B. Adebayo),61-78, ,,3,61,78,-17,1881.0
4:39.0,B. Adebayo misses free throw 1 of 2,61-78, ,,3,61,78,-17,1881.0
4:39.0,Offensive rebound by Team,61-78, ,,3,61,78,-17,1881.0
4:39.0,C. Martin enters the game for T. Herro,61-78, ,,3,61,78,-17,1881.0
4:39.0, ,61-78,J. Green enters the game for S. Dinwiddie,,3,61,78,-17,1881.0
4:39.0,B. Adebayo misses free throw 2 of 2,61-78, ,,3,61,78,-17,1881.0
4:37.0, ,61-78,Defensive rebound by L. Dončić,,3,61,78,-17,1883.0
4:16.0, ,61-78,L. Dončić misses 2-pt jump shot from 17 ft,,3,61,78,-17,1904.0
4:13.0,Defensive rebound by K. Lowry,61-78, ,,3,61,78,-17,1907.0
4:02.0,C. Martin misses 2-pt jump shot from 6 ft,61-78, ,,3,61,78,-17,1918.0
