Time,Miami,Score,New York,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
11:02.0, ,25-29,O. Toppin misses 3-pt jump shot from 26 ft,,2,25,29,-4,778.0
10:57.0,Defensive rebound by B. Adebayo,25-29, ,,2,25,29,-4,783.0
10:52.0,Shooting foul by O. Toppin (drawn by B. Adebayo),25-29, ,,2,25,29,-4,788.0
10:52.0,B. Adebayo makes free throw 1 of 2,26-29, ,,2,26,29,-3,788.0
10:52.0,B. Adebayo makes free throw 2 of 2,27-29, ,,2,27,29,-2,788.0
10:44.0, ,27-29,R. Barrett misses 2-pt layup from 2 ft,,2,27,29,-2,796.0
10:43.0, ,27-29,Offensive rebound by R. Barrett,,2,27,29,-2,797.0
10:43.0, ,27-29,Shooting foul by B. Adebayo (drawn by R. Barrett),,2,27,29,-2,797.0
10:43.0, ,27-29,R. Barrett misses free throw 1 of 2,,2,27,29,-2,797.0
10:43.0, ,27-29,Offensive rebound by Team,,2,27,29,-2,797.0
10:43.0, ,27-30,R. Barrett makes free throw 2 of 2,,2,27,30,-3,797.0
10:33.0,T. Herro misses 3-pt jump shot from 28 ft,27-30, ,,2,27,30,-3,807.0
10:31.0, ,27-30,Defensive rebound by E. Fournier,,2,27,30,-3,809.0
10:14.0, ,27-30,R. Barrett misses 2-pt layup from 2 ft (block by B. Adebayo),,2,27,30,-3,826.0
10:13.0, ,27-30,Offensive rebound by Team,,2,27,30,-3,827.0
10:11.0, ,27-30,E. Fournier misses 3-pt jump shot from 25 ft,,2,27,30,-3,829.0
10:10.0, ,27-30,Offensive rebound by Team,,2,27,30,-3,830.0
10:09.0, ,27-30,Turnover by Team (shot clock),,2,27,30,-3,831.0
9:55.0,B. Adebayo makes 2-pt jump shot from 9 ft,29-30, ,,2,29,30,-1,845.0
9:40.0, ,29-32,R. Barrett makes 2-pt jump shot from 7 ft (assist by M. McBride),,2,29,32,-3,860.0
9:26.0,G. Vincent misses 3-pt jump shot from 23 ft,29-32, ,,2,29,32,-3,874.0
9:24.0,Offensive rebound by H. Highsmith,29-32, ,,2,29,32,-3,876.0
9:21.0,H. Highsmith makes 2-pt layup from 2 ft,31-32, ,,2,31,32,-1,879.0
9:04.0, ,31-32,R. Barrett misses 3-pt jump shot from 25 ft,,2,31,32,-1,896.0
9:02.0,Defensive rebound by Team,31-32, ,,2,31,32,-1,898.0
8:48.0,B. Adebayo makes 2-pt dunk at rim,33-32, ,Lead change,2,33,32,1,912.0
8:48.0,Shooting foul by E. Fournier (drawn by B. Adebayo),33-32, ,,2,33,32,1,912.0
8:48.0, ,33-32,I. Quickley enters the game for M. McBride,,2,33,32,1,912.0
8:48.0,B. Adebayo makes free throw 1 of 1,34-32, ,,2,34,32,2,912.0
8:32.0, ,34-32,R. Barrett misses 2-pt jump shot from 12 ft,,2,34,32,2,928.0
8:30.0, ,34-32,Offensive rebound by R. Barrett,,2,34,32,2,930.0
8:25.0, ,34-35,E. Fournier makes 3-pt jump shot from 27 ft (assist by I. Quickley),Lead change,2,34,35,-1,935.0
8:08.0,Turnover by T. Herro (bad pass; steal by I. Hartenstein),34-35, ,,2,34,35,-1,952.0
7:57.0, ,34-35,Turnover by I. Quickley (out of bounds lost ball),,2,34,35,-1,963.0
7:38.0,M. Strus makes 3-pt jump shot from 25 ft (assist by T. Herro),37-35, ,Lead change,2,37,35,2,982.0
7:15.0, ,37-35,E. Fournier misses 2-pt jump shot from 5 ft,,2,37,35,2,1005.0
7:14.0, ,37-35,Offensive rebound by Team,,2,37,35,2,1006.0
7:14.0, ,37-35,Q. Grimes enters the game for R. Barrett,,2,37,35,2,1006.0
7:12.0, ,37-35,Turnover by I. Hartenstein (lost ball; steal by G. Vincent),,2,37,35,2,1008.0
7:06.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by M. Strus),39-35, ,,2,39,35,4,1014.0
7:02.0, ,39-35,New York full timeout,,2,39,35,4,1018.0
7:02.0, ,39-35,J. Randle enters the game for I. Hartenstein,,2,39,35,4,1018.0
7:02.0, ,39-35,J. Sims enters the game for O. Toppin,,2,39,35,4,1018.0
