Time,Atlanta,Score,Houston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:20.0, ,63-47,Defensive rebound by F. VanVleet,,2,63,47,16,1180.0
4:13.0, ,63-47,F. VanVleet misses 2-pt layup from 4 ft,,2,63,47,16,1187.0
4:12.0, ,63-47,Offensive rebound by J. Smith,,2,63,47,16,1188.0
4:11.0, ,63-49,J. Smith makes 2-pt dunk from 3 ft,,2,63,49,14,1189.0
4:11.0,Atlanta full timeout,63-49, ,,2,63,49,14,1189.0
4:11.0, ,63-49,J. Tate enters the game for D. Brooks,,2,63,49,14,1189.0
3:52.0,S. Bey makes 3-pt jump shot from 23 ft (assist by D. Hunter),66-49, ,,2,66,49,17,1208.0
3:52.0,Flagrant foul type 1 by J. Smith (drawn by S. Bey),66-49, ,,2,66,49,17,1208.0
3:52.0,Instant Replay (Request: Ruling Stands),66-49, ,,2,66,49,17,1208.0
3:52.0,S. Bey makes flagrant free throw 1 of 1,67-49, ,,2,67,49,18,1208.0
3:43.0,D. Hunter misses 2-pt dunk from 3 ft,67-49, ,,2,67,49,18,1217.0
3:41.0, ,67-49,Defensive rebound by F. VanVleet,,2,67,49,18,1219.0
3:37.0, ,67-49,J. Tate misses 2-pt layup from 4 ft,,2,67,49,18,1223.0
3:36.0, ,67-49,Offensive rebound by J. Smith,,2,67,49,18,1224.0
3:36.0, ,67-49,Shooting foul by C. Capela (drawn by J. Smith),,2,67,49,18,1224.0
3:36.0, ,67-50,J. Smith makes free throw 1 of 2,,2,67,50,17,1224.0
3:36.0, ,67-51,J. Smith makes free throw 2 of 2,,2,67,51,16,1224.0
3:14.0,T. Young misses 2-pt jump shot from 21 ft,67-51, ,,2,67,51,16,1246.0
3:13.0,Offensive rebound by C. Capela,67-51, ,,2,67,51,16,1247.0
3:12.0,C. Capela makes 2-pt layup from 2 ft,69-51, ,,2,69,51,18,1248.0
2:55.0, ,69-51,Offensive foul by J. Green (drawn by C. Capela),,2,69,51,18,1265.0
2:55.0, ,69-51,Turnover by J. Green (offensive foul),,2,69,51,18,1265.0
2:55.0, ,69-51,D. Brooks enters the game for J. Green,,2,69,51,18,1265.0
2:42.0,D. Murray makes 2-pt jump shot from 14 ft,71-51, ,,2,71,51,20,1278.0
2:30.0, ,71-54,D. Brooks makes 3-pt jump shot from 26 ft (assist by F. VanVleet),,2,71,54,17,1290.0
2:18.0,Shooting foul by D. Brooks (drawn by C. Capela),71-54, ,,2,71,54,17,1302.0
2:18.0,C. Capela makes free throw 1 of 2,72-54, ,,2,72,54,18,1302.0
2:18.0,C. Capela makes free throw 2 of 2,73-54, ,,2,73,54,19,1302.0
2:04.0, ,73-57,F. VanVleet makes 3-pt jump shot from 25 ft,,2,73,57,16,1316.0
1:40.0,Turnover by S. Bey (traveling),73-57, ,,2,73,57,16,1340.0
1:27.0, ,73-60,D. Brooks makes 3-pt jump shot from 24 ft (assist by F. VanVleet),,2,73,60,13,1353.0
1:07.0,D. Hunter makes 2-pt layup from 4 ft (assist by T. Young),75-60, ,,2,75,60,15,1373.0
0:58.0, ,75-60,Shooting foul by C. Capela (drawn by J. Smith),,2,75,60,15,1382.0
0:58.0, ,75-61,J. Smith makes free throw 1 of 2,,2,75,61,14,1382.0
0:58.0,O. Okongwu enters the game for C. Capela,75-61, ,,2,75,61,14,1382.0
0:58.0, ,75-62,J. Smith makes free throw 2 of 2,,2,75,62,13,1382.0
0:43.0,Shooting foul by J. Tate (drawn by T. Young),75-62, ,,2,75,62,13,1397.0
0:43.0,T. Young makes free throw 1 of 2,76-62, ,,2,76,62,14,1397.0
0:43.0,T. Young makes free throw 2 of 2,77-62, ,,2,77,62,15,1397.0
0:25.0, ,77-62,A. Holiday misses 3-pt jump shot from 26 ft (block by D. Murray),,2,77,62,15,1415.0
0:23.0,Defensive rebound by T. Young,77-62, ,,2,77,62,15,1417.0
0:18.0,Turnover by T. Young (bad pass; steal by D. Brooks),77-62, ,,2,77,62,15,1422.0
0:15.0, ,77-65,F. VanVleet makes 3-pt jump shot from 26 ft (assist by D. Brooks),,2,77,65,12,1425.0
0:00.0,End of 2nd quarter,77-65,,,2,77,65,12,1440.0
12:00.0,Start of 3rd quarter,77-65,,,3,77,65,12,1440.0
11:43.0,C. Capela makes 2-pt dunk from 5 ft (assist by T. Young),79-65, ,,3,79,65,14,1457.0
11:25.0, ,79-65,A. Sengun misses 2-pt jump shot from 6 ft,,3,79,65,14,1475.0
11:24.0,Defensive rebound by C. Capela,79-65, ,,3,79,65,14,1476.0
11:13.0,D. Hunter misses 2-pt jump shot from 11 ft,79-65, ,,3,79,65,14,1487.0
