Time,Atlanta,Score,LA Clippers,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:05.0, ,67-53,K. Leonard misses 3-pt jump shot from 25 ft (block by J. Johnson),,3,67,53,14,1735.0
7:02.0,Defensive rebound by V. Krejci,67-53, ,,3,67,53,14,1738.0
6:43.0,D. Murray makes 3-pt jump shot from 24 ft (assist by V. Krejci),70-53, ,,3,70,53,17,1757.0
6:30.0, ,70-53,T. Mann misses 2-pt jump shot from 19 ft,,3,70,53,17,1770.0
6:27.0,Defensive rebound by J. Johnson,70-53, ,,3,70,53,17,1773.0
6:20.0,D. Murray makes 3-pt jump shot from 25 ft,73-53, ,,3,73,53,20,1780.0
6:05.0, ,73-53,Turnover by K. Leonard (bad pass),,3,73,53,20,1795.0
6:05.0, ,73-53,LA Clippers full timeout,,3,73,53,20,1795.0
6:05.0,D. Hunter enters the game for V. Krejci,73-53, ,,3,73,53,20,1795.0
5:50.0,J. Johnson makes 2-pt jump shot from 7 ft (assist by D. Murray),75-53, ,,3,75,53,22,1810.0
5:28.0, ,75-53,P. George misses 3-pt jump shot from 26 ft,,3,75,53,22,1832.0
5:26.0,Defensive rebound by J. Johnson,75-53, ,,3,75,53,22,1834.0
5:19.0,D. Murray makes 3-pt jump shot from 24 ft (assist by D. Hunter),78-53, ,,3,78,53,25,1841.0
5:03.0, ,78-53,Shooting foul by D. Murray (drawn by I. Zubac),,3,78,53,25,1857.0
5:03.0, ,78-54,I. Zubac makes free throw 1 of 2,,3,78,54,24,1857.0
5:03.0,B. Fernando enters the game for B. Bogdanović,78-54, ,,3,78,54,24,1857.0
5:03.0,G. Mathews enters the game for C. Capela,78-54, ,,3,78,54,24,1857.0
5:03.0, ,78-55,I. Zubac makes free throw 2 of 2,,3,78,55,23,1857.0
4:51.0,Turnover by J. Johnson (traveling),78-55, ,,3,78,55,23,1869.0
4:51.0, ,78-55,A. Coffey enters the game for T. Mann,,3,78,55,23,1869.0
4:51.0, ,78-55,M. Plumlee enters the game for I. Zubac,,3,78,55,23,1869.0
4:40.0, ,78-55,A. Coffey misses 3-pt jump shot from 27 ft,,3,78,55,23,1880.0
4:38.0,Defensive rebound by J. Johnson,78-55, ,,3,78,55,23,1882.0
4:28.0,G. Mathews makes 3-pt jump shot from 24 ft (assist by J. Johnson),81-55, ,,3,81,55,26,1892.0
4:19.0, ,81-55,Shooting foul by J. Johnson (drawn by M. Plumlee),,3,81,55,26,1901.0
4:19.0, ,81-56,M. Plumlee makes free throw 1 of 2,,3,81,56,25,1901.0
4:19.0, ,81-56,B. Hyland enters the game for J. Harden,,3,81,56,25,1901.0
4:19.0, ,81-56,M. Plumlee misses free throw 2 of 2,,3,81,56,25,1901.0
4:17.0,Defensive rebound by D. Hunter,81-56, ,,3,81,56,25,1903.0
