Time,Cleveland,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:56.0,Defensive rebound by J. Allen,67-78, ,,3,78,67,11,1804.0
5:49.0,J. Allen makes 2-pt dunk from 1 ft (assist by C. LeVert),69-78, ,,3,78,69,9,1811.0
5:48.0, ,69-78,Atlanta full timeout,,3,78,69,9,1812.0
5:48.0, ,69-78,B. Fernando enters the game for C. Capela,,3,78,69,9,1812.0
5:35.0, ,69-78,Shooting foul by G. Niang (drawn by S. Bey),,3,78,69,9,1825.0
5:35.0, ,69-79,S. Bey makes free throw 1 of 2,,3,79,69,10,1825.0
5:35.0,S. Merrill enters the game for G. Niang,69-79, ,,3,79,69,10,1825.0
5:35.0, ,69-79,S. Bey misses free throw 2 of 2,,3,79,69,10,1825.0
5:33.0,Defensive rebound by J. Allen,69-79, ,,3,79,69,10,1827.0
5:21.0,I. Okoro makes 3-pt jump shot from 26 ft (assist by C. LeVert),72-79, ,,3,79,72,7,1839.0
5:07.0, ,72-79,Turnover by S. Bey (traveling),,3,79,72,7,1853.0
4:57.0,C. LeVert makes 3-pt jump shot from 26 ft (assist by I. Okoro),75-79, ,,3,79,75,4,1863.0
4:39.0, ,75-79,D. Murray misses 2-pt jump shot from 6 ft,,3,79,75,4,1881.0
4:36.0,Defensive rebound by S. Merrill,75-79, ,,3,79,75,4,1884.0
4:28.0,Turnover by C. LeVert (bad pass; steal by B. Fernando),75-79, ,,3,79,75,4,1892.0
4:15.0, ,75-82,G. Mathews makes 3-pt jump shot from 27 ft (assist by D. Murray),,3,82,75,7,1905.0
3:57.0,Offensive foul by I. Okoro (drawn by G. Mathews),75-82, ,,3,82,75,7,1923.0
3:57.0,Turnover by I. Okoro (offensive foul),75-82, ,,3,82,75,7,1923.0
3:43.0, ,75-82,B. Fernando misses 2-pt layup from 4 ft (block by C. LeVert),,3,82,75,7,1937.0
3:40.0,Defensive rebound by J. Allen,75-82, ,,3,82,75,7,1940.0
