Time,Atlanta,Score,Golden State,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:51.0,Defensive rebound by S. Bey,71-71, ,,3,71,71,0,1509.0
10:45.0,Shooting foul by K. Thompson (drawn by D. Murray),71-71, ,,3,71,71,0,1515.0
10:45.0,D. Murray makes free throw 1 of 2,72-71, ,,3,72,71,1,1515.0
10:45.0,D. Murray misses free throw 2 of 2,72-71, ,,3,72,71,1,1515.0
10:43.0, ,72-71,Defensive rebound by K. Looney,,3,72,71,1,1517.0
10:33.0, ,72-71,S. Curry misses 2-pt layup from 6 ft,,3,72,71,1,1527.0
10:30.0, ,72-71,Offensive rebound by K. Looney,,3,72,71,1,1530.0
10:27.0, ,72-71,Turnover by K. Looney (bad pass; steal by S. Bey),,3,72,71,1,1533.0
10:26.0,S. Bey misses 3-pt jump shot from 27 ft,72-71, ,,3,72,71,1,1534.0
10:22.0, ,72-71,Defensive rebound by D. Šarić,,3,72,71,1,1538.0
10:11.0, ,72-71,D. Šarić misses 2-pt jump shot from 8 ft,,3,72,71,1,1549.0
10:09.0,Defensive rebound by C. Capela,72-71, ,,3,72,71,1,1551.0
10:00.0,D. Murray makes 2-pt jump shot from 13 ft,74-71, ,,3,74,71,3,1560.0
9:41.0, ,74-74,D. Šarić makes 3-pt jump shot from 27 ft (assist by S. Curry),Tie,3,74,74,0,1579.0
9:28.0,D. Murray misses 2-pt layup from 6 ft,74-74, ,,3,74,74,0,1592.0
9:25.0, ,74-74,Defensive rebound by A. Wiggins,,3,74,74,0,1595.0
9:15.0, ,74-74,K. Thompson misses 3-pt jump shot from 27 ft,,3,74,74,0,1605.0
9:11.0,Defensive rebound by S. Bey,74-74, ,,3,74,74,0,1609.0
9:00.0,D. Murray makes 2-pt jump shot from 18 ft (assist by S. Bey),76-74, ,,3,76,74,2,1620.0
8:47.0, ,76-74,A. Wiggins misses 3-pt jump shot from 25 ft,,3,76,74,2,1633.0
8:45.0,Defensive rebound by C. Capela,76-74, ,,3,76,74,2,1635.0
8:35.0,Shooting foul by A. Wiggins (drawn by C. Capela),76-74, ,,3,76,74,2,1645.0
8:35.0,C. Capela makes free throw 1 of 2,77-74, ,,3,77,74,3,1645.0
8:35.0,C. Capela makes free throw 2 of 2,78-74, ,,3,78,74,4,1645.0
8:24.0, ,78-74,A. Wiggins misses 2-pt layup from 5 ft (block by C. Capela),,3,78,74,4,1656.0
8:22.0,Defensive rebound by C. Capela,78-74, ,,3,78,74,4,1658.0
8:14.0,C. Capela misses 2-pt layup from 6 ft (block by K. Looney),78-74, ,,3,78,74,4,1666.0
8:13.0,Offensive rebound by Team,78-74, ,,3,78,74,4,1667.0
8:06.0,J. Johnson misses 3-pt jump shot from 27 ft,78-74, ,,3,78,74,4,1674.0
8:04.0, ,78-74,Defensive rebound by Team,,3,78,74,4,1676.0
8:04.0,Loose ball foul by C. Capela (drawn by K. Looney),78-74, ,,3,78,74,4,1676.0
7:50.0, ,78-74,Turnover by K. Thompson (bad pass; steal by B. Bogdanović),,3,78,74,4,1690.0
7:40.0,D. Murray misses 2-pt jump shot from 10 ft,78-74, ,,3,78,74,4,1700.0
7:36.0, ,78-74,Defensive rebound by D. Šarić,,3,78,74,4,1704.0
7:31.0, ,78-77,K. Thompson makes 3-pt jump shot from 23 ft (assist by D. Šarić),,3,78,77,1,1709.0
7:07.0,C. Capela misses 2-pt hook shot from 7 ft,78-77, ,,3,78,77,1,1733.0
7:02.0,Offensive rebound by S. Bey,78-77, ,,3,78,77,1,1738.0
6:59.0,Shooting foul by K. Looney (drawn by J. Johnson),78-77, ,,3,78,77,1,1741.0
6:59.0, ,78-77,Golden State full timeout,,3,78,77,1,1741.0
6:59.0, ,78-77,D. Green enters the game for K. Looney,,3,78,77,1,1741.0
6:59.0,J. Johnson misses free throw 1 of 2,78-77, ,,3,78,77,1,1741.0
6:59.0,Offensive rebound by Team,78-77, ,,3,78,77,1,1741.0
6:59.0,J. Johnson makes free throw 2 of 2,79-77, ,,3,79,77,2,1741.0
