Time,Atlanta,Score,Cleveland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:42.0, ,56-74,I. Okoro makes 2-pt dunk from 1 ft (assist by D. Mitchell),,3,56,74,-18,1518.0
10:27.0,D. Murray makes 2-pt jump shot from 7 ft (assist by O. Okongwu),58-74, ,,3,58,74,-16,1533.0
10:08.0, ,58-74,D. Mitchell misses 3-pt jump shot from 31 ft,,3,58,74,-16,1552.0
10:06.0,Defensive rebound by O. Okongwu,58-74, ,,3,58,74,-16,1554.0
9:58.0,D. Murray misses 3-pt jump shot from 25 ft,58-74, ,,3,58,74,-16,1562.0
9:56.0,Offensive rebound by S. Bey,58-74, ,,3,58,74,-16,1564.0
9:55.0,Turnover by S. Bey (bad pass; steal by J. Allen),58-74, ,,3,58,74,-16,1565.0
9:49.0, ,58-74,Shooting foul by T. Young (drawn by D. Mitchell),,3,58,74,-16,1571.0
9:49.0, ,58-75,D. Mitchell makes free throw 1 of 2,,3,58,75,-17,1571.0
9:49.0, ,58-76,D. Mitchell makes free throw 2 of 2,,3,58,76,-18,1571.0
9:39.0,Turnover by T. Young (bad pass; steal by J. Allen),58-76, ,,3,58,76,-18,1581.0
9:33.0, ,58-76,I. Okoro misses 2-pt layup from 1 ft,,3,58,76,-18,1587.0
9:29.0,Defensive rebound by D. Murray,58-76, ,,3,58,76,-18,1591.0
9:28.0,O. Okongwu makes 2-pt dunk from 1 ft (assist by D. Murray),60-76, ,,3,60,76,-16,1592.0
9:07.0, ,60-79,I. Okoro makes 3-pt jump shot from 24 ft (assist by D. Mitchell),,3,60,79,-19,1613.0
8:52.0,O. Okongwu misses 2-pt hook shot from 1 ft,60-79, ,,3,60,79,-19,1628.0
8:49.0, ,60-79,Defensive rebound by J. Allen,,3,60,79,-19,1631.0
8:34.0, ,60-79,Turnover by J. Allen (out of bounds lost ball),,3,60,79,-19,1646.0
8:22.0,T. Young makes 3-pt jump shot from 24 ft,63-79, ,,3,63,79,-16,1658.0
7:55.0, ,63-81,D. Wade makes 2-pt jump shot from 13 ft,,3,63,81,-18,1685.0
7:42.0, ,63-81,Violation by Team (kicked ball),,3,63,81,-18,1698.0
7:35.0,Shooting foul by D. Mitchell (drawn by D. Murray),63-81, ,,3,63,81,-18,1705.0
7:35.0,D. Murray makes free throw 1 of 2,64-81, ,,3,64,81,-17,1705.0
7:35.0,D. Murray makes free throw 2 of 2,65-81, ,,3,65,81,-16,1705.0
7:24.0, ,65-81,Turnover by J. Allen (bad pass; steal by D. Hunter),,3,65,81,-16,1716.0
7:14.0,D. Hunter makes 3-pt jump shot from 25 ft (assist by T. Young),68-81, ,,3,68,81,-13,1726.0
6:50.0, ,68-81,Turnover by M. Strus (back court),,3,68,81,-13,1750.0
6:50.0, ,68-81,Cleveland full timeout,,3,68,81,-13,1750.0
6:43.0,T. Young misses 2-pt jump shot from 7 ft,68-81, ,,3,68,81,-13,1757.0
6:40.0, ,68-81,Defensive rebound by M. Strus,,3,68,81,-13,1760.0
6:34.0, ,68-81,D. Mitchell misses 3-pt jump shot from 26 ft,,3,68,81,-13,1766.0
6:31.0,Defensive rebound by S. Bey,68-81, ,,3,68,81,-13,1769.0
6:28.0,T. Young misses 3-pt jump shot from 35 ft,68-81, ,,3,68,81,-13,1772.0
6:24.0, ,68-81,Defensive rebound by D. Wade,,3,68,81,-13,1776.0
