Time,Oklahoma City,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:59.0,C. Holmgren makes 2-pt layup from 1 ft (assist by L. Dort),66-78, ,,3,78,66,12,1501.0
10:50.0, ,66-81,J. Johnson makes 3-pt jump shot from 26 ft (assist by T. Young),,3,81,66,15,1510.0
10:33.0,Shooting foul by J. Johnson (drawn by L. Dort),66-81, ,,3,81,66,15,1527.0
10:33.0,L. Dort makes free throw 1 of 2,67-81, ,,3,81,67,14,1527.0
10:33.0, ,67-81,G. Mathews enters the game for J. Johnson,,3,81,67,14,1527.0
10:33.0,L. Dort makes free throw 2 of 2,68-81, ,,3,81,68,13,1527.0
10:22.0, ,68-83,C. Capela makes 2-pt dunk at rim (assist by T. Young),,3,83,68,15,1538.0
10:11.0,J. Williams makes 2-pt jump shot from 10 ft,70-83, ,,3,83,70,13,1549.0
9:54.0, ,70-83,Turnover by T. Young (bad pass; steal by J. Williams),,3,83,70,13,1566.0
9:51.0,J. Williams makes 2-pt layup from 2 ft,72-83, ,,3,83,72,11,1569.0
9:51.0, ,72-83,Atlanta full timeout,,3,83,72,11,1569.0
9:37.0, ,72-85,D. Murray makes 2-pt layup from 3 ft (assist by G. Mathews),,3,85,72,13,1583.0
9:25.0,Personal foul by T. Young (drawn by S. Gilgeous-Alexander),72-85, ,,3,85,72,13,1595.0
9:11.0,S. Gilgeous-Alexander misses 2-pt jump shot from 13 ft,72-85, ,,3,85,72,13,1609.0
9:09.0, ,72-85,Defensive rebound by T. Young,,3,85,72,13,1611.0
9:09.0, ,72-85,Personal foul by L. Dort (drawn by T. Young),,3,85,72,13,1611.0
8:58.0, ,72-85,D. Murray misses 2-pt jump shot from 11 ft,,3,85,72,13,1622.0
8:53.0, ,72-85,Offensive rebound by C. Capela,,3,85,72,13,1627.0
8:53.0, ,72-87,C. Capela makes 2-pt layup at rim,,3,87,72,15,1627.0
8:42.0,J. Giddey misses 2-pt layup from 2 ft,72-87, ,,3,87,72,15,1638.0
8:38.0,Offensive rebound by J. Giddey,72-87, ,,3,87,72,15,1642.0
8:38.0,J. Giddey makes 2-pt layup at rim,74-87, ,,3,87,74,13,1642.0
8:20.0, ,74-87,S. Bey misses 2-pt layup from 1 ft,,3,87,74,13,1660.0
8:16.0, ,74-87,Offensive rebound by C. Capela,,3,87,74,13,1664.0
8:16.0, ,74-89,C. Capela makes 2-pt layup at rim,,3,89,74,15,1664.0
8:09.0,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,76-89, ,,3,89,76,13,1671.0
7:55.0, ,76-89,Turnover by D. Murray (lost ball; steal by J. Williams),,3,89,76,13,1685.0
7:51.0,J. Williams makes 2-pt layup from 2 ft (assist by J. Giddey),78-89, ,,3,89,78,11,1689.0
7:50.0,Violation by Team (delay of game),78-89, ,,3,89,78,11,1690.0
7:34.0, ,78-89,D. Murray misses 2-pt jump shot from 18 ft,,3,89,78,11,1706.0
