Time,Philadelphia,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
11:49.0,K. Oubre misses 2-pt layup from 1 ft (block by B. Fernando),31-34, ,,2,34,31,3,731.0
11:45.0, ,31-34,Defensive rebound by J. Johnson,,2,34,31,3,735.0
11:43.0, ,31-36,B. Bogdanović makes 2-pt jump shot from 22 ft (assist by J. Johnson),,2,36,31,5,737.0
11:24.0,P. Beverley makes 2-pt hook shot from 10 ft,33-36, ,,2,36,33,3,756.0
11:20.0, ,33-36,B. Bogdanović misses 3-pt jump shot from 26 ft,,2,36,33,3,760.0
11:19.0,Defensive rebound by P. Beverley,33-36, ,,2,36,33,3,761.0
11:06.0,M. Morris makes 3-pt jump shot from 26 ft (assist by K. Oubre),36-36, ,Tie,2,36,36,0,774.0
10:40.0, ,36-36,T. Young misses 3-pt jump shot from 22 ft,,2,36,36,0,800.0
10:38.0,Defensive rebound by M. Morris,36-36, ,,2,36,36,0,802.0
10:34.0,M. Morris makes 3-pt jump shot from 25 ft (assist by P. Beverley),39-36, ,Lead change,2,36,39,-3,806.0
10:13.0, ,39-36,T. Young misses 3-pt jump shot from 26 ft,,2,36,39,-3,827.0
10:10.0,Defensive rebound by P. Beverley,39-36, ,,2,36,39,-3,830.0
10:06.0,M. Morris misses 3-pt jump shot from 26 ft,39-36, ,,2,36,39,-3,834.0
10:03.0, ,39-36,Defensive rebound by B. Bogdanović,,2,36,39,-3,837.0
9:52.0, ,39-38,J. Johnson makes 2-pt layup from 5 ft (assist by B. Bogdanović),,2,38,39,-1,848.0
9:52.0, ,39-38,Shooting foul by J. Springer (drawn by J. Johnson),,2,38,39,-1,848.0
9:52.0, ,39-39,J. Johnson makes free throw 1 of 1,Tie,2,39,39,0,848.0
9:45.0,K. Oubre misses 3-pt jump shot from 26 ft,39-39, ,,2,39,39,0,855.0
9:42.0, ,39-39,Defensive rebound by B. Fernando,,2,39,39,0,858.0
9:35.0, ,39-39,Personal foul by P. Beverley (drawn by T. Young),,2,39,39,0,865.0
9:35.0,T. Harris enters the game for P. Beverley,39-39, ,,2,39,39,0,865.0
9:35.0,T. Maxey enters the game for K. Martin,39-39, ,,2,39,39,0,865.0
9:35.0,D. Melton enters the game for K. Oubre,39-39, ,,2,39,39,0,865.0
9:35.0, ,39-39,T. Forrest enters the game for P. Mills,,2,39,39,0,865.0
9:24.0, ,39-39,T. Young misses 2-pt layup from 3 ft,,2,39,39,0,876.0
9:23.0,Defensive rebound by Team,39-39, ,,2,39,39,0,877.0
9:23.0, ,39-39,Loose ball foul by B. Fernando (drawn by T. Maxey),,2,39,39,0,877.0
9:08.0,D. Melton misses 3-pt jump shot from 23 ft,39-39, ,,2,39,39,0,892.0
9:06.0, ,39-39,Defensive rebound by B. Fernando,,2,39,39,0,894.0
