Time,Atlanta,Score,Dallas,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:50.0, ,52-53,Defensive rebound by L. Dončić,,2,52,53,-1,1270.0
2:47.0, ,52-55,T. Hardaway makes 2-pt layup from 1 ft (assist by L. Dončić),,2,52,55,-3,1273.0
2:38.0,Atlanta full timeout,52-55, ,,2,52,55,-3,1282.0
2:38.0,J. Johnson enters the game for G. Mathews,52-55, ,,2,52,55,-3,1282.0
2:25.0,D. Hunter makes 2-pt jump shot from 9 ft,54-55, ,,2,54,55,-1,1295.0
2:12.0, ,54-55,L. Dončić misses 3-pt jump shot from 25 ft,,2,54,55,-1,1308.0
2:09.0, ,54-55,Offensive rebound by K. Irving,,2,54,55,-1,1311.0
2:00.0, ,54-55,L. Dončić misses 2-pt jump shot from 8 ft,,2,54,55,-1,1320.0
1:57.0,Defensive rebound by J. Johnson,54-55, ,,2,54,55,-1,1323.0
1:50.0,D. Murray makes 3-pt jump shot from 25 ft (assist by D. Hunter),57-55, ,Lead change,2,57,55,2,1330.0
1:33.0, ,57-57,K. Irving makes 2-pt jump shot from 9 ft,Tie,2,57,57,0,1347.0
1:14.0,Offensive foul by C. Capela (drawn by M. Kleber),57-57, ,,2,57,57,0,1366.0
1:14.0,Turnover by C. Capela (offensive foul),57-57, ,,2,57,57,0,1366.0
1:14.0, ,57-57,D. Powell enters the game for M. Kleber,,2,57,57,0,1366.0
1:01.0, ,57-59,K. Irving makes 2-pt jump shot from 12 ft,Lead change,2,57,59,-2,1379.0
0:47.0, ,57-59,Violation by Team (kicked ball),,2,57,59,-2,1393.0
0:46.0,B. Bogdanović misses 2-pt layup from 3 ft,57-59, ,,2,57,59,-2,1394.0
0:42.0,Offensive rebound by B. Bogdanović,57-59, ,,2,57,59,-2,1398.0
0:42.0,B. Bogdanović misses 2-pt layup at rim,57-59, ,,2,57,59,-2,1398.0
0:42.0, ,57-59,Defensive rebound by L. Dončić,,2,57,59,-2,1398.0
0:36.0, ,57-62,P. Washington makes 3-pt jump shot from 25 ft (assist by T. Hardaway),,2,57,62,-5,1404.0
0:27.0,D. Murray misses 2-pt jump shot from 16 ft,57-62, ,,2,57,62,-5,1413.0
0:25.0, ,57-62,Defensive rebound by L. Dončić,,2,57,62,-5,1415.0
0:02.0, ,57-65,L. Dončić makes 3-pt jump shot from 26 ft,,2,57,65,-8,1438.0
