Time,Atlanta,Score,Portland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Start of 3rd quarter,52-47,,,3,52,47,5,1440.0
11:46.0,D. Murray misses 3-pt jump shot from 26 ft,52-47, ,,3,52,47,5,1454.0
11:42.0, ,52-47,Defensive rebound by D. Ayton,,3,52,47,5,1458.0
11:34.0, ,52-47,K. Murray misses 2-pt layup from 6 ft,,3,52,47,5,1466.0
11:34.0, ,52-47,Offensive rebound by Team,,3,52,47,5,1466.0
11:25.0, ,52-47,K. Murray misses 3-pt jump shot from 25 ft,,3,52,47,5,1475.0
11:24.0,Defensive rebound by Team,52-47, ,,3,52,47,5,1476.0
11:04.0,B. Bogdanović misses 3-pt jump shot from 32 ft,52-47, ,,3,52,47,5,1496.0
10:59.0, ,52-47,Defensive rebound by D. Banton,,3,52,47,5,1501.0
10:56.0, ,52-49,D. Banton makes 2-pt layup from 3 ft,,3,52,49,3,1504.0
10:37.0,W. Matthews makes 3-pt jump shot from 23 ft (assist by V. Krejci),55-49, ,,3,55,49,6,1523.0
10:16.0, ,55-52,D. Banton makes 3-pt jump shot from 26 ft (assist by T. Camara),,3,55,52,3,1544.0
10:02.0,B. Bogdanović makes 3-pt jump shot from 27 ft,58-52, ,,3,58,52,6,1558.0
9:35.0, ,58-52,D. Banton misses 2-pt jump shot from 12 ft,,3,58,52,6,1585.0
9:34.0,Defensive rebound by C. Capela,58-52, ,,3,58,52,6,1586.0
9:25.0,D. Murray misses 2-pt jump shot from 14 ft,58-52, ,,3,58,52,6,1595.0
9:21.0, ,58-52,Defensive rebound by A. Simons,,3,58,52,6,1599.0
9:15.0, ,58-52,Shooting foul by C. Capela (drawn by A. Simons),,3,58,52,6,1605.0
9:15.0, ,58-53,A. Simons makes free throw 1 of 2,,3,58,53,5,1605.0
9:15.0, ,58-54,A. Simons makes free throw 2 of 2,,3,58,54,4,1605.0
8:57.0,D. Murray misses 2-pt jump shot from 11 ft,58-54, ,,3,58,54,4,1623.0
8:51.0, ,58-54,Defensive rebound by D. Ayton,,3,58,54,4,1629.0
8:47.0, ,58-57,D. Banton makes 3-pt jump shot from 26 ft (assist by A. Simons),,3,58,57,1,1633.0
8:46.0,Atlanta full timeout,58-57, ,,3,58,57,1,1634.0
8:30.0,W. Matthews misses 3-pt jump shot from 23 ft,58-57, ,,3,58,57,1,1650.0
8:26.0, ,58-57,Defensive rebound by T. Camara,,3,58,57,1,1654.0
8:18.0, ,58-57,D. Banton misses 3-pt jump shot from 24 ft,,3,58,57,1,1662.0
8:16.0, ,58-57,Offensive rebound by D. Banton,,3,58,57,1,1664.0
8:13.0, ,58-59,D. Ayton makes 2-pt jump shot from 11 ft (assist by D. Banton),Lead change,3,58,59,-1,1667.0
8:04.0,Offensive foul by C. Capela (drawn by T. Camara),58-59, ,,3,58,59,-1,1676.0
8:04.0,Turnover by C. Capela (offensive foul),58-59, ,,3,58,59,-1,1676.0
7:52.0, ,58-59,Shooting foul by B. Bogdanović (drawn by K. Murray),,3,58,59,-1,1688.0
7:52.0, ,58-60,K. Murray makes free throw 1 of 2,,3,58,60,-2,1688.0
7:52.0, ,58-60,K. Murray misses free throw 2 of 2,,3,58,60,-2,1688.0
7:50.0,Defensive rebound by C. Capela,58-60, ,,3,58,60,-2,1690.0
7:41.0,D. Murray makes 2-pt jump shot from 18 ft,60-60, ,Tie,3,60,60,0,1699.0
7:25.0, ,60-60,Turnover by D. Banton (bad pass; steal by B. Bogdanović),,3,60,60,0,1715.0
7:18.0,B. Bogdanović misses 2-pt layup from 9 ft,60-60, ,,3,60,60,0,1722.0
7:16.0,Offensive rebound by C. Capela,60-60, ,,3,60,60,0,1724.0
7:14.0,C. Capela makes 2-pt layup from 3 ft,62-60, ,Lead change,3,62,60,2,1726.0
6:55.0, ,62-60,D. Banton misses 2-pt jump shot from 9 ft (block by B. Bogdanović),,3,62,60,2,1745.0
6:55.0,Defensive rebound by Team,62-60, ,,3,62,60,2,1745.0
6:55.0, ,62-60,Loose ball foul by D. Banton (drawn by C. Capela),,3,62,60,2,1745.0
6:40.0,W. Matthews misses 2-pt layup from 2 ft,62-60, ,,3,62,60,2,1760.0
6:38.0, ,62-60,Defensive rebound by D. Ayton,,3,62,60,2,1762.0
6:35.0, ,62-60,Turnover by K. Murray (lost ball; steal by V. Krejci),,3,62,60,2,1765.0
6:32.0,Turnover by V. Krejci (bad pass; steal by D. Ayton),62-60, ,,3,62,60,2,1768.0
6:30.0, ,62-62,D. Ayton makes 2-pt dunk from 2 ft,Tie,3,62,62,0,1770.0
6:17.0,D. Murray misses 3-pt jump shot from 27 ft,62-62, ,,3,62,62,0,1783.0
6:15.0, ,62-62,Defensive rebound by D. Ayton,,3,62,62,0,1785.0
6:10.0, ,62-62,Shooting foul by V. Krejci (drawn by A. Simons),,3,62,62,0,1790.0
6:10.0, ,62-63,A. Simons makes free throw 1 of 2,Lead change,3,62,63,-1,1790.0
6:10.0,B. Fernando enters the game for B. Bogdanović,62-63, ,,3,62,63,-1,1790.0
6:10.0,D. Hunter enters the game for C. Capela,62-63, ,,3,62,63,-1,1790.0
6:10.0,G. Mathews enters the game for V. Krejci,62-63, ,,3,62,63,-1,1790.0
6:10.0, ,62-63,M. Thybulle enters the game for D. Banton,,3,62,63,-1,1790.0
6:10.0, ,62-64,A. Simons makes free throw 2 of 2,,3,62,64,-2,1790.0
5:54.0,Turnover by D. Murray (lost ball; steal by M. Thybulle),62-64, ,,3,62,64,-2,1806.0
5:43.0, ,62-64,A. Simons misses 3-pt jump shot from 29 ft,,3,62,64,-2,1817.0
5:39.0,Defensive rebound by B. Fernando,62-64, ,,3,62,64,-2,1821.0
5:34.0,Offensive foul by B. Fernando (drawn by T. Camara),62-64, ,,3,62,64,-2,1826.0
5:34.0,Turnover by B. Fernando (offensive foul),62-64, ,,3,62,64,-2,1826.0
5:34.0,T. Forrest enters the game for W. Matthews,62-64, ,,3,62,64,-2,1826.0
5:18.0, ,62-64,Turnover by D. Ayton (lost ball; steal by D. Murray),,3,62,64,-2,1842.0
5:13.0,D. Murray misses 2-pt layup from 2 ft,62-64, ,,3,62,64,-2,1847.0
5:12.0, ,62-64,Defensive rebound by M. Thybulle,,3,62,64,-2,1848.0
5:09.0, ,62-66,K. Murray makes 2-pt layup from 2 ft (assist by A. Simons),,3,62,66,-4,1851.0
5:09.0, ,62-66,Shooting foul by G. Mathews (drawn by K. Murray),,3,62,66,-4,1851.0
5:09.0, ,62-67,K. Murray makes free throw 1 of 1,,3,62,67,-5,1851.0
4:49.0,T. Forrest misses 2-pt jump shot from 10 ft,62-67, ,,3,62,67,-5,1871.0
4:46.0, ,62-67,Defensive rebound by D. Ayton,,3,62,67,-5,1874.0
4:35.0, ,62-69,D. Ayton makes 2-pt jump shot from 17 ft (assist by M. Thybulle),,3,62,69,-7,1885.0
4:21.0,D. Murray misses 3-pt jump shot from 27 ft,62-69, ,,3,62,69,-7,1899.0
4:19.0, ,62-69,Defensive rebound by M. Thybulle,,3,62,69,-7,1901.0
4:14.0, ,62-71,M. Thybulle makes 2-pt layup from 1 ft,,3,62,71,-9,1906.0
4:13.0,Atlanta full timeout,62-71, ,,3,62,71,-9,1907.0
