Time,Houston,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:26.0,A. Thompson makes 2-pt dunk from 1 ft,38-31, ,,2,31,38,-7,994.0
7:17.0, ,38-33,D. Murray makes 2-pt layup at rim,,2,33,38,-5,1003.0
6:59.0,Turnover by J. Green (bad pass; steal by S. Bey),38-33, ,,2,33,38,-5,1021.0
6:51.0, ,38-33,B. Bogdanović misses 3-pt jump shot from 23 ft,,2,33,38,-5,1029.0
6:46.0,Defensive rebound by J. Landale,38-33, ,,2,33,38,-5,1034.0
6:41.0,Turnover by A. Thompson (traveling),38-33, ,,2,33,38,-5,1039.0
6:41.0,J. Smith enters the game for J. Green,38-33, ,,2,33,38,-5,1039.0
6:21.0, ,38-35,J. Johnson makes 2-pt jump shot from 9 ft (assist by S. Bey),,2,35,38,-3,1059.0
6:20.0,Technical foul by I. Udoka,38-35, ,,2,35,38,-3,1060.0
6:20.0, ,38-36,B. Bogdanović makes technical free throw,,2,36,38,-2,1060.0
6:08.0,Turnover by J. Smith (out of bounds lost ball),38-36, ,,2,36,38,-2,1072.0
5:59.0, ,38-38,S. Bey makes 2-pt jump shot from 14 ft (assist by D. Murray),Tie,2,38,38,0,1081.0
5:46.0,D. Brooks misses 2-pt jump shot from 6 ft,38-38, ,,2,38,38,0,1094.0
5:45.0,Offensive rebound by A. Thompson,38-38, ,,2,38,38,0,1095.0
5:45.0,A. Thompson misses 2-pt layup from 5 ft,38-38, ,,2,38,38,0,1095.0
5:43.0, ,38-38,Defensive rebound by S. Bey,,2,38,38,0,1097.0
5:40.0, ,38-38,Shooting foul by J. Landale (drawn by J. Johnson),,2,38,38,0,1100.0
5:40.0, ,38-39,J. Johnson makes free throw 1 of 2,Lead change,2,39,38,1,1100.0
5:40.0,A. Holiday enters the game for A. Thompson,38-39, ,,2,39,38,1,1100.0
5:40.0, ,38-40,J. Johnson makes free throw 2 of 2,,2,40,38,2,1100.0
5:23.0, ,38-40,Loose ball foul by S. Bey (drawn by J. Landale),,2,40,38,2,1117.0
5:16.0,D. Brooks makes 2-pt jump shot from 17 ft,40-40, ,Tie,2,40,40,0,1124.0
5:02.0, ,40-40,Offensive foul by O. Okongwu (drawn by A. Holiday),,2,40,40,0,1138.0
5:02.0, ,40-40,Turnover by O. Okongwu (offensive foul),,2,40,40,0,1138.0
5:02.0,J. Green enters the game for J. Landale,40-40, ,,2,40,40,0,1138.0
5:02.0, ,40-40,T. Young enters the game for O. Okongwu,,2,40,40,0,1138.0
4:52.0,Shooting foul by T. Young (drawn by D. Brooks),40-40, ,,2,40,40,0,1148.0
4:52.0,D. Brooks makes free throw 1 of 2,41-40, ,Lead change,2,40,41,-1,1148.0
4:52.0,D. Brooks makes free throw 2 of 2,42-40, ,,2,40,42,-2,1148.0
4:35.0, ,42-43,J. Johnson makes 3-pt jump shot from 29 ft,Lead change,2,43,42,1,1165.0
4:16.0,D. Brooks misses 3-pt jump shot from 26 ft,42-43, ,,2,43,42,1,1184.0
4:13.0, ,42-43,Defensive rebound by S. Bey,,2,43,42,1,1187.0
4:00.0, ,42-43,D. Murray misses 3-pt jump shot from 26 ft,,2,43,42,1,1200.0
3:57.0,Defensive rebound by J. Green,42-43, ,,2,43,42,1,1203.0
3:47.0,J. Green misses 2-pt layup from 2 ft,42-43, ,,2,43,42,1,1213.0
3:42.0, ,42-43,Defensive rebound by B. Bogdanović,,2,43,42,1,1218.0
3:38.0, ,42-46,B. Bogdanović makes 3-pt jump shot from 22 ft (assist by T. Young),,2,46,42,4,1222.0
3:21.0,D. Brooks misses 3-pt jump shot from 23 ft,42-46, ,,2,46,42,4,1239.0
3:17.0, ,42-46,Defensive rebound by D. Murray,,2,46,42,4,1243.0
