Time,Atlanta,Score,Minnesota,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:05.0,Defensive rebound by Team,35-42, ,,2,35,42,-7,1135.0
4:54.0,C. Capela makes 2-pt dunk from 1 ft (assist by B. Bogdanović),37-42, ,,2,37,42,-5,1146.0
4:36.0, ,37-42,Shooting foul by D. Hunter (drawn by N. Reid),,2,37,42,-5,1164.0
4:36.0, ,37-43,N. Reid makes free throw 1 of 2,,2,37,43,-6,1164.0
4:36.0,M. Gueye enters the game for D. Hunter,37-43, ,,2,37,43,-6,1164.0
4:36.0, ,37-44,N. Reid makes free throw 2 of 2,,2,37,44,-7,1164.0
4:29.0,Personal foul by N. Alexander-Walker (drawn by T. Young),37-44, ,,2,37,44,-7,1171.0
4:25.0,B. Bogdanović misses 3-pt jump shot from 25 ft,37-44, ,,2,37,44,-7,1175.0
4:23.0,Offensive rebound by M. Gueye,37-44, ,,2,37,44,-7,1177.0
4:22.0,M. Gueye misses 2-pt layup from 2 ft (block by K. Towns),37-44, ,,2,37,44,-7,1178.0
4:22.0,Offensive rebound by Team,37-44, ,,2,37,44,-7,1178.0
4:17.0,D. Murray misses 3-pt jump shot from 25 ft,37-44, ,,2,37,44,-7,1183.0
4:16.0,Offensive rebound by M. Gueye,37-44, ,,2,37,44,-7,1184.0
4:07.0,Turnover by B. Bogdanović (bad pass; steal by A. Edwards),37-44, ,,2,37,44,-7,1193.0
3:50.0, ,37-46,J. McDaniels makes 2-pt dunk from 1 ft (assist by N. Alexander-Walker),,2,37,46,-9,1210.0
3:34.0,Turnover by T. Young (bad pass; steal by A. Edwards),37-46, ,,2,37,46,-9,1226.0
3:29.0, ,37-46,A. Edwards misses 2-pt layup from 2 ft,,2,37,46,-9,1231.0
3:27.0,Defensive rebound by B. Bogdanović,37-46, ,,2,37,46,-9,1233.0
3:24.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Murray),40-46, ,,2,40,46,-6,1236.0
3:09.0, ,40-49,N. Alexander-Walker makes 3-pt jump shot from 25 ft (assist by A. Edwards),,2,40,49,-9,1251.0
2:52.0,Offensive foul by D. Murray (drawn by J. McDaniels),40-49, ,,2,40,49,-9,1268.0
2:52.0,Turnover by D. Murray (offensive foul),40-49, ,,2,40,49,-9,1268.0
2:52.0, ,40-49,Minnesota full timeout,,2,40,49,-9,1268.0
2:52.0,D. Hunter enters the game for M. Gueye,40-49, ,,2,40,49,-9,1268.0
2:52.0, ,40-49,R. Gobert enters the game for N. Reid,,2,40,49,-9,1268.0
2:33.0, ,40-51,K. Towns makes 2-pt jump shot from 7 ft (assist by A. Edwards),,2,40,51,-11,1287.0
2:12.0,C. Capela misses 2-pt layup from 1 ft,40-51, ,,2,40,51,-11,1308.0
2:08.0, ,40-51,Defensive rebound by R. Gobert,,2,40,51,-11,1312.0
2:02.0, ,40-51,J. McDaniels misses 3-pt jump shot from 23 ft,,2,40,51,-11,1318.0
2:00.0,Defensive rebound by T. Young,40-51, ,,2,40,51,-11,1320.0
1:58.0,Personal foul by A. Edwards (drawn by T. Young),40-51, ,,2,40,51,-11,1322.0
1:58.0,T. Young misses free throw 1 of 1,40-51, ,,2,40,51,-11,1322.0
1:58.0,Offensive rebound by Team,40-51, ,,2,40,51,-11,1322.0
1:58.0, ,40-51,M. Conley enters the game for A. Edwards,,2,40,51,-11,1322.0
1:47.0,D. Hunter makes 2-pt jump shot from 17 ft,42-51, ,,2,42,51,-9,1333.0
1:31.0, ,42-51,K. Towns misses 3-pt jump shot from 25 ft,,2,42,51,-9,1349.0
1:28.0,Defensive rebound by T. Young,42-51, ,,2,42,51,-9,1352.0
1:23.0,Turnover by D. Murray (lost ball; steal by N. Alexander-Walker),42-51, ,,2,42,51,-9,1357.0
1:18.0, ,42-53,K. Towns makes 2-pt dunk from 3 ft (assist by M. Conley),,2,42,53,-11,1362.0
1:00.0,D. Hunter misses 3-pt jump shot from 26 ft,42-53, ,,2,42,53,-11,1380.0
0:57.0, ,42-53,Defensive rebound by R. Gobert,,2,42,53,-11,1383.0
0:52.0, ,42-53,Offensive foul by K. Towns (drawn by D. Hunter),,2,42,53,-11,1388.0
0:52.0, ,42-53,Turnover by K. Towns (offensive foul),,2,42,53,-11,1388.0
0:52.0, ,42-53,N. Reid enters the game for K. Towns,,2,42,53,-11,1388.0
0:41.0,B. Bogdanović makes 2-pt jump shot from 11 ft (assist by T. Young),44-53, ,,2,44,53,-9,1399.0
0:34.0, ,44-53,Turnover by M. Conley (bad pass; steal by C. Capela),,2,44,53,-9,1406.0
0:27.0,C. Capela makes 2-pt layup from 1 ft (assist by T. Young),46-53, ,,2,46,53,-7,1413.0
0:07.0, ,46-56,N. Reid makes 3-pt jump shot from 25 ft (assist by M. Conley),,2,46,56,-10,1433.0
0:00.0,Shooting foul by R. Gobert (drawn by D. Murray),46-56, ,,2,46,56,-10,1440.0
0:00.0,D. Murray misses free throw 1 of 2,46-56, ,,2,46,56,-10,1440.0
0:00.0,Offensive rebound by Team,46-56, ,,2,46,56,-10,1440.0
0:00.0,D. Murray makes free throw 2 of 2,47-56, ,,2,47,56,-9,1440.0
0:00.0,End of 2nd quarter,47-56,,,2,47,56,-9,1440.0
12:00.0,Start of 3rd quarter,47-56,,,3,47,56,-9,1440.0
11:47.0, ,47-56,M. Conley misses 3-pt jump shot from 27 ft,,3,47,56,-9,1453.0
11:44.0,Defensive rebound by D. Murray,47-56, ,,3,47,56,-9,1456.0
11:29.0,D. Hunter misses 2-pt jump shot from 13 ft,47-56, ,,3,47,56,-9,1471.0
11:25.0, ,47-56,Defensive rebound by A. Edwards,,3,47,56,-9,1475.0
11:19.0, ,47-56,K. Towns misses 3-pt jump shot from 26 ft,,3,47,56,-9,1481.0
11:16.0, ,47-56,Offensive rebound by M. Conley,,3,47,56,-9,1484.0
11:12.0, ,47-56,A. Edwards misses 3-pt jump shot from 25 ft,,3,47,56,-9,1488.0
11:06.0,Defensive rebound by C. Capela,47-56, ,,3,47,56,-9,1494.0
10:52.0,B. Bogdanović makes 3-pt jump shot from 24 ft,50-56, ,,3,50,56,-6,1508.0
10:35.0, ,50-59,J. McDaniels makes 3-pt jump shot from 25 ft (assist by K. Towns),,3,50,59,-9,1525.0
10:14.0,D. Hunter makes 3-pt jump shot from 25 ft (assist by D. Murray),53-59, ,,3,53,59,-6,1546.0
9:50.0, ,53-61,R. Gobert makes 2-pt hook shot from 7 ft (assist by K. Towns),,3,53,61,-8,1570.0
9:30.0,D. Murray makes 2-pt jump shot from 16 ft (assist by T. Young),55-61, ,,3,55,61,-6,1590.0
9:08.0, ,55-64,J. McDaniels makes 3-pt jump shot from 24 ft (assist by K. Towns),,3,55,64,-9,1612.0
8:54.0,D. Hunter misses 3-pt jump shot from 25 ft,55-64, ,,3,55,64,-9,1626.0
8:53.0, ,55-64,Defensive rebound by A. Edwards,,3,55,64,-9,1627.0
8:41.0, ,55-66,M. Conley makes 2-pt jump shot from 12 ft (assist by K. Towns),,3,55,66,-11,1639.0
8:41.0, ,55-66,Shooting foul by D. Hunter (drawn by M. Conley),,3,55,66,-11,1639.0
8:41.0, ,55-67,M. Conley makes free throw 1 of 1,,3,55,67,-12,1639.0
8:30.0,D. Hunter makes 2-pt layup from 5 ft (assist by T. Young),57-67, ,,3,57,67,-10,1650.0
8:18.0, ,57-67,J. McDaniels misses 2-pt jump shot from 5 ft,,3,57,67,-10,1662.0
8:17.0, ,57-67,Offensive rebound by R. Gobert,,3,57,67,-10,1663.0
8:16.0, ,57-67,Shooting foul by C. Capela (drawn by R. Gobert),,3,57,67,-10,1664.0
8:16.0, ,57-68,R. Gobert makes free throw 1 of 2,,3,57,68,-11,1664.0
8:16.0, ,57-69,R. Gobert makes free throw 2 of 2,,3,57,69,-12,1664.0
7:55.0,T. Young misses 3-pt jump shot from 24 ft,57-69, ,,3,57,69,-12,1685.0
7:53.0,Offensive rebound by C. Capela,57-69, ,,3,57,69,-12,1687.0
7:51.0,D. Murray misses 3-pt jump shot from 24 ft,57-69, ,,3,57,69,-12,1689.0
7:48.0,Offensive rebound by D. Hunter,57-69, ,,3,57,69,-12,1692.0
7:47.0,D. Hunter misses 2-pt layup from 3 ft (block by R. Gobert),57-69, ,,3,57,69,-12,1693.0
7:45.0, ,57-69,Defensive rebound by A. Edwards,,3,57,69,-12,1695.0
7:40.0, ,57-72,M. Conley makes 3-pt jump shot from 25 ft (assist by J. McDaniels),,3,57,72,-15,1700.0
7:39.0,Atlanta full timeout,57-72, ,,3,57,72,-15,1701.0
7:39.0,G. Mathews enters the game for T. Young,57-72, ,,3,57,72,-15,1701.0
7:23.0,B. Bogdanović makes 2-pt jump shot from 12 ft (assist by C. Capela),59-72, ,,3,59,72,-13,1717.0
7:02.0, ,59-72,Shooting foul by G. Mathews (drawn by A. Edwards),,3,59,72,-13,1738.0
7:02.0, ,59-73,A. Edwards makes free throw 1 of 2,,3,59,73,-14,1738.0
7:02.0, ,59-73,K. Anderson enters the game for M. Conley,,3,59,73,-14,1738.0
7:02.0, ,59-74,A. Edwards makes free throw 2 of 2,,3,59,74,-15,1738.0
6:49.0,D. Murray misses 2-pt jump shot from 19 ft,59-74, ,,3,59,74,-15,1751.0
6:46.0, ,59-74,Defensive rebound by R. Gobert,,3,59,74,-15,1754.0
6:36.0, ,59-76,A. Edwards makes 2-pt jump shot from 15 ft,,3,59,76,-17,1764.0
6:21.0,D. Murray misses 2-pt jump shot from 16 ft,59-76, ,,3,59,76,-17,1779.0
6:17.0,Offensive rebound by D. Murray,59-76, ,,3,59,76,-17,1783.0
6:16.0,Shooting foul by J. McDaniels (drawn by B. Bogdanović),59-76, ,,3,59,76,-17,1784.0
6:16.0,B. Bogdanović makes free throw 1 of 2,60-76, ,,3,60,76,-16,1784.0
6:16.0, ,60-76,N. Reid enters the game for K. Towns,,3,60,76,-16,1784.0
6:16.0,B. Bogdanović makes free throw 2 of 2,61-76, ,,3,61,76,-15,1784.0
5:59.0, ,61-76,K. Anderson misses 2-pt jump shot from 7 ft,,3,61,76,-15,1801.0
5:58.0,Defensive rebound by C. Capela,61-76, ,,3,61,76,-15,1802.0
5:54.0,Personal foul by N. Reid (drawn by D. Hunter),61-76, ,,3,61,76,-15,1806.0
