Time,Sacramento,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:40.0,D. Sabonis makes 2-pt layup from 1 ft (assist by C. Duarte),51-63, ,,2,63,51,12,1340.0
1:26.0, ,51-63,D. Murray misses 2-pt layup from 1 ft,,2,63,51,12,1354.0
1:24.0,Defensive rebound by D. Sabonis,51-63, ,,2,63,51,12,1356.0
1:16.0,D. Sabonis makes 2-pt layup from 1 ft (assist by C. Duarte),53-63, ,,2,63,53,10,1364.0
0:53.0, ,53-66,J. Johnson makes 3-pt jump shot from 26 ft (assist by D. Murray),,2,66,53,13,1387.0
0:34.0,Turnover by D. Fox (bad pass; steal by C. Capela),53-66, ,,2,66,53,13,1406.0
0:31.0, ,53-68,J. Johnson makes 2-pt dunk from 1 ft (assist by C. Capela),,2,68,53,15,1409.0
0:08.0,K. Murray misses 3-pt jump shot from 23 ft,53-68, ,,2,68,53,15,1432.0
0:05.0, ,53-68,Defensive rebound by J. Johnson,,2,68,53,15,1435.0
0:00.0, ,53-70,T. Young makes 2-pt layup from 3 ft,,2,70,53,17,1440.0
0:00.0, ,53-70,Shooting foul by M. Monk (drawn by T. Young),,2,70,53,17,1440.0
0:00.0, ,53-71,T. Young makes free throw 1 of 1,,2,71,53,18,1440.0
0:00.0,C. Duarte misses 3-pt jump shot from 40 ft,53-71, ,,2,71,53,18,1440.0
0:00.0,Offensive rebound by Team,53-71, ,,2,71,53,18,1440.0
0:00.0,End of 2nd quarter,53-71,,,2,71,53,18,1440.0
12:00.0,Start of 3rd quarter,53-71,,,3,71,53,18,1440.0
11:43.0,Personal foul by T. Young (drawn by H. Barnes),53-71, ,,3,71,53,18,1457.0
11:35.0,D. Fox makes 3-pt jump shot from 22 ft (assist by D. Sabonis),56-71, ,,3,71,56,15,1465.0
11:13.0, ,56-73,T. Young makes 2-pt jump shot from 16 ft (assist by S. Bey),,3,73,56,17,1487.0
