Time,Brooklyn,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:14.0, ,45-43,Defensive rebound by D. Murray,,2,43,45,-2,1186.0
4:07.0, ,45-43,D. Murray misses 2-pt layup from 2 ft,,2,43,45,-2,1193.0
4:05.0,Defensive rebound by M. Bridges,45-43, ,,2,43,45,-2,1195.0
4:02.0,Turnover by S. Dinwiddie (out of bounds lost ball),45-43, ,,2,43,45,-2,1198.0
4:02.0,D. Finney-Smith enters the game for R. O'Neale,45-43, ,,2,43,45,-2,1198.0
3:49.0, ,45-43,Shooting foul by D. Finney-Smith (drawn by C. Capela),,2,43,45,-2,1211.0
3:49.0, ,45-43,C. Capela misses free throw 1 of 2,,2,43,45,-2,1211.0
3:49.0, ,45-43,Offensive rebound by Team,,2,43,45,-2,1211.0
3:49.0, ,45-44,C. Capela makes free throw 2 of 2,,2,44,45,-1,1211.0
3:36.0,C. Johnson misses 2-pt jump shot from 12 ft,45-44, ,,2,44,45,-1,1224.0
3:33.0, ,45-44,Defensive rebound by C. Capela,,2,44,45,-1,1227.0
3:26.0, ,45-46,T. Young makes 2-pt jump shot from 11 ft,Lead change,2,46,45,1,1234.0
3:14.0,D. Sharpe makes 2-pt dunk from 1 ft (assist by S. Dinwiddie),47-46, ,Lead change,2,46,47,-1,1246.0
2:58.0, ,47-46,T. Young misses 2-pt layup from 2 ft,,2,46,47,-1,1262.0
2:54.0,Defensive rebound by D. Sharpe,47-46, ,,2,46,47,-1,1266.0
2:51.0,Personal foul by D. Murray (drawn by M. Bridges),47-46, ,,2,46,47,-1,1269.0
2:51.0,Brooklyn full timeout,47-46, ,,2,46,47,-1,1269.0
2:44.0,C. Johnson misses 2-pt jump shot from 13 ft,47-46, ,,2,46,47,-1,1276.0
2:42.0, ,47-46,Defensive rebound by Team,,2,46,47,-1,1278.0
2:25.0, ,47-48,D. Murray makes 2-pt jump shot from 7 ft,Lead change,2,48,47,1,1295.0
2:08.0,C. Johnson makes 2-pt jump shot from 13 ft,49-48, ,Lead change,2,48,49,-1,1312.0
1:53.0, ,49-50,C. Capela makes 2-pt layup from 2 ft (assist by T. Young),Lead change,2,50,49,1,1327.0
1:41.0,C. Johnson misses 3-pt jump shot from 26 ft,49-50, ,,2,50,49,1,1339.0
1:39.0, ,49-50,Defensive rebound by C. Capela,,2,50,49,1,1341.0
1:35.0, ,49-50,Turnover by S. Bey (traveling),,2,50,49,1,1345.0
1:35.0,N. Claxton enters the game for D. Sharpe,49-50, ,,2,50,49,1,1345.0
1:27.0,S. Dinwiddie misses 2-pt layup from 3 ft,49-50, ,,2,50,49,1,1353.0
1:26.0,Offensive rebound by S. Dinwiddie,49-50, ,,2,50,49,1,1354.0
1:25.0,S. Dinwiddie misses 2-pt layup from 5 ft,49-50, ,,2,50,49,1,1355.0
1:25.0,Offensive rebound by N. Claxton,49-50, ,,2,50,49,1,1355.0
1:18.0,N. Claxton makes 2-pt layup at rim,51-50, ,Lead change,2,50,51,-1,1362.0
1:10.0, ,51-52,C. Capela makes 2-pt dunk from 1 ft (assist by D. Murray),Lead change,2,52,51,1,1370.0
0:44.0,S. Dinwiddie misses 2-pt jump shot from 6 ft,51-52, ,,2,52,51,1,1396.0
0:41.0, ,51-52,Defensive rebound by D. Murray,,2,52,51,1,1399.0
0:35.0, ,51-54,D. Murray makes 2-pt jump shot from 10 ft,,2,54,51,3,1405.0
0:31.0,Personal foul by C. Capela (drawn by S. Dinwiddie),51-54, ,,2,54,51,3,1409.0
0:22.0,D. Finney-Smith makes 2-pt dunk from 2 ft (assist by M. Bridges),53-54, ,,2,54,53,1,1418.0
0:00.0, ,53-56,D. Hunter makes 2-pt jump shot from 11 ft (assist by T. Young),,2,56,53,3,1440.0
0:00.0,End of 2nd quarter,53-56,,,2,56,53,3,1440.0
12:00.0,Start of 3rd quarter,53-56,,,3,56,53,3,1440.0
11:46.0,C. Johnson makes 2-pt layup from 1 ft (assist by N. Claxton),55-56, ,,3,56,55,1,1454.0
11:28.0, ,55-56,S. Bey misses 2-pt jump shot from 12 ft,,3,56,55,1,1472.0
11:25.0,Defensive rebound by N. Claxton,55-56, ,,3,56,55,1,1475.0
11:19.0,C. Thomas makes 2-pt jump shot from 10 ft (assist by N. Claxton),57-56, ,Lead change,3,56,57,-1,1481.0
11:04.0, ,57-56,D. Hunter misses 3-pt jump shot from 23 ft,,3,56,57,-1,1496.0
11:02.0, ,57-56,Offensive rebound by C. Capela,,3,56,57,-1,1498.0
10:57.0, ,57-58,T. Young makes 2-pt layup from 3 ft (assist by C. Capela),Lead change,3,58,57,1,1503.0
10:46.0,Personal foul by D. Murray (drawn by N. Claxton),57-58, ,,3,58,57,1,1514.0
10:38.0,M. Bridges misses 2-pt jump shot from 12 ft,57-58, ,,3,58,57,1,1522.0
10:36.0, ,57-58,Defensive rebound by D. Murray,,3,58,57,1,1524.0
10:31.0, ,57-58,D. Murray misses 3-pt jump shot from 26 ft,,3,58,57,1,1529.0
10:27.0,Defensive rebound by M. Bridges,57-58, ,,3,58,57,1,1533.0
10:21.0,M. Bridges misses 2-pt jump shot from 11 ft,57-58, ,,3,58,57,1,1539.0
10:18.0, ,57-58,Defensive rebound by C. Capela,,3,58,57,1,1542.0
10:18.0, ,57-58,Turnover by C. Capela (lost ball; steal by C. Johnson),,3,58,57,1,1542.0
10:15.0,Personal foul by D. Hunter (drawn by C. Thomas),57-58, ,,3,58,57,1,1545.0
9:58.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,57-58, ,,3,58,57,1,1562.0
9:54.0, ,57-58,Defensive rebound by D. Murray,,3,58,57,1,1566.0
9:48.0, ,57-60,D. Hunter makes 2-pt jump shot from 13 ft (assist by D. Murray),,3,60,57,3,1572.0
9:31.0,Personal foul by T. Young (drawn by S. Dinwiddie),57-60, ,,3,60,57,3,1589.0
9:24.0,M. Bridges makes 3-pt jump shot from 23 ft (assist by C. Thomas),60-60, ,Tie,3,60,60,0,1596.0
9:09.0, ,60-60,Personal foul by C. Thomas (drawn by S. Bey),,3,60,60,0,1611.0
9:04.0, ,60-63,D. Hunter makes 3-pt jump shot from 25 ft (assist by T. Young),,3,63,60,3,1616.0
8:51.0,Turnover by S. Dinwiddie (bad pass),60-63, ,,3,63,60,3,1629.0
8:44.0, ,60-63,T. Young misses 2-pt jump shot from 7 ft (block by N. Claxton),,3,63,60,3,1636.0
8:39.0,Defensive rebound by C. Johnson,60-63, ,,3,63,60,3,1641.0
8:36.0,M. Bridges misses 3-pt jump shot from 23 ft,60-63, ,,3,63,60,3,1644.0
8:33.0, ,60-63,Defensive rebound by D. Murray,,3,63,60,3,1647.0
