Time,Utah,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:11.0,Instant Replay (Challenge: Ruling Stands),38-47, ,,2,47,38,9,1309.0
1:51.0,L. Markkanen misses 2-pt hook shot from 9 ft,38-47, ,,2,47,38,9,1329.0
1:47.0,Offensive rebound by W. Kessler,38-47, ,,2,47,38,9,1333.0
1:39.0,C. Sexton makes 2-pt layup from 2 ft (assist by K. George),40-47, ,,2,47,40,7,1341.0
1:39.0,Shooting foul by D. Hunter (drawn by C. Sexton),40-47, ,,2,47,40,7,1341.0
1:39.0,C. Sexton makes free throw 1 of 1,41-47, ,,2,47,41,6,1341.0
1:28.0, ,41-50,J. Johnson makes 3-pt jump shot from 28 ft (assist by D. Murray),,2,50,41,9,1352.0
1:04.0,W. Kessler misses 2-pt layup from 1 ft (block by D. Murray),41-50, ,,2,50,41,9,1376.0
0:58.0,Offensive rebound by W. Kessler,41-50, ,,2,50,41,9,1382.0
0:58.0,W. Kessler makes 2-pt layup at rim,43-50, ,,2,50,43,7,1382.0
0:46.0, ,43-50,J. Johnson misses 3-pt jump shot from 27 ft,,2,50,43,7,1394.0
0:42.0,Defensive rebound by W. Kessler,43-50, ,,2,50,43,7,1398.0
0:34.0,K. George misses 2-pt layup from 1 ft,43-50, ,,2,50,43,7,1406.0
0:31.0, ,43-50,Defensive rebound by J. Johnson,,2,50,43,7,1409.0
0:29.0, ,43-50,Shooting foul by C. Sexton (drawn by D. Hunter),,2,50,43,7,1411.0
0:29.0, ,43-51,D. Hunter makes free throw 1 of 2,,2,51,43,8,1411.0
0:29.0, ,43-51,C. Capela enters the game for J. Johnson,,2,51,43,8,1411.0
0:29.0, ,43-52,D. Hunter makes free throw 2 of 2,,2,52,43,9,1411.0
0:23.0,Shooting foul by C. Capela (drawn by L. Markkanen),43-52, ,,2,52,43,9,1417.0
0:23.0,L. Markkanen misses free throw 1 of 2,43-52, ,,2,52,43,9,1417.0
0:23.0,Offensive rebound by Team,43-52, ,,2,52,43,9,1417.0
0:23.0,K. Dunn enters the game for J. Clarkson,43-52, ,,2,52,43,9,1417.0
0:23.0, ,43-52,J. Johnson enters the game for C. Capela,,2,52,43,9,1417.0
0:23.0,L. Markkanen makes free throw 2 of 2,44-52, ,,2,52,44,8,1417.0
0:01.0, ,44-55,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by J. Johnson),,2,55,44,11,1439.0
0:00.0,End of 2nd quarter,44-55,,,2,55,44,11,1440.0
12:00.0,Start of 3rd quarter,44-55,,,3,55,44,11,1440.0
11:46.0, ,44-58,D. Murray makes 3-pt jump shot from 25 ft (assist by J. Johnson),,3,58,44,14,1454.0
11:29.0,K. George misses 2-pt layup from 4 ft,44-58, ,,3,58,44,14,1471.0
11:27.0, ,44-58,Defensive rebound by C. Capela,,3,58,44,14,1473.0
11:22.0, ,44-60,S. Bey makes 2-pt layup from 1 ft (assist by J. Johnson),,3,60,44,16,1478.0
11:16.0,J. Collins makes 2-pt layup from 2 ft (assist by C. Sexton),46-60, ,,3,60,46,14,1484.0
11:16.0,Shooting foul by C. Capela (drawn by J. Collins),46-60, ,,3,60,46,14,1484.0
11:16.0,J. Collins makes free throw 1 of 1,47-60, ,,3,60,47,13,1484.0
11:06.0, ,47-60,S. Bey misses 2-pt jump shot from 14 ft,,3,60,47,13,1494.0
11:02.0,Defensive rebound by K. George,47-60, ,,3,60,47,13,1498.0
10:56.0,J. Collins misses 2-pt layup from 3 ft,47-60, ,,3,60,47,13,1504.0
10:54.0, ,47-60,Defensive rebound by J. Johnson,,3,60,47,13,1506.0
10:52.0, ,47-60,S. Bey misses 2-pt layup from 4 ft,,3,60,47,13,1508.0
10:51.0, ,47-60,Offensive rebound by Team,,3,60,47,13,1509.0
10:51.0, ,47-60,Turnover by S. Bey (traveling),,3,60,47,13,1509.0
10:35.0,T. Hendricks misses 2-pt layup from 7 ft,47-60, ,,3,60,47,13,1525.0
10:31.0, ,47-60,Defensive rebound by J. Johnson,,3,60,47,13,1529.0
10:25.0, ,47-60,Turnover by J. Johnson (bad pass; steal by T. Hendricks),,3,60,47,13,1535.0
10:20.0,L. Markkanen misses 2-pt layup from 3 ft (block by B. Bogdanović),47-60, ,,3,60,47,13,1540.0
10:17.0,Offensive rebound by J. Collins,47-60, ,,3,60,47,13,1543.0
10:13.0,L. Markkanen misses 3-pt jump shot from 25 ft,47-60, ,,3,60,47,13,1547.0
10:09.0,Offensive rebound by J. Collins,47-60, ,,3,60,47,13,1551.0
10:07.0,K. George makes 3-pt jump shot from 26 ft (assist by J. Collins),50-60, ,,3,60,50,10,1553.0
9:52.0, ,50-60,Shooting foul by T. Hendricks (drawn by C. Capela),,3,60,50,10,1568.0
9:52.0, ,50-60,C. Capela misses free throw 1 of 2,,3,60,50,10,1568.0
9:52.0, ,50-60,Offensive rebound by Team,,3,60,50,10,1568.0
9:52.0, ,50-61,C. Capela makes free throw 2 of 2,,3,61,50,11,1568.0
9:43.0,K. George makes 3-pt jump shot from 26 ft,53-61, ,,3,61,53,8,1577.0
9:26.0, ,53-61,Shooting foul by J. Collins (drawn by J. Johnson),,3,61,53,8,1594.0
9:26.0, ,53-62,J. Johnson makes free throw 1 of 2,,3,62,53,9,1594.0
9:26.0, ,53-63,J. Johnson makes free throw 2 of 2,,3,63,53,10,1594.0
9:06.0,T. Hendricks misses 2-pt hook shot from 10 ft,53-63, ,,3,63,53,10,1614.0
9:05.0, ,53-63,Defensive rebound by Team,,3,63,53,10,1615.0
8:56.0, ,53-63,D. Murray misses 2-pt jump shot from 5 ft,,3,63,53,10,1624.0
8:51.0, ,53-63,Offensive rebound by C. Capela,,3,63,53,10,1629.0
8:51.0, ,53-63,C. Capela misses 2-pt layup from 3 ft,,3,63,53,10,1629.0
8:50.0,Defensive rebound by T. Hendricks,53-63, ,,3,63,53,10,1630.0
8:38.0,K. George misses 3-pt jump shot from 27 ft,53-63, ,,3,63,53,10,1642.0
8:35.0, ,53-63,Defensive rebound by J. Johnson,,3,63,53,10,1645.0
8:34.0, ,53-63,Turnover by J. Johnson (bad pass; steal by C. Sexton),,3,63,53,10,1646.0
8:30.0,C. Sexton makes 3-pt jump shot from 26 ft,56-63, ,,3,63,56,7,1650.0
8:30.0, ,56-63,Atlanta full timeout,,3,63,56,7,1650.0
8:13.0, ,56-66,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by J. Johnson),,3,66,56,10,1667.0
7:52.0,C. Sexton misses 2-pt jump shot from 13 ft,56-66, ,,3,66,56,10,1688.0
7:50.0, ,56-66,Defensive rebound by J. Johnson,,3,66,56,10,1690.0
7:43.0, ,56-66,Turnover by J. Johnson (bad pass),,3,66,56,10,1697.0
7:28.0,Utah full timeout,56-66, ,,3,66,56,10,1712.0
7:20.0,C. Sexton misses 2-pt layup from 3 ft (block by B. Bogdanović),56-66, ,,3,66,56,10,1720.0
7:19.0,Offensive rebound by Team,56-66, ,,3,66,56,10,1721.0
7:19.0,Turnover by Team (shot clock),56-66, ,,3,66,56,10,1721.0
7:09.0, ,56-66,B. Bogdanović misses 3-pt jump shot from 25 ft,,3,66,56,10,1731.0
