Time,LA Lakers,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:41.0,Defensive rebound by R. Hachimura,39-46, ,,2,46,39,7,1099.0
5:36.0,L. James makes 2-pt layup from 1 ft,41-46, ,,2,46,41,5,1104.0
5:23.0, ,41-48,T. Young makes 2-pt jump shot from 12 ft (assist by D. Murray),,2,48,41,7,1117.0
5:10.0,Turnover by L. James (bad pass; steal by S. Bey),41-48, ,,2,48,41,7,1130.0
5:07.0, ,41-48,Shooting foul by D. Russell (drawn by J. Johnson),,2,48,41,7,1133.0
5:07.0, ,41-49,J. Johnson makes free throw 1 of 2,,2,49,41,8,1133.0
5:07.0,A. Reaves enters the game for D. Russell,41-49, ,,2,49,41,8,1133.0
5:07.0, ,41-50,J. Johnson makes free throw 2 of 2,,2,50,41,9,1133.0
4:51.0,Personal foul by S. Bey (drawn by J. Hayes),41-50, ,,2,50,41,9,1149.0
4:36.0,R. Hachimura makes 2-pt layup from 2 ft (assist by A. Reaves),43-50, ,,2,50,43,7,1164.0
4:25.0, ,43-53,T. Young makes 3-pt jump shot from 25 ft,,2,53,43,10,1175.0
4:11.0,J. Hayes makes 2-pt dunk from 1 ft (assist by L. James),45-53, ,,2,53,45,8,1189.0
3:55.0, ,45-53,Turnover by T. Young (bad pass; steal by J. Hayes),,2,53,45,8,1205.0
3:43.0,A. Reaves makes 2-pt layup from 1 ft,47-53, ,,2,53,47,6,1217.0
3:43.0, ,47-53,Violation by Team (def goaltending),,2,53,47,6,1217.0
3:33.0, ,47-55,D. Murray makes 2-pt jump shot from 4 ft,,2,55,47,8,1227.0
3:22.0,L. James makes 2-pt dunk from 1 ft (assist by A. Reaves),49-55, ,,2,55,49,6,1238.0
3:08.0, ,49-55,Turnover by T. Young (lost ball; steal by A. Reaves),,2,55,49,6,1252.0
3:04.0,Offensive foul by J. Hayes (drawn by C. Capela),49-55, ,,2,55,49,6,1256.0
3:04.0,Turnover by J. Hayes (offensive foul),49-55, ,,2,55,49,6,1256.0
3:04.0,J. Vanderbilt enters the game for L. James,49-55, ,,2,55,49,6,1256.0
2:48.0, ,49-58,T. Young makes 3-pt jump shot from 25 ft (assist by D. Murray),,2,58,49,9,1272.0
2:31.0,Personal foul by D. Murray (drawn by A. Reaves),49-58, ,,2,58,49,9,1289.0
2:31.0,LA Lakers full timeout,49-58, ,,2,58,49,9,1289.0
2:31.0,A. Reaves misses free throw 1 of 2,49-58, ,,2,58,49,9,1289.0
2:31.0,Offensive rebound by Team,49-58, ,,2,58,49,9,1289.0
2:31.0,A. Reaves misses free throw 2 of 2,49-58, ,,2,58,49,9,1289.0
2:29.0, ,49-58,Defensive rebound by C. Capela,,2,58,49,9,1291.0
2:16.0, ,49-61,S. Bey makes 3-pt jump shot from 26 ft (assist by T. Young),,2,61,49,12,1304.0
1:59.0,T. Prince makes 3-pt jump shot from 26 ft (assist by A. Reaves),52-61, ,,2,61,52,9,1321.0
1:43.0, ,52-61,T. Young misses 2-pt layup from 5 ft,,2,61,52,9,1337.0
1:38.0, ,52-61,Offensive rebound by C. Capela,,2,61,52,9,1342.0
1:38.0, ,52-61,C. Capela misses 2-pt layup at rim,,2,61,52,9,1342.0
1:37.0, ,52-61,Offensive rebound by C. Capela,,2,61,52,9,1343.0
1:37.0, ,52-63,C. Capela makes 2-pt layup at rim,,2,63,52,11,1343.0
1:24.0,T. Prince makes 2-pt jump shot from 12 ft (assist by A. Reaves),54-63, ,,2,63,54,9,1356.0
1:08.0, ,54-63,J. Johnson misses 2-pt jump shot from 11 ft,,2,63,54,9,1372.0
1:07.0, ,54-63,Offensive rebound by C. Capela,,2,63,54,9,1373.0
1:07.0, ,54-63,Personal foul by J. Hayes (drawn by C. Capela),,2,63,54,9,1373.0
1:01.0, ,54-63,Shooting foul by T. Prince (drawn by S. Bey),,2,63,54,9,1379.0
1:01.0, ,54-64,S. Bey makes free throw 1 of 2,,2,64,54,10,1379.0
1:01.0, ,54-65,S. Bey makes free throw 2 of 2,,2,65,54,11,1379.0
0:41.0,Offensive foul by J. Hayes (drawn by T. Young),54-65, ,,2,65,54,11,1399.0
0:41.0,Turnover by J. Hayes (offensive foul),54-65, ,,2,65,54,11,1399.0
0:27.0, ,54-67,D. Murray makes 2-pt jump shot from 11 ft,,2,67,54,13,1413.0
0:07.0,A. Reaves makes 2-pt layup from 1 ft,56-67, ,,2,67,56,11,1433.0
0:00.0, ,56-67,Turnover by C. Capela (lost ball; steal by R. Hachimura),,2,67,56,11,1440.0
0:00.0,End of 2nd quarter,56-67,,,2,67,56,11,1440.0
12:00.0,Start of 3rd quarter,56-67,,,3,67,56,11,1440.0
11:40.0,Turnover by L. James (lost ball; steal by J. Johnson),56-67, ,,3,67,56,11,1460.0
11:36.0, ,56-67,Turnover by D. Murray (bad pass; steal by J. Hayes),,3,67,56,11,1464.0
11:34.0,Turnover by T. Prince (bad pass; steal by D. Murray),56-67, ,,3,67,56,11,1466.0
11:26.0, ,56-69,C. Capela makes 2-pt dunk at rim,,3,69,56,13,1474.0
11:12.0,L. James misses 2-pt jump shot from 11 ft,56-69, ,,3,69,56,13,1488.0
11:11.0, ,56-69,Defensive rebound by Team,,3,69,56,13,1489.0
10:56.0, ,56-71,D. Murray makes 2-pt jump shot from 12 ft (assist by C. Capela),,3,71,56,15,1504.0
10:36.0,J. Hayes misses 2-pt layup from 3 ft (block by C. Capela),56-71, ,,3,71,56,15,1524.0
10:33.0, ,56-71,Defensive rebound by D. Murray,,3,71,56,15,1527.0
10:30.0, ,56-73,J. Johnson makes 2-pt dunk from 1 ft (assist by T. Young),,3,73,56,17,1530.0
10:25.0,LA Lakers full timeout,56-73, ,,3,73,56,17,1535.0
10:11.0,D. Russell misses 2-pt layup from 4 ft,56-73, ,,3,73,56,17,1549.0
10:07.0,Offensive rebound by L. James,56-73, ,,3,73,56,17,1553.0
10:07.0,L. James misses 2-pt layup at rim,56-73, ,,3,73,56,17,1553.0
10:06.0,Offensive rebound by J. Hayes,56-73, ,,3,73,56,17,1554.0
9:59.0,A. Reaves makes 2-pt jump shot from 17 ft,58-73, ,,3,73,58,15,1561.0
9:43.0, ,58-76,T. Young makes 3-pt jump shot from 25 ft,,3,76,58,18,1577.0
9:35.0,Turnover by L. James (bad pass; steal by C. Capela),58-76, ,,3,76,58,18,1585.0
9:30.0, ,58-76,S. Bey misses 3-pt jump shot from 23 ft,,3,76,58,18,1590.0
9:26.0, ,58-76,Offensive rebound by J. Johnson,,3,76,58,18,1594.0
9:26.0, ,58-78,J. Johnson makes 2-pt layup at rim,,3,78,58,20,1594.0
9:14.0,L. James misses 2-pt jump shot from 21 ft,58-78, ,,3,78,58,20,1606.0
9:11.0, ,58-78,Defensive rebound by C. Capela,,3,78,58,20,1609.0
9:00.0, ,58-78,C. Capela misses 2-pt layup from 1 ft,,3,78,58,20,1620.0
