Time,Atlanta,Score,Denver,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:47.0,J. Johnson misses 2-pt jump shot from 12 ft,46-59, ,,2,46,59,-13,1213.0
3:44.0, ,46-59,Defensive rebound by N. Jokić,,2,46,59,-13,1216.0
3:39.0, ,46-59,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,2,46,59,-13,1221.0
3:37.0,Defensive rebound by C. Capela,46-59, ,,2,46,59,-13,1223.0
3:23.0,Shooting foul by M. Porter (drawn by B. Bogdanović),46-59, ,,2,46,59,-13,1237.0
3:23.0,B. Bogdanović makes free throw 1 of 2,47-59, ,,2,47,59,-12,1237.0
3:23.0, ,47-59,P. Watson enters the game for M. Porter,,2,47,59,-12,1237.0
3:23.0,B. Bogdanović makes free throw 2 of 2,48-59, ,,2,48,59,-11,1237.0
3:06.0, ,48-59,Offensive foul by K. Caldwell-Pope (drawn by D. Murray),,2,48,59,-11,1254.0
3:06.0, ,48-59,Turnover by K. Caldwell-Pope (offensive foul),,2,48,59,-11,1254.0
3:00.0,Shooting foul by C. Braun (drawn by C. Capela),48-59, ,,2,48,59,-11,1260.0
3:00.0,C. Capela makes free throw 1 of 2,49-59, ,,2,49,59,-10,1260.0
3:00.0,C. Capela makes free throw 2 of 2,50-59, ,,2,50,59,-9,1260.0
2:47.0, ,50-61,P. Watson makes 2-pt layup from 1 ft (assist by J. Murray),,2,50,61,-11,1273.0
2:32.0,D. Murray makes 3-pt jump shot from 25 ft (assist by D. Hunter),53-61, ,,2,53,61,-8,1288.0
2:23.0, ,53-64,J. Murray makes 3-pt jump shot from 26 ft,,2,53,64,-11,1297.0
2:13.0,Turnover by D. Murray (step out of bounds),53-64, ,,2,53,64,-11,1307.0
2:02.0, ,53-64,N. Jokić misses 2-pt jump shot from 14 ft,,2,53,64,-11,1318.0
2:00.0,Defensive rebound by C. Capela,53-64, ,,2,53,64,-11,1320.0
1:54.0,B. Bogdanović misses 2-pt jump shot from 24 ft,53-64, ,,2,53,64,-11,1326.0
1:49.0, ,53-64,Defensive rebound by J. Murray,,2,53,64,-11,1331.0
1:44.0, ,53-64,J. Murray misses 2-pt layup from 2 ft,,2,53,64,-11,1336.0
1:43.0,Defensive rebound by Team,53-64, ,,2,53,64,-11,1337.0
1:32.0,D. Hunter misses 3-pt jump shot from 23 ft,53-64, ,,2,53,64,-11,1348.0
1:29.0, ,53-64,Defensive rebound by N. Jokić,,2,53,64,-11,1351.0
1:17.0, ,53-64,Turnover by K. Caldwell-Pope (bad pass),,2,53,64,-11,1363.0
1:10.0,Offensive foul by C. Capela (drawn by P. Watson),53-64, ,,2,53,64,-11,1370.0
1:10.0,Turnover by C. Capela (offensive foul),53-64, ,,2,53,64,-11,1370.0
1:07.0, ,53-66,K. Caldwell-Pope makes 2-pt dunk from 1 ft (assist by N. Jokić),,2,53,66,-13,1373.0
