Time,San Antonio,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:52.0,Defensive rebound by V. Wembanyama,20-51, ,,2,51,20,31,1088.0
5:47.0,D. McDermott makes 3-pt jump shot from 23 ft (assist by T. Jones),23-51, ,,2,51,23,28,1093.0
5:46.0, ,23-51,Atlanta full timeout,,2,51,23,28,1094.0
5:46.0,D. Barlow enters the game for D. Vassell,23-51, ,,2,51,23,28,1094.0
5:46.0,K. Johnson enters the game for V. Wembanyama,23-51, ,,2,51,23,28,1094.0
5:46.0, ,23-51,C. Capela enters the game for B. Bogdanović,,2,51,23,28,1094.0
5:46.0, ,23-51,J. Johnson enters the game for T. Forrest,,2,51,23,28,1094.0
5:46.0, ,23-51,T. Young enters the game for O. Okongwu,,2,51,23,28,1094.0
5:38.0, ,23-51,Offensive foul by D. Murray (drawn by J. Sochan),,2,51,23,28,1102.0
5:38.0, ,23-51,Turnover by D. Murray (offensive foul),,2,51,23,28,1102.0
5:30.0,J. Sochan makes 2-pt layup from 2 ft,25-51, ,,2,51,25,26,1110.0
5:30.0,Shooting foul by S. Bey (drawn by J. Sochan),25-51, ,,2,51,25,26,1110.0
5:30.0,M. Branham enters the game for T. Jones,25-51, ,,2,51,25,26,1110.0
5:30.0,J. Sochan makes free throw 1 of 1,26-51, ,,2,51,26,25,1110.0
5:20.0, ,26-51,C. Capela misses 2-pt layup from 2 ft,,2,51,26,25,1120.0
5:18.0,Defensive rebound by D. Barlow,26-51, ,,2,51,26,25,1122.0
5:02.0,Turnover by K. Johnson (lost ball; steal by J. Johnson),26-51, ,,2,51,26,25,1138.0
4:57.0, ,26-51,Turnover by J. Johnson (bad pass; steal by D. Barlow),,2,51,26,25,1143.0
4:56.0,Personal foul by J. Johnson (drawn by D. Barlow),26-51, ,,2,51,26,25,1144.0
4:56.0,D. Barlow misses free throw 1 of 2,26-51, ,,2,51,26,25,1144.0
4:56.0,Offensive rebound by Team,26-51, ,,2,51,26,25,1144.0
4:56.0,D. Barlow makes free throw 2 of 2,27-51, ,,2,51,27,24,1144.0
4:43.0, ,27-51,D. Murray misses 2-pt jump shot from 16 ft,,2,51,27,24,1157.0
4:40.0,Defensive rebound by D. McDermott,27-51, ,,2,51,27,24,1160.0
4:34.0,K. Johnson misses 2-pt layup from 2 ft (block by C. Capela),27-51, ,,2,51,27,24,1166.0
4:30.0, ,27-51,Defensive rebound by D. Murray,,2,51,27,24,1170.0
4:26.0, ,27-54,T. Young makes 3-pt jump shot from 25 ft,,2,54,27,27,1174.0
4:07.0,D. Barlow misses 2-pt jump shot from 13 ft,27-54, ,,2,54,27,27,1193.0
4:05.0,Offensive rebound by J. Sochan,27-54, ,,2,54,27,27,1195.0
4:00.0,J. Sochan misses 2-pt jump shot from 12 ft,27-54, ,,2,54,27,27,1200.0
3:57.0, ,27-54,Defensive rebound by C. Capela,,2,54,27,27,1203.0
3:51.0, ,27-56,T. Young makes 2-pt layup from 8 ft,,2,56,27,29,1209.0
3:51.0, ,27-56,Shooting foul by M. Branham (drawn by T. Young),,2,56,27,29,1209.0
3:51.0,D. Vassell enters the game for D. McDermott,27-56, ,,2,56,27,29,1209.0
3:51.0, ,27-57,T. Young makes free throw 1 of 1,,2,57,27,30,1209.0
3:31.0,J. Sochan makes 3-pt jump shot from 25 ft (assist by D. Vassell),30-57, ,,2,57,30,27,1229.0
3:14.0, ,30-57,Shooting foul by J. Sochan (drawn by T. Young),,2,57,30,27,1246.0
3:14.0, ,30-58,T. Young makes free throw 1 of 2,,2,58,30,28,1246.0
3:14.0, ,30-59,T. Young makes free throw 2 of 2,,2,59,30,29,1246.0
2:57.0,D. Barlow misses 2-pt layup from 4 ft,30-59, ,,2,59,30,29,1263.0
2:55.0, ,30-59,Defensive rebound by T. Young,,2,59,30,29,1265.0
2:49.0, ,30-59,S. Bey misses 3-pt jump shot from 23 ft,,2,59,30,29,1271.0
2:47.0,Defensive rebound by D. Barlow,30-59, ,,2,59,30,29,1273.0
2:43.0,M. Branham misses 2-pt layup from 2 ft (block by T. Young),30-59, ,,2,59,30,29,1277.0
2:40.0, ,30-59,Defensive rebound by D. Murray,,2,59,30,29,1280.0
2:36.0, ,30-61,J. Johnson makes 2-pt dunk from 1 ft (assist by T. Young),,2,61,30,31,1284.0
2:24.0,M. Branham makes 2-pt jump shot from 13 ft,32-61, ,,2,61,32,29,1296.0
2:08.0, ,32-63,C. Capela makes 2-pt dunk from 1 ft (assist by T. Young),,2,63,32,31,1312.0
1:56.0,Turnover by K. Johnson (bad pass; steal by J. Johnson),32-63, ,,2,63,32,31,1324.0
1:51.0, ,32-65,J. Johnson makes 2-pt layup from 1 ft,,2,65,32,33,1329.0
1:42.0,M. Branham makes 2-pt layup from 2 ft,34-65, ,,2,65,34,31,1338.0
1:24.0, ,34-65,Personal foul by D. Barlow (drawn by C. Capela),,2,65,34,31,1356.0
1:24.0,S. Mamukelashvili enters the game for D. Barlow,34-65, ,,2,65,34,31,1356.0
1:24.0,B. Wesley enters the game for K. Johnson,34-65, ,,2,65,34,31,1356.0
1:16.0, ,34-65,T. Young misses 3-pt jump shot from 29 ft,,2,65,34,31,1364.0
1:12.0,Defensive rebound by D. Vassell,34-65, ,,2,65,34,31,1368.0
1:00.0,J. Sochan misses 3-pt jump shot from 26 ft,34-65, ,,2,65,34,31,1380.0
0:58.0, ,34-65,Defensive rebound by D. Murray,,2,65,34,31,1382.0
0:53.0, ,34-65,D. Murray misses 2-pt jump shot from 10 ft,,2,65,34,31,1387.0
0:51.0, ,34-65,Offensive rebound by S. Bey,,2,65,34,31,1389.0
0:51.0, ,34-67,S. Bey makes 2-pt layup at rim,,2,67,34,33,1389.0
0:28.0,S. Mamukelashvili misses 3-pt jump shot from 26 ft (block by C. Capela),34-67, ,,2,67,34,33,1412.0
0:27.0,Offensive rebound by Team,34-67, ,,2,67,34,33,1413.0
0:27.0,Turnover by Team (shot clock),34-67, ,,2,67,34,33,1413.0
0:05.0, ,34-69,T. Young makes 2-pt jump shot from 10 ft,,2,69,34,35,1435.0
0:01.0,B. Wesley misses 3-pt jump shot from 37 ft,34-69, ,,2,69,34,35,1439.0
0:00.0, ,34-69,Defensive rebound by C. Capela,,2,69,34,35,1440.0
0:00.0,End of 2nd quarter,34-69,,,2,69,34,35,1440.0
12:00.0,Start of 3rd quarter,34-69,,,3,69,34,35,1440.0
11:46.0,B. Wesley makes 2-pt jump shot from 2 ft,36-69, ,,3,69,36,33,1454.0
11:36.0, ,36-69,Turnover by  (8 sec),,3,69,36,33,1464.0
11:36.0, ,36-69,Violation by Team (delay of game),,3,69,36,33,1464.0
11:24.0,J. Sochan misses 2-pt jump shot from 8 ft,36-69, ,,3,69,36,33,1476.0
11:21.0, ,36-69,Defensive rebound by J. Johnson,,3,69,36,33,1479.0
11:07.0,Violation by Team (kicked ball),36-69, ,,3,69,36,33,1493.0
10:52.0, ,36-69,Turnover by Team (shot clock),,3,69,36,33,1508.0
10:33.0,B. Wesley misses 3-pt jump shot from 25 ft,36-69, ,,3,69,36,33,1527.0
10:29.0, ,36-69,Defensive rebound by J. Johnson,,3,69,36,33,1531.0
10:29.0, ,36-69,Turnover by J. Johnson (lost ball; steal by J. Champagnie),,3,69,36,33,1531.0
10:25.0,C. Osman misses 3-pt jump shot from 26 ft,36-69, ,,3,69,36,33,1535.0
10:22.0,Offensive rebound by B. Wesley,36-69, ,,3,69,36,33,1538.0
10:21.0,J. Champagnie makes 3-pt jump shot from 26 ft (assist by B. Wesley),39-69, ,,3,69,39,30,1539.0
10:19.0, ,39-69,Atlanta full timeout,,3,69,39,30,1541.0
10:08.0, ,39-69,T. Young misses 3-pt jump shot from 25 ft,,3,69,39,30,1552.0
10:04.0,Defensive rebound by C. Osman,39-69, ,,3,69,39,30,1556.0
10:02.0,Turnover by B. Wesley (bad pass),39-69, ,,3,69,39,30,1558.0
9:54.0, ,39-69,D. Murray misses 3-pt jump shot from 25 ft,,3,69,39,30,1566.0
9:51.0,Defensive rebound by B. Wesley,39-69, ,,3,69,39,30,1569.0
9:40.0,Shooting foul by D. Murray (drawn by J. Sochan),39-69, ,,3,69,39,30,1580.0
9:40.0,J. Sochan makes free throw 1 of 2,40-69, ,,3,69,40,29,1580.0
9:40.0,J. Sochan makes free throw 2 of 2,41-69, ,,3,69,41,28,1580.0
9:25.0, ,41-69,J. Johnson misses 2-pt jump shot from 5 ft,,3,69,41,28,1595.0
9:23.0,Defensive rebound by Team,41-69, ,,3,69,41,28,1597.0
9:08.0,J. Champagnie makes 3-pt jump shot from 26 ft (assist by J. Sochan),44-69, ,,3,69,44,25,1612.0
8:49.0, ,44-69,Shooting foul by C. Osman (drawn by S. Bey),,3,69,44,25,1631.0
8:49.0, ,44-70,S. Bey makes free throw 1 of 2,,3,70,44,26,1631.0
8:49.0, ,44-71,S. Bey makes free throw 2 of 2,,3,71,44,27,1631.0
8:38.0,Offensive foul by C. Osman (drawn by D. Murray),44-71, ,,3,71,44,27,1642.0
8:38.0,Turnover by C. Osman (offensive foul),44-71, ,,3,71,44,27,1642.0
8:28.0, ,44-71,Personal foul by J. Sochan (drawn by C. Capela),,3,71,44,27,1652.0
8:17.0, ,44-71,T. Young misses 3-pt jump shot from 25 ft,,3,71,44,27,1663.0
8:17.0,Defensive rebound by Team,44-71, ,,3,71,44,27,1663.0
8:17.0, ,44-71,Loose ball foul by S. Bey (drawn by J. Champagnie),,3,71,44,27,1663.0
8:00.0,C. Osman misses 3-pt jump shot from 25 ft,44-71, ,,3,71,44,27,1680.0
7:58.0, ,44-71,Defensive rebound by T. Young,,3,71,44,27,1682.0
7:49.0, ,44-73,C. Capela makes 2-pt layup at rim (assist by T. Young),,3,73,44,29,1691.0
7:38.0,D. Barlow misses 2-pt layup from 2 ft,44-73, ,,3,73,44,29,1702.0
7:33.0,Offensive rebound by J. Sochan,44-73, ,,3,73,44,29,1707.0
7:33.0,J. Sochan misses 2-pt layup at rim (block by C. Capela),44-73, ,,3,73,44,29,1707.0
7:32.0, ,44-73,Defensive rebound by J. Johnson,,3,73,44,29,1708.0
7:26.0, ,44-73,J. Johnson misses 2-pt jump shot from 22 ft,,3,73,44,29,1714.0
7:22.0,Defensive rebound by J. Sochan,44-73, ,,3,73,44,29,1718.0
7:15.0,J. Champagnie makes 3-pt jump shot from 26 ft (assist by D. Barlow),47-73, ,,3,73,47,26,1725.0
7:00.0, ,47-73,T. Young misses 2-pt jump shot from 10 ft,,3,73,47,26,1740.0
7:00.0, ,47-73,Offensive rebound by C. Capela,,3,73,47,26,1740.0
7:00.0, ,47-73,Shooting foul by D. Barlow (drawn by C. Capela),,3,73,47,26,1740.0
7:00.0, ,47-73,C. Capela misses free throw 1 of 2,,3,73,47,26,1740.0
7:00.0, ,47-73,Offensive rebound by Team,,3,73,47,26,1740.0
7:00.0, ,47-73,B. Bogdanović enters the game for J. Johnson,,3,73,47,26,1740.0
7:00.0, ,47-73,T. Forrest enters the game for T. Young,,3,73,47,26,1740.0
7:00.0, ,47-73,C. Capela misses free throw 2 of 2,,3,73,47,26,1740.0
