Time,Denver,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:23.0, ,43-43,Offensive rebound by K. Porziņģis,,2,43,43,0,1057.0
6:21.0, ,43-46,D. White makes 3-pt jump shot from 24 ft (assist by J. Tatum),,2,46,43,3,1059.0
6:01.0,Turnover by J. Murray (bad pass; steal by J. Tatum),43-46, ,,2,46,43,3,1079.0
5:56.0, ,43-48,J. Tatum makes 2-pt dunk at rim,,2,48,43,5,1084.0
5:56.0, ,43-48,Technical foul by J. Tatum,,2,48,43,5,1084.0
5:56.0,J. Murray makes technical free throw,44-48, ,,2,48,44,4,1084.0
5:45.0,Personal foul by D. White (drawn by J. Murray),44-48, ,,2,48,44,4,1095.0
5:40.0,J. Murray misses 2-pt jump shot from 18 ft,44-48, ,,2,48,44,4,1100.0
5:38.0, ,44-48,Defensive rebound by J. Brown,,2,48,44,4,1102.0
5:30.0, ,44-48,Personal foul by P. Watson (drawn by K. Porziņģis),,2,48,44,4,1110.0
5:30.0,A. Gordon enters the game for P. Watson,44-48, ,,2,48,44,4,1110.0
5:25.0, ,44-48,D. White misses 3-pt jump shot from 26 ft,,2,48,44,4,1115.0
5:22.0, ,44-48,Offensive rebound by J. Tatum,,2,48,44,4,1118.0
5:17.0, ,44-50,J. Brown makes 2-pt dunk from 1 ft,,2,50,44,6,1123.0
5:01.0,Personal foul by A. Horford (drawn by N. Jokić),44-50, ,,2,50,44,6,1139.0
4:54.0,Turnover by N. Jokić (lost ball; steal by J. Brown),44-50, ,,2,50,44,6,1146.0
4:49.0, ,44-52,J. Brown makes 2-pt layup from 1 ft,,2,52,44,8,1151.0
4:49.0,Denver full timeout,44-52, ,,2,52,44,8,1151.0
4:33.0,J. Murray makes 2-pt jump shot from 13 ft (assist by N. Jokić),46-52, ,,2,52,46,6,1167.0
4:16.0, ,46-54,K. Porziņģis makes 2-pt layup from 2 ft (assist by D. White),,2,54,46,8,1184.0
4:01.0,N. Jokić misses 2-pt jump shot from 15 ft,46-54, ,,2,54,46,8,1199.0
3:58.0, ,46-54,Defensive rebound by A. Horford,,2,54,46,8,1202.0
3:53.0, ,46-54,J. Tatum misses 2-pt layup from 1 ft,,2,54,46,8,1207.0
3:52.0, ,46-54,Offensive rebound by K. Porziņģis,,2,54,46,8,1208.0
3:52.0, ,46-56,K. Porziņģis makes 2-pt dunk at rim,,2,56,46,10,1208.0
3:42.0,Jump ball: J. Murray vs. J. Brown (M. Porter gains possession),46-56,,,2,56,46,10,1218.0
3:37.0,A. Gordon misses 3-pt jump shot from 24 ft,46-56, ,,2,56,46,10,1223.0
3:35.0, ,46-56,Defensive rebound by J. Tatum,,2,56,46,10,1225.0
3:30.0, ,46-56,Shooting foul by K. Caldwell-Pope (drawn by J. Tatum),,2,56,46,10,1230.0
3:30.0, ,46-57,J. Tatum makes free throw 1 of 2,,2,57,46,11,1230.0
3:30.0, ,46-58,J. Tatum makes free throw 2 of 2,,2,58,46,12,1230.0
3:09.0,Personal foul by D. White (drawn by J. Murray),46-58, ,,2,58,46,12,1251.0
3:07.0,Personal foul by K. Porziņģis (drawn by N. Jokić),46-58, ,,2,58,46,12,1253.0
3:07.0,N. Jokić makes free throw 1 of 2,47-58, ,,2,58,47,11,1253.0
3:07.0,N. Jokić makes free throw 2 of 2,48-58, ,,2,58,48,10,1253.0
2:50.0, ,48-58,A. Horford misses 3-pt jump shot from 24 ft,,2,58,48,10,1270.0
2:47.0,Defensive rebound by N. Jokić,48-58, ,,2,58,48,10,1273.0
2:41.0,J. Murray makes 3-pt jump shot from 27 ft (assist by N. Jokić),51-58, ,,2,58,51,7,1279.0
2:20.0, ,51-58,D. White misses 2-pt jump shot from 9 ft,,2,58,51,7,1300.0
2:17.0, ,51-58,Offensive rebound by D. White,,2,58,51,7,1303.0
2:13.0, ,51-58,J. Brown misses 2-pt jump shot from 11 ft,,2,58,51,7,1307.0
2:11.0,Defensive rebound by N. Jokić,51-58, ,,2,58,51,7,1309.0
2:10.0,Turnover by N. Jokić (lost ball; steal by J. Brown),51-58, ,,2,58,51,7,1310.0
1:59.0, ,51-58,J. Tatum misses 3-pt jump shot from 25 ft,,2,58,51,7,1321.0
1:57.0, ,51-58,Offensive rebound by A. Horford,,2,58,51,7,1323.0
1:54.0, ,51-58,J. Brown misses 3-pt jump shot from 29 ft,,2,58,51,7,1326.0
1:51.0, ,51-58,Offensive rebound by A. Horford,,2,58,51,7,1329.0
1:39.0, ,51-58,J. Tatum misses 3-pt jump shot from 27 ft,,2,58,51,7,1341.0
1:37.0,Defensive rebound by J. Murray,51-58, ,,2,58,51,7,1343.0
1:31.0,J. Murray makes 2-pt layup from 3 ft,53-58, ,,2,58,53,5,1349.0
1:05.0, ,53-58,D. White misses 3-pt jump shot from 23 ft,,2,58,53,5,1375.0
1:01.0,Defensive rebound by A. Gordon,53-58, ,,2,58,53,5,1379.0
0:57.0,J. Murray misses 3-pt jump shot from 26 ft,53-58, ,,2,58,53,5,1383.0
0:53.0, ,53-58,Defensive rebound by K. Porziņģis,,2,58,53,5,1387.0
0:35.0, ,53-61,J. Brown makes 3-pt jump shot from 25 ft (assist by D. White),,2,61,53,8,1405.0
0:16.0,N. Jokić makes 2-pt hook shot from 11 ft,55-61, ,,2,61,55,6,1424.0
0:05.0, ,55-61,Personal foul by N. Jokić (drawn by J. Tatum),,2,61,55,6,1435.0
0:05.0,R. Jackson enters the game for J. Murray,55-61, ,,2,61,55,6,1435.0
0:05.0,P. Watson enters the game for M. Porter,55-61, ,,2,61,55,6,1435.0
0:00.0, ,55-61,J. Tatum misses 3-pt jump shot from 28 ft,,2,61,55,6,1440.0
0:00.0, ,55-61,Offensive rebound by Team,,2,61,55,6,1440.0
0:00.0,End of 2nd quarter,55-61,,,2,61,55,6,1440.0
12:00.0,Start of 3rd quarter,55-61,,,3,61,55,6,1440.0
11:42.0,N. Jokić makes 2-pt jump shot from 15 ft (assist by A. Gordon),57-61, ,,3,61,57,4,1458.0
11:24.0, ,57-61,Shooting foul by A. Gordon (drawn by K. Porziņģis),,3,61,57,4,1476.0
11:24.0, ,57-61,K. Porziņģis misses free throw 1 of 2,,3,61,57,4,1476.0
11:24.0, ,57-61,Offensive rebound by Team,,3,61,57,4,1476.0
11:24.0, ,57-62,K. Porziņģis makes free throw 2 of 2,,3,62,57,5,1476.0
11:11.0,K. Caldwell-Pope misses 2-pt jump shot from 15 ft,57-62, ,,3,62,57,5,1489.0
11:08.0, ,57-62,Defensive rebound by Team,,3,62,57,5,1492.0
10:46.0, ,57-62,J. Brown misses 2-pt jump shot from 19 ft,,3,62,57,5,1514.0
10:44.0,Defensive rebound by A. Gordon,57-62, ,,3,62,57,5,1516.0
10:29.0,Turnover by M. Porter (lost ball; steal by D. White),57-62, ,,3,62,57,5,1531.0
