Time,Boston,Score,San Antonio,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:43.0,Shooting foul by D. Vassell (drawn by J. Brown),70-55, ,,3,70,55,15,1517.0
10:43.0, ,70-55,San Antonio full timeout,,3,70,55,15,1517.0
10:43.0, ,70-55,Instant Replay (Challenge: Ruling Stands),,3,70,55,15,1517.0
10:43.0,J. Brown makes free throw 1 of 2,71-55, ,,3,71,55,16,1517.0
10:43.0,J. Brown makes free throw 2 of 2,72-55, ,,3,72,55,17,1517.0
10:33.0, ,72-55,Turnover by J. Sochan (out of bounds lost ball),,3,72,55,17,1527.0
10:24.0,J. Tatum misses 3-pt jump shot from 26 ft,72-55, ,,3,72,55,17,1536.0
10:19.0,Offensive rebound by A. Horford,72-55, ,,3,72,55,17,1541.0
10:15.0,J. Brown makes 3-pt jump shot from 26 ft,75-55, ,,3,75,55,20,1545.0
9:54.0, ,75-55,J. Sochan misses 3-pt jump shot from 24 ft,,3,75,55,20,1566.0
9:52.0,Defensive rebound by J. Brown,75-55, ,,3,75,55,20,1568.0
9:50.0,D. White makes 2-pt dunk from 1 ft (assist by J. Brown),77-55, ,,3,77,55,22,1570.0
9:50.0, ,77-55,San Antonio full timeout,,3,77,55,22,1570.0
9:31.0, ,77-55,Turnover by V. Wembanyama (bad pass; steal by K. Porziņģis),,3,77,55,22,1589.0
9:18.0,A. Horford misses 3-pt jump shot from 25 ft,77-55, ,,3,77,55,22,1602.0
9:14.0,Offensive rebound by D. White,77-55, ,,3,77,55,22,1606.0
9:05.0,D. White misses 3-pt jump shot from 27 ft,77-55, ,,3,77,55,22,1615.0
9:03.0, ,77-55,Defensive rebound by V. Wembanyama,,3,77,55,22,1617.0
8:51.0, ,77-55,M. Branham misses 3-pt jump shot from 23 ft,,3,77,55,22,1629.0
8:48.0,Defensive rebound by A. Horford,77-55, ,,3,77,55,22,1632.0
8:34.0,J. Brown makes 2-pt dunk from 1 ft (assist by A. Horford),79-55, ,,3,79,55,24,1646.0
8:26.0, ,79-58,D. Vassell makes 3-pt jump shot from 26 ft (assist by J. Sochan),,3,79,58,21,1654.0
8:11.0,J. Tatum misses 3-pt jump shot from 25 ft,79-58, ,,3,79,58,21,1669.0
8:07.0, ,79-58,Defensive rebound by V. Wembanyama,,3,79,58,21,1673.0
8:05.0, ,79-60,V. Wembanyama makes 2-pt dunk from 1 ft,,3,79,60,19,1675.0
