Time,Boston,Score,New Orleans,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:41.0,Offensive rebound by Team,35-42, ,,2,35,42,-7,979.0
7:41.0,J. Brown enters the game for P. Pritchard,35-42, ,,2,35,42,-7,979.0
7:41.0,D. White enters the game for J. Tatum,35-42, ,,2,35,42,-7,979.0
7:41.0, ,35-42,T. Murphy enters the game for C. McCollum,,2,35,42,-7,979.0
7:41.0,X. Tillman makes free throw 2 of 2,36-42, ,,2,36,42,-6,979.0
7:28.0, ,36-42,Turnover by Z. Williamson (bad pass; steal by J. Holiday),,2,36,42,-6,992.0
7:20.0,Turnover by J. Holiday (lost ball; steal by T. Murphy),36-42, ,,2,36,42,-6,1000.0
7:10.0, ,36-42,H. Jones misses 3-pt jump shot from 25 ft,,2,36,42,-6,1010.0
7:06.0, ,36-42,Offensive rebound by D. Daniels,,2,36,42,-6,1014.0
7:05.0, ,36-42,T. Murphy misses 3-pt jump shot from 29 ft,,2,36,42,-6,1015.0
7:02.0,Defensive rebound by J. Brown,36-42, ,,2,36,42,-6,1018.0
6:44.0,J. Brown makes 3-pt jump shot from 27 ft,39-42, ,,2,39,42,-3,1036.0
6:17.0,Jump ball: J. Holiday vs. Z. Williamson (J. Holiday gains possession),39-42,,,2,39,42,-3,1063.0
6:17.0, ,39-42,Turnover by Z. Williamson (lost ball; steal by J. Holiday),,2,39,42,-3,1063.0
6:05.0,Turnover by J. Brown (lost ball; steal by D. Daniels),39-42, ,,2,39,42,-3,1075.0
5:58.0, ,39-42,Z. Williamson misses 2-pt layup from 2 ft,,2,39,42,-3,1082.0
5:56.0,Defensive rebound by J. Holiday,39-42, ,,2,39,42,-3,1084.0
5:49.0,X. Tillman misses 2-pt hook shot from 6 ft,39-42, ,,2,39,42,-3,1091.0
5:46.0, ,39-42,Defensive rebound by H. Jones,,2,39,42,-3,1094.0
5:38.0, ,39-42,H. Jones misses 2-pt layup from 3 ft,,2,39,42,-3,1102.0
5:37.0, ,39-42,Offensive rebound by D. Daniels,,2,39,42,-3,1103.0
5:37.0, ,39-44,D. Daniels makes 2-pt layup at rim,,2,39,44,-5,1103.0
5:16.0,D. White makes 3-pt jump shot from 26 ft (assist by J. Brown),42-44, ,,2,42,44,-2,1124.0
5:01.0, ,42-44,Turnover by Z. Williamson (lost ball; steal by J. Brown),,2,42,44,-2,1139.0
4:57.0,J. Brown misses 2-pt layup from 4 ft,42-44, ,,2,42,44,-2,1143.0
4:56.0,Offensive rebound by D. White,42-44, ,,2,42,44,-2,1144.0
4:56.0,D. White makes 2-pt layup at rim,44-44, ,Tie,2,44,44,0,1144.0
4:43.0, ,44-47,H. Jones makes 3-pt jump shot from 23 ft (assist by T. Murphy),,2,44,47,-3,1157.0
4:21.0,A. Horford makes 2-pt layup from 3 ft (assist by J. Brown),46-47, ,,2,46,47,-1,1179.0
4:07.0, ,46-47,H. Jones misses 2-pt layup from 2 ft (block by A. Horford),,2,46,47,-1,1193.0
4:04.0, ,46-47,Offensive rebound by H. Jones,,2,46,47,-1,1196.0
4:00.0, ,46-49,L. Nance makes 2-pt layup from 2 ft (assist by D. Daniels),,2,46,49,-3,1200.0
3:59.0,Boston full timeout,46-49, ,,2,46,49,-3,1201.0
3:59.0,K. Porziņģis enters the game for J. Holiday,46-49, ,,2,46,49,-3,1201.0
3:59.0,J. Tatum enters the game for X. Tillman,46-49, ,,2,46,49,-3,1201.0
3:59.0, ,46-49,C. McCollum enters the game for D. Daniels,,2,46,49,-3,1201.0
3:37.0,J. Tatum misses 2-pt jump shot from 22 ft,46-49, ,,2,46,49,-3,1223.0
3:34.0, ,46-49,Defensive rebound by T. Murphy,,2,46,49,-3,1226.0
3:32.0, ,46-49,C. McCollum misses 3-pt jump shot from 26 ft,,2,46,49,-3,1228.0
3:30.0,Defensive rebound by Team,46-49, ,,2,46,49,-3,1230.0
3:30.0,Boston full timeout,46-49, ,,2,46,49,-3,1230.0
3:30.0,Instant Replay (Challenge: Ruling Stands),46-49, ,,2,46,49,-3,1230.0
3:13.0,J. Brown makes 3-pt jump shot from 24 ft (assist by D. White),49-49, ,Tie,2,49,49,0,1247.0
2:54.0, ,49-52,T. Murphy makes 3-pt jump shot from 26 ft,,2,49,52,-3,1266.0
2:25.0,J. Tatum makes 2-pt jump shot from 19 ft (assist by A. Horford),51-52, ,,2,51,52,-1,1295.0
2:06.0, ,51-55,H. Jones makes 3-pt jump shot from 23 ft (assist by Z. Williamson),,2,51,55,-4,1314.0
1:38.0,D. White misses 3-pt jump shot from 23 ft,51-55, ,,2,51,55,-4,1342.0
1:36.0,Offensive rebound by J. Brown,51-55, ,,2,51,55,-4,1344.0
1:34.0,J. Brown misses 2-pt dunk from 3 ft (block by T. Murphy),51-55, ,,2,51,55,-4,1346.0
1:34.0, ,51-55,Defensive rebound by T. Murphy,,2,51,55,-4,1346.0
1:27.0, ,51-55,H. Jones misses 3-pt jump shot from 23 ft,,2,51,55,-4,1353.0
1:24.0,Defensive rebound by J. Tatum,51-55, ,,2,51,55,-4,1356.0
1:10.0,Turnover by J. Tatum (out of bounds lost ball),51-55, ,,2,51,55,-4,1370.0
1:10.0,Technical foul by J. Tatum,51-55, ,,2,51,55,-4,1370.0
1:10.0, ,51-56,T. Murphy makes technical free throw,,2,51,56,-5,1370.0
1:10.0,J. Holiday enters the game for A. Horford,51-56, ,,2,51,56,-5,1370.0
0:56.0, ,51-56,Shooting foul by J. Brown (drawn by Z. Williamson),,2,51,56,-5,1384.0
0:56.0, ,51-56,Z. Williamson misses free throw 1 of 2,,2,51,56,-5,1384.0
0:56.0, ,51-56,Offensive rebound by Team,,2,51,56,-5,1384.0
0:56.0, ,51-56,Z. Williamson misses free throw 2 of 2,,2,51,56,-5,1384.0
0:54.0,Defensive rebound by D. White,51-56, ,,2,51,56,-5,1386.0
0:37.0,J. Tatum makes 3-pt jump shot from 26 ft,54-56, ,,2,54,56,-2,1403.0
0:36.0,Violation by Team (delay of game),54-56, ,,2,54,56,-2,1404.0
0:36.0, ,54-57,T. Murphy makes technical free throw,,2,54,57,-3,1404.0
0:30.0, ,54-57,H. Jones misses 2-pt layup from 2 ft,,2,54,57,-3,1410.0
0:27.0,Defensive rebound by J. Holiday,54-57, ,,2,54,57,-3,1413.0
0:26.0,J. Tatum makes 2-pt dunk at rim (assist by J. Holiday),56-57, ,,2,56,57,-1,1414.0
0:05.0, ,56-57,L. Nance misses 2-pt layup from 4 ft (block by K. Porziņģis),,2,56,57,-1,1435.0
0:03.0,Defensive rebound by Team,56-57, ,,2,56,57,-1,1437.0
0:00.0,D. White makes 3-pt jump shot from 32 ft (assist by J. Holiday),59-57, ,Lead change,2,59,57,2,1440.0
0:00.0,Instant Replay (Request: Ruling Stands),59-57, ,,2,59,57,2,1440.0
0:00.0,End of 2nd quarter,59-57,,,2,59,57,2,1440.0
12:00.0,Start of 3rd quarter,59-57,,,3,59,57,2,1440.0
11:37.0, ,59-57,H. Jones misses 3-pt jump shot from 25 ft,,3,59,57,2,1463.0
11:33.0,Defensive rebound by J. Brown,59-57, ,,3,59,57,2,1467.0
11:16.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by K. Porziņģis),62-57, ,,3,62,57,5,1484.0
10:59.0, ,62-57,Turnover by Z. Williamson (bad pass; steal by K. Porziņģis),,3,62,57,5,1501.0
10:53.0,J. Brown misses 2-pt layup from 2 ft,62-57, ,,3,62,57,5,1507.0
10:51.0, ,62-57,Defensive rebound by L. Nance,,3,62,57,5,1509.0
10:46.0, ,62-59,C. McCollum makes 2-pt layup from 5 ft,,3,62,59,3,1514.0
10:26.0,K. Porziņģis makes 2-pt jump shot from 18 ft (assist by D. White),64-59, ,,3,64,59,5,1534.0
10:15.0, ,64-59,C. McCollum misses 3-pt jump shot from 26 ft,,3,64,59,5,1545.0
10:12.0,Defensive rebound by J. Holiday,64-59, ,,3,64,59,5,1548.0
10:04.0,J. Holiday misses 3-pt jump shot from 25 ft,64-59, ,,3,64,59,5,1556.0
9:58.0,Offensive rebound by J. Brown,64-59, ,,3,64,59,5,1562.0
9:53.0,D. White makes 2-pt layup from 1 ft (assist by J. Brown),66-59, ,,3,66,59,7,1567.0
9:53.0, ,66-59,New Orleans full timeout,,3,66,59,7,1567.0
9:32.0, ,66-59,Z. Williamson misses 2-pt layup from 3 ft,,3,66,59,7,1588.0
9:31.0, ,66-59,Offensive rebound by Z. Williamson,,3,66,59,7,1589.0
9:30.0, ,66-59,Z. Williamson misses 2-pt layup from 2 ft (block by K. Porziņģis),,3,66,59,7,1590.0
9:29.0, ,66-59,Offensive rebound by Z. Williamson,,3,66,59,7,1591.0
9:28.0, ,66-59,Z. Williamson misses 2-pt layup from 3 ft,,3,66,59,7,1592.0
9:27.0,Defensive rebound by K. Porziņģis,66-59, ,,3,66,59,7,1593.0
9:12.0,Shooting foul by C. McCollum (drawn by K. Porziņģis),66-59, ,,3,66,59,7,1608.0
9:12.0,K. Porziņģis makes free throw 1 of 2,67-59, ,,3,67,59,8,1608.0
9:12.0,K. Porziņģis makes free throw 2 of 2,68-59, ,,3,68,59,9,1608.0
8:52.0, ,68-61,C. McCollum makes 2-pt jump shot from 8 ft,,3,68,61,7,1628.0
8:36.0,J. Holiday misses 3-pt jump shot from 23 ft,68-61, ,,3,68,61,7,1644.0
8:33.0, ,68-61,Defensive rebound by Z. Williamson,,3,68,61,7,1647.0
8:28.0, ,68-64,T. Murphy makes 3-pt jump shot from 27 ft (assist by Z. Williamson),,3,68,64,4,1652.0
8:13.0,J. Brown makes 2-pt layup from 2 ft (assist by J. Tatum),70-64, ,,3,70,64,6,1667.0
7:57.0, ,70-64,C. McCollum misses 2-pt jump shot from 3 ft,,3,70,64,6,1683.0
7:54.0,Defensive rebound by K. Porziņģis,70-64, ,,3,70,64,6,1686.0
7:49.0,Personal foul by L. Nance (drawn by K. Porziņģis),70-64, ,,3,70,64,6,1691.0
7:42.0,K. Porziņģis makes 2-pt dunk from 1 ft (assist by J. Brown),72-64, ,,3,72,64,8,1698.0
7:26.0, ,72-64,C. McCollum misses 3-pt jump shot from 26 ft,,3,72,64,8,1714.0
