Time,Boston,Score,Orlando,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:35.0,J. Tatum makes 2-pt dunk from 2 ft (assist by K. Porziņģis),54-47, ,,2,54,47,7,1405.0
0:35.0,Technical foul by J. Tatum,54-47, ,,2,54,47,7,1405.0
0:35.0, ,54-48,C. Anthony makes technical free throw,,2,54,48,6,1405.0
0:35.0,A. Horford enters the game for K. Porziņģis,54-48, ,,2,54,48,6,1405.0
0:14.0, ,54-48,C. Anthony misses 2-pt layup from 3 ft,,2,54,48,6,1426.0
0:10.0,Defensive rebound by D. White,54-48, ,,2,54,48,6,1430.0
0:02.0,L. Kornet misses 2-pt layup from 2 ft,54-48, ,,2,54,48,6,1438.0
0:01.0,Offensive rebound by L. Kornet,54-48, ,,2,54,48,6,1439.0
0:01.0,L. Kornet makes 2-pt layup from 1 ft,56-48, ,,2,56,48,8,1439.0
0:00.0,End of 2nd quarter,56-48,,,2,56,48,8,1440.0
12:00.0,Start of 3rd quarter,56-48,,,3,56,48,8,1440.0
11:36.0, ,56-48,Personal foul by A. Horford (drawn by F. Wagner),,3,56,48,8,1464.0
11:29.0, ,56-48,Turnover by G. Harris (out of bounds lost ball),,3,56,48,8,1471.0
11:14.0,J. Brown makes 2-pt dunk from 1 ft (assist by K. Porziņģis),58-48, ,,3,58,48,10,1486.0
10:55.0, ,58-48,J. Suggs misses 2-pt jump shot from 8 ft,,3,58,48,10,1505.0
10:55.0,Defensive rebound by Team,58-48, ,,3,58,48,10,1505.0
10:55.0, ,58-48,Loose ball foul by G. Bitadze (drawn by K. Porziņģis),,3,58,48,10,1505.0
10:40.0,K. Porziņģis makes 2-pt jump shot from 16 ft (assist by D. White),60-48, ,,3,60,48,12,1520.0
10:27.0, ,60-50,P. Banchero makes 2-pt jump shot from 17 ft,,3,60,50,10,1533.0
10:09.0,J. Brown misses 3-pt jump shot from 29 ft,60-50, ,,3,60,50,10,1551.0
10:05.0, ,60-50,Defensive rebound by J. Suggs,,3,60,50,10,1555.0
9:55.0, ,60-50,P. Banchero misses 3-pt jump shot from 26 ft,,3,60,50,10,1565.0
9:54.0,Defensive rebound by Team,60-50, ,,3,60,50,10,1566.0
9:41.0,Shooting foul by J. Suggs (drawn by J. Tatum),60-50, ,,3,60,50,10,1579.0
9:41.0,J. Tatum makes free throw 1 of 2,61-50, ,,3,61,50,11,1579.0
9:41.0,J. Tatum makes free throw 2 of 2,62-50, ,,3,62,50,12,1579.0
